station,line,cohort,treat_date,exclude_reason,complex,sido,sigungu,note,in_data,station_raw,first_month,last_month,on_median_2023,season_amp
상동,7호선,NT,,data_artifact,상동,경기,부천시,해당 노선 미정차 역의 잔여 집계,Y,상동,202201,202606,1.5,
삼산체육관,7호선,NT,,data_artifact,삼산체육관,인천,부평구,해당 노선 미정차 역의 잔여 집계,Y,삼산체육관,202201,202305,1.0,
굴포천,7호선,NT,,data_artifact,굴포천,인천,부평구,해당 노선 미정차 역의 잔여 집계,Y,굴포천,202201,202312,1.0,
부평구청,7호선,NT,,data_artifact,부평구청,인천,부평구,해당 노선 미정차 역의 잔여 집계,Y,부평구청,202201,202406,,
서울역,1호선,C1,2024-01-27,gtx,서울역,서울,,,Y,서울역,202201,202608,1567897.0,0.148
동묘앞,1호선,C1,2024-01-27,,동묘앞,서울,,,Y,동묘앞,202201,202608,295395.5,0.184
시청,1호선,C1,2024-01-27,,시청,서울,,,Y,시청,202201,202608,738914.0,0.189
종각,1호선,C1,2024-01-27,,종각,서울,,,Y,종각,202201,202608,1090472.5,0.132
종로3가,1호선,C1,2024-01-27,,종로3가,서울,,,Y,종로3가,202201,202608,776656.0,0.141
종로5가,1호선,C1,2024-01-27,,종로5가,서울,,,Y,종로5가,202201,202608,728886.5,0.16
동대문,1호선,C1,2024-01-27,,동대문,서울,,,Y,동대문,202201,202608,354122.5,0.148
신설동,1호선,C1,2024-01-27,,신설동,서울,,,Y,신설동,202201,202608,405877.5,0.141
제기동,1호선,C1,2024-01-27,,제기동,서울,,,Y,제기동,202201,202608,503132.0,0.088
청량리,1호선,C1,2024-01-27,,청량리,서울,,,Y,청량리(서울시립대입구),202201,202608,614982.5,0.087
시청,2호선,C1,2024-01-27,,시청,서울,,,Y,시청,202201,202608,720177.0,0.189
을지로입구,2호선,C1,2024-01-27,,을지로입구,서울,,,Y,을지로입구,202201,202608,1348276.0,0.28
을지로3가,2호선,C1,2024-01-27,,을지로3가,서울,,,Y,을지로3가,202201,202608,690364.0,0.132
을지로4가,2호선,C1,2024-01-27,,을지로4가,서울,,,Y,을지로4가,202201,202608,395848.5,0.137
동대문역사문화공원,2호선,C1,2024-01-27,,동대문역사문화공원,서울,,,Y,동대문역사문화공원(DDP),202201,202608,430359.0,0.179
신당,2호선,C1,2024-01-27,,신당,서울,,,Y,신당,202201,202608,431735.0,0.111
상왕십리,2호선,C1,2024-01-27,,상왕십리,서울,,,Y,상왕십리,202201,202608,415961.5,0.097
왕십리,2호선,C1,2024-01-27,,왕십리,서울,,,Y,왕십리(성동구청),202201,202608,462626.5,0.136
한양대,2호선,C1,2024-01-27,,한양대,서울,,,Y,한양대,202201,202608,333768.5,0.733
뚝섬,2호선,C1,2024-01-27,,뚝섬,서울,,,Y,뚝섬,202201,202608,684662.0,0.103
성수,2호선,C1,2024-01-27,,성수,서울,,,Y,성수,202201,202608,1114979.5,0.144
건대입구,2호선,C1,2024-01-27,,건대입구,서울,,,Y,건대입구,202201,202608,1092638.5,0.131
구의,2호선,C1,2024-01-27,,구의,서울,,,Y,구의(광진구청),202201,202608,693775.5,0.11
강변,2호선,C1,2024-01-27,,강변,서울,,,Y,강변(동서울터미널),202201,202608,935627.5,0.063
잠실나루,2호선,C1,2024-01-27,,잠실나루,서울,,,Y,잠실나루,202201,202608,426645.5,0.132
잠실,2호선,C1,2024-01-27,,잠실,서울,,,Y,잠실(송파구청),202201,202608,2319054.5,0.182
잠실새내,2호선,C1,2024-01-27,,잠실새내,서울,,,Y,잠실새내,202201,202608,680016.0,0.116
종합운동장,2호선,C1,2024-01-27,,종합운동장,서울,,,Y,종합운동장,202201,202608,351102.5,0.355
삼성,2호선,C1,2024-01-27,,삼성,서울,,,Y,삼성(무역센터),202201,202608,1578837.5,0.172
선릉,2호선,C1,2024-01-27,,선릉,서울,,,Y,선릉,202201,202608,1526992.0,0.1
역삼,2호선,C1,2024-01-27,,역삼,서울,,,Y,역삼,202201,202608,1352580.0,0.118
강남,2호선,C1,2024-01-27,,강남,서울,,,Y,강남,202201,202608,2278332.0,0.095
교대,2호선,C1,2024-01-27,,교대,서울,,,Y,교대(법원.검찰청),202201,202608,860200.5,0.123
서초,2호선,C1,2024-01-27,,서초,서울,,,Y,서초,202201,202608,627154.5,0.134
방배,2호선,C1,2024-01-27,,방배,서울,,,Y,방배,202201,202608,491053.5,0.243
사당,2호선,C1,2024-01-27,,사당,서울,,,Y,사당,202201,202608,1173877.0,0.152
낙성대,2호선,C1,2024-01-27,,낙성대,서울,,,Y,낙성대(강감찬),202201,202608,807614.0,0.101
서울대입구,2호선,C1,2024-01-27,,서울대입구,서울,,,Y,서울대입구(관악구청),202201,202608,1352356.0,0.107
봉천,2호선,C1,2024-01-27,,봉천,서울,,,Y,봉천,202201,202608,696880.5,0.082
신림,2호선,C1,2024-01-27,,신림,서울,,,Y,신림,202201,202608,1621121.0,0.119
신대방,2호선,C1,2024-01-27,,신대방,서울,,,Y,신대방,202201,202608,751636.5,0.123
구로디지털단지,2호선,C1,2024-01-27,,구로디지털단지,서울,,,Y,구로디지털단지,202201,202608,1628223.5,0.1
