line,202301,202401,202403,202408,202411,202501,202505,202508,202601,202608,일별 20260921
1호선,10,10,10,10,10,10,10,10,10,10,10
2호선,50,50,50,50,50,50,50,50,50,50,50
3호선,34,34,34,34,34,34,34,34,34,34,34
4호선,26,26,26,26,26,26,26,26,26,26,26
5호선,56,56,56,56,56,56,56,56,56,56,56
6호선,39,39,39,39,39,39,39,39,39,39,38
7호선,42,43,44,42,43,42,43,43,42,44,42
8호선,18,18,18,19,19,19,19,19,19,19,19
9호선,25,25,25,25,25,25,25,25,25,25,25
9호선2~3단계,13,13,13,13,13,13,13,13,13,13,13
경강선,11,11,12,12,12,12,12,12,12,12,12
경부선,39,39,39,39,39,39,39,39,39,39,39
경원선,30,33,33,33,33,33,33,33,33,33,33
경의선,29,29,30,28,29,30,29,30,30,30,27
경인선,20,20,20,20,20,20,20,20,20,20,20
경춘선,19,19,19,19,19,19,19,19,19,19,19
공항철도 1호선,14,14,14,14,14,14,14,14,14,14,14
과천선,8,8,8,8,8,8,8,8,8,8,8
분당선,35,35,35,35,35,35,35,35,35,35,34
서해선,0,3,3,3,3,3,3,3,3,3,3
수인선,18,18,18,18,18,18,18,18,18,18,18
신림선,11,11,11,11,11,11,11,11,11,11,11
안산선,13,13,13,13,13,13,13,13,13,13,13
우이신설선,13,13,13,13,13,13,13,13,13,13,13
일산선,11,11,11,11,11,11,11,11,11,11,10
장항선,7,7,7,7,7,7,7,7,7,7,7
중앙선,21,21,21,21,21,21,21,21,21,21,21
