group,freq,window,n_stations,est,se,n_cells
안쪽·해소 없음 (도봉산·신내·금천구청·온수),week,사전(placebo),4,0.02754625723103063,0.01641208717457253,50
안쪽·해소 없음 (도봉산·신내·금천구청·온수),week,노출 후 전체,4,0.025774981448523915,0.054331025784141326,128
안쪽·해소 없음 (도봉산·신내·금천구청·온수),month,사전(placebo),4,0.025631633304563972,0.013412646989380394,11
안쪽·해소 없음 (도봉산·신내·금천구청·온수),month,노출 후 전체,4,0.02286309207465709,0.054186592442244844,29
안쪽·복정 → 성남 C5로 해소,week,사전(placebo),1,0.03579702017921403,,50
안쪽·복정 → 성남 C5로 해소,week,해소 전(흡수 구간),1,0.039004746046685565,,60
안쪽·복정 → 성남 C5로 해소,week,해소 후,1,0.030928133328379032,,68
안쪽·복정 → 성남 C5로 해소,month,사전(placebo),1,0.02954236353548534,,11
안쪽·복정 → 성남 C5로 해소,month,해소 전(흡수 구간),1,0.03342452196185834,,15
안쪽·복정 → 성남 C5로 해소,month,해소 후,1,0.028452182512013362,,14
안쪽·남태령·수색 → C4로 해소,week,사전(placebo),2,-0.0434833844722677,0.011433326701214226,50
안쪽·남태령·수색 → C4로 해소,week,해소 전(흡수 구간),2,0.09683294882025933,0.048908287291640956,39
안쪽·남태령·수색 → C4로 해소,week,해소 후,2,0.07248610135148821,0.014973299842357894,89
안쪽·남태령·수색 → C4로 해소,month,사전(placebo),2,-0.040101800805755906,0.006454840011342286,11
안쪽·남태령·수색 → C4로 해소,month,해소 전(흡수 구간),2,0.08949717217429223,0.04606037944766289,10
안쪽·남태령·수색 → C4로 해소,month,해소 후,2,0.07846210520716813,0.018498405689653302,19
안쪽·강일 → 하남 C6으로 해소,week,사전(placebo),1,-0.18992388711172126,,50
안쪽·강일 → 하남 C6으로 해소,week,해소 전(흡수 구간),1,0.09485468473173422,,74
안쪽·강일 → 하남 C6으로 해소,week,해소 후,1,0.08925195424134788,,54
안쪽·강일 → 하남 C6으로 해소,month,사전(placebo),1,-0.1854276933791083,,11
안쪽·강일 → 하남 C6으로 해소,month,해소 전(흡수 구간),1,0.09079473738746427,,18
안쪽·강일 → 하남 C6으로 해소,month,해소 후,1,0.08804836191185379,,11
안쪽·불암산 → 진접선 C3로 해소,week,사전(placebo),1,0.053507895708258785,,50
안쪽·불암산 → 진접선 C3로 해소,week,해소 전(흡수 구간),1,0.012523201599282595,,26
안쪽·불암산 → 진접선 C3로 해소,week,해소 후,1,0.011142116850877772,,102
안쪽·불암산 → 진접선 C3로 해소,month,사전(placebo),1,0.03070705942434533,,11
안쪽·불암산 → 진접선 C3로 해소,month,해소 전(흡수 구간),1,0.01182819223165078,,7
안쪽·불암산 → 진접선 C3로 해소,month,해소 후,1,0.010430336092470191,,22
바깥·끝내 미적용 (의정부·구리·남양주·안양·광명·부천·인천),week,사전(placebo),13,0.015286328948586864,0.018990368872923546,50
바깥·끝내 미적용 (의정부·구리·남양주·안양·광명·부천·인천),week,노출 후 전체,13,-0.08710488133405235,0.018319841591623778,128
바깥·끝내 미적용 (의정부·구리·남양주·안양·광명·부천·인천),month,사전(placebo),13,0.010469861031074607,0.017715438291114972,11
바깥·끝내 미적용 (의정부·구리·남양주·안양·광명·부천·인천),month,노출 후 전체,13,-0.08751593720351407,0.01807498398931471,29
  └ 별내선 영향권 (갈매·별내·도농·양정),week,사전(placebo),4,0.04302168853514242,0.03337363051851133,50
  └ 별내선 영향권 (갈매·별내·도농·양정),week,노출 후 전체,4,-0.1532493297829621,0.013438350045520964,128
  └ 별내선 영향권 (갈매·별내·도농·양정),month,사전(placebo),4,0.03323325086947573,0.031150223129291423,11
  └ 별내선 영향권 (갈매·별내·도농·양정),month,노출 후 전체,4,-0.15266604665270622,0.013224989119821576,29
  └ 별내선 영향 밖 (망월사·회룡·석수·관악·광명·역곡·소사·계양·검암),week,사전(placebo),9,0.002959502465673281,0.021106738790272445,50
  └ 별내선 영향 밖 (망월사·회룡·석수·관악·광명·역곡·소사·계양·검암),week,노출 후 전체,9,-0.05770734869009249,0.017418065047083285,128
  └ 별내선 영향 밖 (망월사·회룡·석수·관악·광명·역곡·소사·계양·검암),month,사전(placebo),9,0.0003527988806741058,0.020036090822131782,11
  └ 별내선 영향 밖 (망월사·회룡·석수·관악·광명·역곡·소사·계양·검암),month,노출 후 전체,9,-0.0585603330038731,0.01709300164507507,29
