group,station,노출 후 전체,해소 전,해소 후
안쪽·해소 없음 (도봉산·신내·금천구청·온수),도봉산,-0.021923320982114164,,
안쪽·해소 없음 (도봉산·신내·금천구청·온수),신내,0.21515406234706397,,
안쪽·해소 없음 (도봉산·신내·금천구청·온수),금천구청,-0.05956346395492337,,
안쪽·해소 없음 (도봉산·신내·금천구청·온수),온수,-0.023946059579214404,,
안쪽·복정 → 성남 C5로 해소,복정,,0.04081599808170208,0.03244587190299569
안쪽·남태령·수색 → C4로 해소,남태령,,0.03257605805524906,0.057395170333952604
안쪽·남태령·수색 → C4로 해소,수색,,0.16518270476405947,0.09054490819348501
안쪽·강일 → 하남 C6으로 해소,강일,,0.09682652825025079,0.09047352692291638
안쪽·불암산 → 진접선 C3로 해소,불암산,,0.015036455509985787,0.012578751591040924
바깥·끝내 미적용 (의정부·구리·남양주·안양·광명·부천·인천),망월사,-0.0006512649482303651,,
바깥·끝내 미적용 (의정부·구리·남양주·안양·광명·부천·인천),회룡,0.015176698708960561,,
바깥·끝내 미적용 (의정부·구리·남양주·안양·광명·부천·인천),갈매,-0.12015531058484563,,
바깥·끝내 미적용 (의정부·구리·남양주·안양·광명·부천·인천),별내,-0.1707409021920627,,
바깥·끝내 미적용 (의정부·구리·남양주·안양·광명·부천·인천),도농,-0.14116448311996888,,
바깥·끝내 미적용 (의정부·구리·남양주·안양·광명·부천·인천),양정,-0.1743153311982548,,
바깥·끝내 미적용 (의정부·구리·남양주·안양·광명·부천·인천),석수,-0.10443154440015266,,
바깥·끝내 미적용 (의정부·구리·남양주·안양·광명·부천·인천),관악,-0.0727101722955846,,
바깥·끝내 미적용 (의정부·구리·남양주·안양·광명·부천·인천),광명,-0.016357380094690607,,
바깥·끝내 미적용 (의정부·구리·남양주·안양·광명·부천·인천),역곡,-0.06308506231789393,,
바깥·끝내 미적용 (의정부·구리·남양주·안양·광명·부천·인천),소사,-0.05589013565489886,,
바깥·끝내 미적용 (의정부·구리·남양주·안양·광명·부천·인천),계양,-0.1399678799261482,,
바깥·끝내 미적용 (의정부·구리·남양주·안양·광명·부천·인천),검암,-0.06655149019958184,,
  └ 별내선 영향권 (갈매·별내·도농·양정),갈매,-0.12015531058484563,,
  └ 별내선 영향권 (갈매·별내·도농·양정),별내,-0.1707409021920627,,
  └ 별내선 영향권 (갈매·별내·도농·양정),도농,-0.14116448311996888,,
  └ 별내선 영향권 (갈매·별내·도농·양정),양정,-0.1743153311982548,,
  └ 별내선 영향 밖 (망월사·회룡·석수·관악·광명·역곡·소사·계양·검암),망월사,-0.0006512649482303651,,
  └ 별내선 영향 밖 (망월사·회룡·석수·관악·광명·역곡·소사·계양·검암),회룡,0.015176698708960561,,
  └ 별내선 영향 밖 (망월사·회룡·석수·관악·광명·역곡·소사·계양·검암),석수,-0.10443154440015266,,
  └ 별내선 영향 밖 (망월사·회룡·석수·관악·광명·역곡·소사·계양·검암),관악,-0.0727101722955846,,
  └ 별내선 영향 밖 (망월사·회룡·석수·관악·광명·역곡·소사·계양·검암),광명,-0.016357380094690607,,
  └ 별내선 영향 밖 (망월사·회룡·석수·관악·광명·역곡·소사·계양·검암),역곡,-0.06308506231789393,,
  └ 별내선 영향 밖 (망월사·회룡·석수·관악·광명·역곡·소사·계양·검암),소사,-0.05589013565489886,,
  └ 별내선 영향 밖 (망월사·회룡·석수·관악·광명·역곡·소사·계양·검암),계양,-0.1399678799261482,,
  └ 별내선 영향 밖 (망월사·회룡·석수·관악·광명·역곡·소사·계양·검암),검암,-0.06655149019958184,,
바깥 2차 링 (의정부·가능·퇴계원·사릉·덕소·도심·안양·명학·부천·중동·청라국제도시),의정부,0.006112586348684789,,
바깥 2차 링 (의정부·가능·퇴계원·사릉·덕소·도심·안양·명학·부천·중동·청라국제도시),가능,-0.029042025340863697,,
바깥 2차 링 (의정부·가능·퇴계원·사릉·덕소·도심·안양·명학·부천·중동·청라국제도시),퇴계원,-0.05561250773211772,,
바깥 2차 링 (의정부·가능·퇴계원·사릉·덕소·도심·안양·명학·부천·중동·청라국제도시),사릉,-0.08866962950825268,,
바깥 2차 링 (의정부·가능·퇴계원·사릉·덕소·도심·안양·명학·부천·중동·청라국제도시),덕소,-0.017983205138797722,,
바깥 2차 링 (의정부·가능·퇴계원·사릉·덕소·도심·안양·명학·부천·중동·청라국제도시),도심,0.0773222583336647,,
바깥 2차 링 (의정부·가능·퇴계원·사릉·덕소·도심·안양·명학·부천·중동·청라국제도시),안양,-0.027701559906761833,,
바깥 2차 링 (의정부·가능·퇴계원·사릉·덕소·도심·안양·명학·부천·중동·청라국제도시),명학,-0.051822871857489926,,
바깥 2차 링 (의정부·가능·퇴계원·사릉·덕소·도심·안양·명학·부천·중동·청라국제도시),부천,-0.028045791296084508,,
바깥 2차 링 (의정부·가능·퇴계원·사릉·덕소·도심·안양·명학·부천·중동·청라국제도시),중동,-0.017812275010409877,,
바깥 2차 링 (의정부·가능·퇴계원·사릉·덕소·도심·안양·명학·부천·중동·청라국제도시),청라국제도시,0.06456120237118546,,
바깥·성남 태평·야탑 → C5 적용,태평,,-0.025516202655423065,-0.03553658246392285
바깥·성남 태평·야탑 → C5 적용,야탑,,-0.014117745734894445,-0.015043882145173102
바깥·과천 선바위·경마공원 → C4 적용,선바위,,-0.059295775803834744,-0.06252436943982652
바깥·과천 선바위·경마공원 → C4 적용,경마공원,,-0.034702128232302835,-0.12333974263971058
