complex,group,n_stops,bus_daily_2023,routes,subway_daily_2023,닿음
망월사,1차 링,1.0,69.32876712328768,106,8016.684065934066,False
회룡,1차 링,2.0,395.9698630136986,106,12331.376373626374,True
석수,1차 링,8.0,3630.53698630137,"500,507,5530,5531,5618,5623,5625,5626,5713,금천04,금천11",8748.67857142857,True
관악,1차 링,5.0,1441.7616438356165,"5530,5531,5623,5625,5626,5713",7367.994505494506,True
광명,1차 링,6.0,663.5397260273973,"505,5627,5633,금천04",3801.401098901099,True
역곡,1차 링,2.0,220.09150326797385,6615,26104.112637362636,True
소사,1차 링,0.0,0.0,,7915.843406593406,False
계양,1차 링,0.0,0.0,,12115.417582417582,False
검암,1차 링,0.0,0.0,,6315.038461538462,False
의정부,2차 링,4.0,585.3123287671233,106,18532.873626373625,True
가능,2차 링,2.0,149.95342465753424,106,6328.337912087912,True
퇴계원,2차 링,0.0,0.0,,3443.1098901098903,False
사릉,2차 링,0.0,0.0,,2186.6813186813188,False
덕소,2차 링,0.0,0.0,,5306.071428571428,False
도심,2차 링,0.0,0.0,,2278.063186813187,False
안양,2차 링,1.0,857.0707547169811,"5530,5531,5623,5625,5626,5713",23076.785714285714,True
명학,2차 링,2.0,1171.0767123287671,"541,5530,5531,5623",8376.670329670329,True
부천,2차 링,0.0,0.0,,31352.06868131868,False
중동,2차 링,2.0,223.2027397260274,"606,661",8795.439560439561,True
청라국제도시,2차 링,0.0,0.0,,6679.744505494506,False
도봉산,서울 쪽 경계역,12.0,4340.9342465753425,"106,107,1127,1128,140,141,142,150,160,N16,도봉09,서울05",16646.23901098901,True
신내,서울 쪽 경계역,24.0,4003.698630136986,"2012,2015,2016,2113,2114,2115,2227,2234,2235,2236,2311,2312,240,241,2416,242,260,262,273,N26,N72",2117.9395604395604,True
금천구청,서울 쪽 경계역,16.0,5420.106849315069,"150,505,5627,5633,8553출근,금천01,금천01-1,금천02,금천04,금천06,금천07,금천08",10820.961538461539,True
온수,서울 쪽 경계역,19.0,6292.084931506849,"160,5626,600,660,6613,6614,6615,6616,6716,N16,구로07,구로14",15596.513736263736,True
복정,서울 쪽 경계역,10.0,3532.2383561643837,"302,303,320,3217,3313,3322,333,3420,343,345,350,360,361,440,4425,452,N13,N37,N73",8781.37912087912,True
남태령,서울 쪽 경계역,2.0,1068.9041095890411,"4212,4318,4319,502,540,N15",1325.684065934066,True
수색,서울 쪽 경계역,20.0,9187.213698630138,"171,270,271,470,6715,673,700,7013A,7013B,7017,7021,7025,710,7212,740,750A,750B,760,7611,771,7711,7715,7726,7727,7730,7737,7738,7739,N72,마포18,마포18-1",2686.0412087912086,True
강일,서울 쪽 경계역,15.0,2582.3397260273973,"2312,3212,3318,3321,3323,340,341,3411,3412,3413,342,370,N30,N31,강동02,강동05",5219.219780219781,True
불암산,서울 쪽 경계역,11.0,1618.3917808219178,"1138,1139,1224,서울09,서울09출근,서울09퇴근",9111.65934065934,True
