g,t,b,e,att,k,n_g,n_g_valid,n_c,t_label,cohort
25,1,13,-24,0.013821692798060427,-1,194,194,102,2022-02-01,C1
25,2,14,-23,0.005572551364860916,-1,194,194,102,2022-03-01,C1
25,3,15,-22,-0.002546398550061492,-1,194,194,102,2022-04-01,C1
25,4,16,-21,-0.016545452685907965,-1,194,194,102,2022-05-01,C1
25,5,17,-20,-0.014223661134677852,-1,194,194,102,2022-06-01,C1
25,6,18,-19,-0.020063560136170732,-1,194,194,102,2022-07-01,C1
25,7,19,-18,-0.008875141263775824,-1,194,194,102,2022-08-01,C1
25,8,20,-17,-0.024885617470299777,-1,194,194,102,2022-09-01,C1
25,9,21,-16,-0.008441510782019945,-1,194,194,102,2022-10-01,C1
25,10,22,-15,-0.018293232614758816,-1,194,194,102,2022-11-01,C1
25,11,23,-14,0.0032760068349579306,-1,194,194,102,2022-12-01,C1
25,25,13,0,-0.023113501273730908,1,194,194,102,2024-02-01,C1
25,26,14,1,0.0068952346984347025,1,194,194,102,2024-03-01,C1
25,27,15,2,0.0027832286686188257,1,194,194,102,2024-04-01,C1
25,28,16,3,0.006080769587075383,1,194,194,102,2024-05-01,C1
25,29,17,4,-0.001128184267393392,1,194,194,102,2024-06-01,C1
25,30,18,5,0.015945183001492235,1,194,194,102,2024-07-01,C1
25,31,19,6,-0.00491907660411501,1,194,194,102,2024-08-01,C1
25,32,20,7,-0.0146481641981358,1,194,194,102,2024-09-01,C1
25,33,21,8,0.006899085599462566,1,194,194,102,2024-10-01,C1
25,34,22,9,-0.015497416882772256,1,194,194,102,2024-11-01,C1
25,35,23,10,0.020724066845021767,1,194,194,102,2024-12-01,C1
25,37,13,12,0.02600266484622969,2,194,194,102,2025-02-01,C1
25,38,14,13,0.018253091608572466,2,194,194,102,2025-03-01,C1
25,39,15,14,0.031048015015561314,2,194,194,102,2025-04-01,C1
25,40,16,15,0.01916612325776148,2,194,194,102,2025-05-01,C1
25,41,17,16,0.015596352823835292,2,194,194,102,2025-06-01,C1
25,42,18,17,0.03248801096082328,2,194,194,102,2025-07-01,C1
25,43,19,18,0.016393091762963854,2,194,194,102,2025-08-01,C1
25,44,20,19,0.03310854612401601,2,194,194,102,2025-09-01,C1
25,45,21,20,0.020500053971599447,2,194,194,102,2025-10-01,C1
25,46,22,21,0.011981153301514448,2,194,194,102,2025-11-01,C1
25,47,23,22,0.019734846406735364,2,194,194,102,2025-12-01,C1
25,49,13,24,0.008136248695269742,3,194,194,102,2026-02-01,C1
25,50,14,25,0.021437565997264582,3,194,194,102,2026-03-01,C1
25,51,15,26,0.02028774810885143,3,194,194,102,2026-04-01,C1
25,52,16,27,0.0135089277284329,3,194,194,102,2026-05-01,C1
25,53,17,28,0.02664582512264778,3,194,194,102,2026-06-01,C1
25,54,18,29,0.02985419819400125,3,194,194,102,2026-07-01,C1
25,55,19,30,0.018655682313697578,3,194,194,102,2026-08-01,C1
41,0,36,-41,0.027417616347368064,-3,5,5,112,2022-01-01,C5
41,1,37,-40,-0.03489517102132944,-3,5,5,112,2022-02-01,C5
41,2,38,-39,-0.004243406048129644,-3,5,5,112,2022-03-01,C5
41,3,39,-38,-0.03053837368443013,-3,5,5,112,2022-04-01,C5
41,5,29,-36,0.016360233645510522,-2,5,5,112,2022-06-01,C5
41,6,30,-35,-0.019445235535336045,-2,5,5,112,2022-07-01,C5
41,7,31,-34,0.008496129346464099,-2,5,5,112,2022-08-01,C5
41,8,32,-33,-0.011240418221777513,-2,5,5,112,2022-09-01,C5
41,9,33,-32,-0.007970306018979065,-2,5,5,112,2022-10-01,C5
41,10,34,-31,0.0035770017094894704,-2,5,5,112,2022-11-01,C5
41,11,35,-30,0.03588211970343157,-2,5,5,112,2022-12-01,C5
41,12,36,-29,0.043548416259636714,-2,5,5,112,2023-01-01,C5
41,13,37,-28,0.0015144040525779008,-2,5,5,112,2023-02-01,C5
41,14,38,-27,0.021816196289698872,-2,5,5,112,2023-03-01,C5
41,15,39,-26,0.009232762585710479,-2,5,5,112,2023-04-01,C5
41,17,29,-24,0.029183176879725548,-1,5,5,112,2023-06-01,C5
41,18,30,-23,-0.004615785108108658,-1,5,5,112,2023-07-01,C5
41,19,31,-22,-0.014580176703840127,-1,5,5,112,2023-08-01,C5
41,20,32,-21,-0.009603449484429167,-1,5,5,112,2023-09-01,C5
41,21,33,-20,-0.007560328345441042,-1,5,5,112,2023-10-01,C5
41,22,34,-19,0.02194834007983927,-1,5,5,112,2023-11-01,C5
41,23,35,-18,0.005524083853987382,-1,5,5,112,2023-12-01,C5
41,24,36,-17,0.05402347232134888,-1,5,5,112,2024-01-01,C5
41,25,37,-16,-0.029985809316756866,-1,5,5,112,2024-02-01,C5
41,26,38,-15,0.00860765180809666,-1,5,5,112,2024-03-01,C5
41,27,39,-14,-0.01599908559255072,-1,5,5,112,2024-04-01,C5
41,41,29,0,0.005720326211804036,1,5,5,112,2025-06-01,C5
41,42,30,1,0.0043932133824225676,1,5,5,112,2025-07-01,C5
41,43,31,2,-0.0030172745725717026,1,5,5,112,2025-08-01,C5
41,44,32,3,0.02399443079205081,1,5,5,112,2025-09-01,C5
41,45,33,4,-0.007503728483875691,1,5,5,112,2025-10-01,C5
41,46,34,5,-0.010450540132604755,1,5,5,112,2025-11-01,C5
41,47,35,6,0.014277651307626059,1,5,5,112,2025-12-01,C5
41,48,36,7,0.04041893154024949,1,5,5,112,2026-01-01,C5
41,49,37,8,-0.04479775333276186,1,5,5,112,2026-02-01,C5
41,50,38,9,0.011496765966017168,1,5,5,112,2026-03-01,C5
41,51,39,10,-0.02754376939781409,1,5,5,112,2026-04-01,C5
41,53,29,12,0.009815530039052445,2,5,5,112,2026-06-01,C5
41,54,30,13,-0.017629619024516596,2,5,5,112,2026-07-01,C5
41,55,31,14,-0.020059477046453174,2,5,5,112,2026-08-01,C5
