bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif
-41,-41,0.038075757541490986,0.045440929859163634,1,-0.050988464982469735,0.1271399800654517,-0.0796488064514051,0.15580032153438705
-40,-40,-0.025985400757863653,0.0507338923007553,1,-0.12542382966734406,0.07345302815161674,-0.15742252955958697,0.10545172804385966
-39,-39,0.004288577821850464,0.046677095363522214,1,-0.08719852909065308,0.09577568473435401,-0.11663854046460229,0.12521569610830321
-38,-38,-0.02402844960866321,0.04459443574943766,1,-0.11143354367756102,0.0633766444602346,-0.1395599873959138,0.09150308817858736
-36,-36,0.022378889110954002,0.02552705352937421,1,-0.027654135806619448,0.07241191402852745,-0.043754468108690915,0.08851224633059893
-35,-35,-0.014748167555997699,0.026856758392688758,1,-0.06738741400566767,0.03789107889367226,-0.08432641302414687,0.05483007791215147
-34,-34,0.013176535541266056,0.024966044796447623,1,-0.03575691225977128,0.062109983342303395,-0.05150340713152247,0.07785647821405459
-33,-33,-0.007868146024316798,0.02632102958095252,1,-0.05945736400298374,0.04372107195435014,-0.07605847005301589,0.06032217800438228
-32,-32,-0.005312905249467259,0.023123781173012233,1,-0.05063551634857123,0.040009705849636715,-0.06522006526791563,0.0545942547689811
-31,-31,0.007837482613225331,0.022570279265263497,1,-0.03640026474669112,0.05207522997314178,-0.050635710913760144,0.0663106761402108
-30,-30,0.0387546059392255,0.022371261068077446,1,-0.005093065754206295,0.08260227763265729,-0.019202987872635413,0.09671219975108641
-29,-29,0.04681421151850238,0.023913300953085272,1,-5.585834954475316e-05,0.09368428138654952,-0.015138370373154464,0.10876679341015923
-28,-28,0.00303346678807896,0.023239521241353714,1,-0.042515994844974314,0.04858292842113224,-0.057173542928081106,0.06324047650423903
-27,-27,0.024473312905033715,0.022219954900420846,1,-0.019077798699791138,0.06802442450985857,-0.03309228953094612,0.08203891534101354
-26,-26,0.011236476463325866,0.02344906438201168,1,-0.03472368972541703,0.05719664265206876,-0.04951340011203177,0.0719863530386835
-24,-24,0.02327416997759816,0.0074185299103086445,2,0.008733851353393217,0.0378144886018031,0.004054862585207181,0.04249347736998914
-23,-23,0.013078237255275899,0.008532482955566946,2,-0.003645429337635316,0.029801903848187115,-0.009027006603821134,0.03518348111437293
-22,-22,0.004035549771047994,0.007877593315906118,2,-0.011404533128127996,0.019475632670223984,-0.016373060732801176,0.02444416027489716
-21,-21,-0.011891635797066263,0.007744928910891607,2,-0.02707169646241381,0.0032884248682812853,-0.0319565504459645,0.008173278851831977
-20,-20,-0.00917181417546347,0.007467445317684707,2,-0.0238080069981255,0.005464378647198556,-0.028517847517867567,0.010174219166940626
-19,-19,-0.014512381247627392,0.008314694964857362,2,-0.03080918337874782,0.0017844208834930375,-0.036053398178960444,0.007028635683705656
-18,-18,-0.0035705611812174203,0.0077230183809917,2,-0.01870767720796115,0.011566554845526312,-0.023578711860115172,0.016437589497680333
-17,-17,-0.01911969513083772,0.007316893093420924,2,-0.03346080559394273,-0.00477858466773271,-0.038075690350902636,-0.00016369991077280766
-16,-16,-0.005967726796592601,0.007392523590307233,2,-0.020457073033594775,0.008521619440409575,-0.02511965918823613,0.01318420559505093
-15,-15,-0.013678575179452342,0.007567355645840679,2,-0.028510592245300073,0.0011534418863953892,-0.033283447851443285,0.005926297492538602
-14,-14,0.006536720898313845,0.008863763650431468,2,-0.010836255856531831,0.023909697653159524,-0.016426777302916213,0.029500219099543906
0,0,-0.02794962039636857,0.015604747860177893,2,-0.05853492620231724,0.0026356854095800977,-0.06837709720531987,0.012477856412582727
1,1,0.0030070808298032397,0.01162557863959355,2,-0.01977905330380012,0.025793214963406596,-0.027111496865527107,0.033125658525133585
2,2,0.00013315963177299648,0.009752362354403129,2,-0.018981470582857138,0.01924778984640313,-0.025132445839575364,0.025398765103121355
3,3,0.0032638517765053087,0.010079681564657255,2,-0.016492324090222908,0.023020027643233527,-0.022849744953672792,0.02937744850668341
4,4,-0.004460604045074363,0.010074009634920937,2,-0.024205662929519402,0.015284454839370675,-0.030559506413643314,0.021638298323494592
5,5,0.01212105445107054,0.010081137724727957,2,-0.007637975489396256,0.03188008439153733,-0.013996314776940648,0.03823842367908173
6,6,-0.006430209984602691,0.010178099133941442,2,-0.026379284287127918,0.013518864317922537,-0.032798778729418936,0.019938358760213555
