g,t,b,e,att,k,n_g,n_g_valid,n_c,t_label,cohort
25,2,14,-23,0.013472415454341444,-1,196,196,92,2022-03-01,C1
25,3,15,-22,0.004460474975537896,-1,196,196,92,2022-04-01,C1
25,4,16,-21,-0.011972736007729263,-1,196,196,92,2022-05-01,C1
25,5,17,-20,-0.009228316199347223,-1,196,196,92,2022-06-01,C1
25,6,18,-19,-0.015491885848008743,-1,196,196,92,2022-07-01,C1
25,7,19,-18,-0.0038085861175443285,-1,196,196,92,2022-08-01,C1
25,10,22,-15,-0.014241422053319448,-1,196,196,92,2022-11-01,C1
25,11,23,-14,0.007115360389823354,-1,196,196,92,2022-12-01,C1
25,26,14,1,0.002956194913041787,1,196,196,92,2024-03-01,C1
25,27,15,2,0.00023152569135850495,1,196,196,92,2024-04-01,C1
25,28,16,3,0.0027103121811439604,1,196,196,92,2024-05-01,C1
25,29,17,4,-0.004359438318432824,1,196,196,92,2024-06-01,C1
25,30,18,5,0.012679769575020388,1,196,196,92,2024-07-01,C1
25,31,19,6,-0.00698689350543427,1,196,196,92,2024-08-01,C1
25,34,22,9,-0.018090820285720743,1,196,196,92,2024-11-01,C1
25,35,23,10,0.018527713983721245,1,196,196,92,2024-12-01,C1
25,38,14,13,0.014636778913032932,2,196,196,92,2025-03-01,C1
25,39,15,14,0.02759032494025209,2,196,196,92,2025-04-01,C1
25,40,16,15,0.014826961760297368,2,196,196,92,2025-05-01,C1
25,41,17,16,0.012328984275540756,2,196,196,92,2025-06-01,C1
25,42,18,17,0.030277453873427614,2,196,196,92,2025-07-01,C1
25,43,19,18,0.013738611304434862,2,196,196,92,2025-08-01,C1
25,46,22,21,0.011753574788936044,2,196,196,92,2025-11-01,C1
25,47,23,22,0.020970320260502766,2,196,196,92,2025-12-01,C1
25,50,14,25,0.020415166104912306,3,196,196,92,2026-03-01,C1
25,51,15,26,0.018747244048805844,3,196,196,92,2026-04-01,C1
25,52,16,27,0.010772343493892946,3,196,196,92,2026-05-01,C1
25,53,17,28,0.02440274675599475,3,196,196,92,2026-06-01,C1
25,54,18,29,0.02847067561341131,3,196,196,92,2026-07-01,C1
25,55,19,30,0.01674646249458603,3,196,196,92,2026-08-01,C1
41,2,38,-39,0.004288577821850464,-3,5,5,101,2022-03-01,C5
41,3,39,-38,-0.02402844960866321,-3,5,5,101,2022-04-01,C5
41,5,29,-36,0.022378889110954002,-2,5,5,101,2022-06-01,C5
41,6,30,-35,-0.014748167555997699,-2,5,5,101,2022-07-01,C5
41,7,31,-34,0.013176535541266056,-2,5,5,101,2022-08-01,C5
41,10,34,-31,0.007837482613225331,-2,5,5,101,2022-11-01,C5
41,11,35,-30,0.0387546059392255,-2,5,5,101,2022-12-01,C5
41,14,38,-27,0.024473312905033715,-2,5,5,101,2023-03-01,C5
41,15,39,-26,0.011236476463325866,-2,5,5,101,2023-04-01,C5
41,17,29,-24,0.031671585059388774,-1,5,5,101,2023-06-01,C5
41,18,30,-23,-0.0023735481480934503,-1,5,5,101,2023-07-01,C5
41,19,31,-22,-0.012621518244956198,-1,5,5,101,2023-08-01,C5
41,22,34,-19,0.023884199087321582,-1,5,5,101,2023-11-01,C5
41,23,35,-18,0.005760016322797382,-1,5,5,101,2023-12-01,C5
41,26,38,-15,0.008385022276138208,-1,5,5,101,2024-03-01,C5
41,27,39,-14,-0.01614594716885892,-1,5,5,101,2024-04-01,C5
41,41,29,0,0.005387180790969956,1,5,5,101,2025-06-01,C5
41,42,30,1,0.0050018087668521885,1,5,5,101,2025-07-01,C5
41,43,31,2,-0.0037227899039789353,1,5,5,101,2025-08-01,C5
41,46,34,5,-0.009780578407763488,1,5,5,101,2025-11-01,C5
41,47,35,6,0.015391784031995197,1,5,5,101,2025-12-01,C5
41,50,38,9,0.01286397875307898,1,5,5,101,2026-03-01,C5
41,51,39,10,-0.027283385240912866,1,5,5,101,2026-04-01,C5
41,53,29,12,0.010434835506096224,2,5,5,101,2026-06-01,C5
41,54,30,13,-0.016785280776698816,2,5,5,101,2026-07-01,C5
41,55,31,14,-0.0203067226236804,2,5,5,101,2026-08-01,C5
