bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif
-39,-39,-0.004243406048129644,0.04606314151895566,1,-0.09452716342528274,0.08604035132902345,-0.1248611038931851,0.11637429179692581
-38,-38,-0.03053837368443013,0.04346913090525211,1,-0.11573787025872427,0.05466112288986401,-0.14436357805003402,0.08328683068117375
-36,-36,0.016360233645510522,0.024930619210602054,1,-0.0325037800072695,0.06522424729829054,-0.04892132978839202,0.08164179707941306
-35,-35,-0.019445235535336045,0.026171488294453208,1,-0.07074135259246433,0.03185088152179224,-0.08797605134946622,0.04908558027879413
-34,-34,0.008496129346464099,0.024390498954782496,1,-0.03930924860490959,0.05630150729783779,-0.05537111322984717,0.07236337192277537
-31,-31,0.0035770017094894704,0.022013764588729116,1,-0.03956997688441959,0.046723980303398534,-0.05406669166524129,0.061220695084220234
-30,-30,0.03588211970343157,0.0216787524603954,1,-0.006608235118943422,0.07837247452580656,-0.02088433450919914,0.09264857391606227
-27,-27,0.021816196289698872,0.02172240754068776,1,-0.02075972249004914,0.06439211506944689,-0.035064570041264856,0.0786969626206626
-26,-26,0.009232762585710479,0.022758522370589666,1,-0.03537394126064527,0.053839466432066226,-0.050361101058306906,0.06882662622972786
-24,-24,0.029183176879725548,0.010973481334930403,1,0.007675153463261957,0.050691200296189134,0.00044879159208050315,0.057917562167370595
-23,-23,0.005316563011268716,0.008815240073993782,2,-0.011961307533759097,0.022594433556296527,-0.017766403729917477,0.028399529752454907
-22,-22,-0.002848754785081056,0.007334459605052408,2,-0.017224295610983778,0.011526786040821664,-0.02205425409161279,0.01635674452145068
-21,-21,-0.016545452685907965,0.007151082020607097,1,-0.030561573446297875,-0.002529331925518054,-0.0352707723663263,0.0021798669945103724
-20,-20,-0.014223661134677852,0.006829913289240016,1,-0.02761029118158828,-0.000837031087767422,-0.03210799099720952,0.003660668727853816
-19,-19,-0.019007984753858922,0.007227496269191304,2,-0.033173877441473876,-0.004842092066243966,-0.03793339740325103,-8.257210446681318e-05
-18,-18,-0.008513351687952628,0.006691807988734289,2,-0.021629295345871834,0.004602591969966579,-0.026036048738264022,0.009009345362358766
-15,-15,-0.017617330996094107,0.006623009870117781,2,-0.030598430341524957,-0.004636231650663257,-0.03495987813890995,-0.0002747838532782612
-14,-14,0.002791708030246658,0.007515491137974993,2,-0.01193865460018433,0.017522070660677645,-0.01688782769712923,0.02247124375762255
0,0,0.005720326211804036,0.013025024612459026,1,-0.019808722028615652,0.031249374452223727,-0.028386085798403383,0.03982673822201146
1,1,0.006832369841248468,0.009572269913804093,2,-0.011929279189807553,0.02559401887230449,-0.01823290191576811,0.031897641598265046
2,2,0.0026374873811517274,0.007961144933803331,2,-0.012966356689102803,0.01824133145140626,-0.018209005985589777,0.023483980747893228
3,3,0.006080769587075383,0.008571500132509945,1,-0.010719370672644108,0.022880909846794875,-0.016363956911582614,0.028525496085733376
4,4,-0.001128184267393392,0.00857630879570961,1,-0.017937749506984228,0.015681380972197442,-0.02358550239279958,0.021329133858012793
5,5,0.01528197387751995,0.008665788980617027,2,-0.0017029725244894246,0.03226692027952932,-0.0074096507573943,0.037973598512434203
6,6,-0.00443674675708634,0.008363252577460338,2,-0.0208287218089086,0.011955228294735921,-0.026336170876365618,0.017462677362192938
9,9,-0.014819171082551416,0.006969057898389734,2,-0.028478524563395294,-0.0011598176017075384,-0.03306785521771302,0.0034295130526101926
10,10,0.019511307140427904,0.007908693771649902,2,0.004010267347994097,0.03501234693286171,-0.0011978413075863122,0.04022045558844212
12,12,0.009815530039052445,0.0295987979161644,1,-0.04819811387662978,0.06782917395473467,-0.06768979734205138,0.08732085742015627
13,13,0.017351515964525003,0.011751999459664823,2,-0.00568240297641805,0.04038543490546806,-0.013421442048288448,0.048124473977338454
14,14,0.029763907174807182,0.011491882091673377,2,0.007239818275127364,0.052287996074487,-0.00032792581999741,0.059855740169611774
15,15,0.01916612325776148,0.011891638500093019,1,-0.004141488202420836,0.042473734717943794,-0.011972483710601615,0.05030473022612457
16,16,0.015596352823835292,0.011135228713112753,1,-0.006228695453865705,0.037421401101536286,-0.013561572755363686,0.04475427840303427
17,17,0.03248801096082328,0.01206682648561492,1,0.008837031049018035,0.056138990872628525,0.0008906690732391614,0.0640853528484074
18,18,0.016393091762963854,0.012387417211092105,1,-0.007886245970776671,0.04067242949670438,-0.01604372641699649,0.0488299099429242
21,21,0.011981153301514448,0.01191198464837764,1,-0.011366336609305727,0.03532864321233462,-0.019210730657630862,0.043173037260659755
22,22,0.019734846406735364,0.012278785575913248,1,-0.0043315733220546,0.04380126613552533,-0.012417516625001412,0.05188720943847214
25,25,0.021437565997264582,0.014460451579605908,1,-0.006904919098762997,0.04978005109329216,-0.016427553962350024,0.05930268595687919
26,26,0.02028774810885143,0.014398796913843142,1,-0.007933893842281128,0.04850939005998399,-0.017415927285749068,0.057991423503451926
27,27,0.0135089277284329,0.01410333668095949,1,-0.014133612166247698,0.041151467623113495,-0.023421076311587387,0.05043893176845319
28,28,0.02664582512264778,0.01369258625156921,1,-0.00019164393042787192,0.05348329417572343,-0.009208616774883042,0.06250026702017861
29,29,0.02985419819400125,0.014183550932579296,1,0.002054438366145831,0.057653958021856674,-0.007285849235282096,0.0669942456232846
30,30,0.018655682313697578,0.014042253828219838,1,-0.008867135189613302,0.04617849981700846,-0.018114374470614297,0.05542573909800945
