param,est,se,lo,hi,n_cells
overall_post,0.014605441162013828,0.010035139322624304,-0.0050634319103298065,0.034274314234357464,32
C1_post,0.01481520171131933,0.01013005281051905,-0.005039701797298006,0.034670105219936666,22
C5_post,-0.003299719326703805,0.01685705290819852,-0.036339543026772905,0.029740104373365297,10
C1_pre_kpass(2024-01-27~04-30),0.004839231683526764,0.008875604463900885,-0.01255695306571897,0.0222354164327725,2
C1_year1(적용 후 1년차),0.003860475630795282,0.007983901692614889,-0.0117879716867299,0.019508922948320465,8
C1_year2(적용 후 2년차),0.020582585642220937,0.01146416762847867,-0.0018871829095972563,0.04305235419403913,8
C1_year3(적용 후 3년차),0.021731657910815917,0.01392372637569261,-0.005558845785541597,0.04902216160717343,6
C1_2024,0.003860475630795282,0.007983901692614889,-0.0117879716867299,0.019508922948320465,8
C1_2025,0.020582585642220937,0.01146416762847867,-0.0018871829095972563,0.04305235419403913,8
C1_2026,0.021731657910815917,0.01392372637569261,-0.005558845785541597,0.04902216160717343,6
pre_all(placebo),-0.008304875086915301,0.0066329753620475215,-0.021305506796528442,0.00469575662269784,24
C1_pre(placebo),-0.00896236102319173,0.006681659857074519,-0.02205841434305779,0.004133692296674327,8
C5_pre(placebo),0.00445035207684741,0.016778936479735645,-0.028436363423434453,0.03733706757712927,16
