param,est,se,lo,hi,n_cells
overall_post,0.013020107354372878,0.010051158367596498,-0.006680163046116256,0.032720377754862015,43
C1_post,0.013200667979784,0.010152977078087592,-0.006699167093267681,0.033100503052835684,29
C5_post,-0.001491808053669664,0.01479417352200048,-0.030488388156790603,0.027504772049451277,14
C1_pre_kpass(2024-01-27~04-30),-0.004478345968892459,0.010048709403803055,-0.024173816400346444,0.015217124462561528,3
C1_year1(적용 후 1년차),1.9295612689190517e-06,0.00817947149976302,-0.0160298345782666,0.016033693700804437,11
C1_year2(적용 후 2년차),0.022206540916328423,0.011580361949045374,-0.0004909685038005096,0.044904050336457356,11
C1_year3(적용 후 3년차),0.01978945659430932,0.014128955632584385,-0.007903296445556072,0.04748220963417471,7
C1_2024,1.9295612689190517e-06,0.00817947149976302,-0.0160298345782666,0.016033693700804437,11
C1_2025,0.022206540916328423,0.011580361949045374,-0.0004909685038005096,0.044904050336457356,11
C1_2026,0.01978945659430932,0.014128955632584385,-0.007903296445556072,0.04748220963417471,7
pre_all(placebo),-0.00760219456144478,0.006524303602211471,-0.02038982962177926,0.0051854404988897025,37
C1_pre(placebo),-0.008291302149072102,0.006540892030613422,-0.02111145052907441,0.004528846230930205,11
C5_pre(placebo),0.003709771530837576,0.017544474336853164,-0.030677398169394625,0.03809694123106978,26
