g,t,b,e,att,k,n_g,n_g_valid,n_c,t_label,cohort
108,0,104,-108,0.03864893789038289,-2,196,196,95,2022-01-01,C1
108,1,105,-107,0.027498830395678107,-2,196,196,95,2022-01-08,C1
108,2,106,-106,0.041146490844842024,-2,196,196,95,2022-01-15,C1
108,3,107,-105,0.030064815706454397,-2,196,196,95,2022-01-22,C1
108,5,57,-103,0.04581807575439415,-1,196,196,95,2022-02-05,C1
108,6,58,-102,0.04957613540161085,-1,196,196,95,2022-02-12,C1
108,7,59,-101,0.04473109489324724,-1,196,196,95,2022-02-19,C1
108,8,60,-100,0.03468933478481474,-1,196,196,95,2022-02-26,C1
108,9,61,-99,0.020036449685482665,-1,196,196,95,2022-03-05,C1
108,10,62,-98,0.020136674811663292,-1,196,196,95,2022-03-12,C1
108,11,63,-97,0.02485978255853635,-1,196,196,95,2022-03-19,C1
108,12,64,-96,0.015330298251984342,-1,196,196,95,2022-03-26,C1
108,13,65,-95,-0.0028460469644660327,-1,196,196,95,2022-04-02,C1
108,14,66,-94,0.021281215728531037,-1,196,196,95,2022-04-09,C1
108,15,67,-93,0.0014869857399753932,-1,196,196,95,2022-04-16,C1
108,16,68,-92,0.016758456301720542,-1,196,196,95,2022-04-23,C1
108,17,69,-91,-0.0005643084603161579,-1,196,196,95,2022-04-30,C1
108,18,70,-90,0.0002985811039441927,-1,196,196,95,2022-05-07,C1
108,19,71,-89,0.0019265490213063825,-1,196,196,95,2022-05-14,C1
108,20,72,-88,-0.00029071206763577224,-1,196,196,95,2022-05-21,C1
108,21,73,-87,-0.01286714949863961,-1,196,196,95,2022-05-28,C1
108,22,74,-86,0.002189113700392131,-1,196,196,95,2022-06-04,C1
108,23,75,-85,-0.005697458486433334,-1,196,196,95,2022-06-11,C1
108,24,76,-84,-0.0003424703305604567,-1,196,196,95,2022-06-18,C1
108,25,77,-83,0.017120109806892235,-1,196,196,95,2022-06-25,C1
108,26,78,-82,0.005031783522695012,-1,196,196,95,2022-07-02,C1
108,27,79,-81,-0.00878019863027292,-1,196,196,95,2022-07-09,C1
108,28,80,-80,-0.009321633232127775,-1,196,196,95,2022-07-16,C1
108,29,81,-79,-0.01605446817734031,-1,196,196,95,2022-07-23,C1
108,30,82,-78,0.006433899864504816,-1,196,196,95,2022-07-30,C1
108,31,83,-77,0.005086326669365068,-1,196,196,95,2022-08-06,C1
108,32,84,-76,0.012121139706152,-1,196,196,95,2022-08-13,C1
108,33,85,-75,-0.008481525143087257,-1,196,196,95,2022-08-20,C1
108,34,86,-74,-0.01048785690069352,-1,196,196,95,2022-08-27,C1
108,37,89,-71,-0.04041230281218215,-1,196,196,95,2022-09-17,C1
108,40,92,-68,-0.005514388360482538,-1,196,196,95,2022-10-08,C1
108,41,93,-67,-0.010013477523647136,-1,196,196,95,2022-10-15,C1
108,42,94,-66,-0.011658729061486049,-1,196,196,95,2022-10-22,C1
108,43,95,-65,0.004475261068716856,-1,196,196,95,2022-10-29,C1
108,44,96,-64,-0.01943204992028842,-1,196,196,95,2022-11-05,C1
108,45,97,-63,-0.009781453415773314,-1,196,196,95,2022-11-12,C1
108,46,98,-62,-0.01335190567753116,-1,196,196,95,2022-11-19,C1
108,47,99,-61,0.002647431961202179,-1,196,196,95,2022-11-26,C1
108,48,100,-60,0.008318429128803812,-1,196,196,95,2022-12-03,C1
108,49,101,-59,0.0009010829637663897,-1,196,196,95,2022-12-10,C1
108,50,102,-58,-0.005568948138776054,-1,196,196,95,2022-12-17,C1
108,51,103,-57,0.027228234938527572,-1,196,196,95,2022-12-24,C1
108,52,104,-56,0.022385325044868162,-1,196,196,95,2022-12-31,C1
108,53,105,-55,-0.000838836003085628,-1,196,196,95,2023-01-07,C1
108,54,106,-54,0.016634230240795436,-1,196,196,95,2023-01-14,C1
108,108,56,0,-0.032750692502788545,1,196,196,95,2024-01-27,C1
108,111,59,3,-0.008028185691586915,1,196,196,95,2024-02-17,C1
108,112,60,4,-0.003624838944790418,1,196,196,95,2024-02-24,C1
108,113,61,5,0.00293152494745692,1,196,196,95,2024-03-02,C1
108,114,62,6,0.0005445909922792182,1,196,196,95,2024-03-09,C1
108,115,63,7,0.00904507840026756,1,196,196,95,2024-03-16,C1
108,116,64,8,0.031266746537001636,1,196,196,95,2024-03-23,C1
108,117,65,9,-0.005362047778316876,1,196,196,95,2024-03-30,C1
108,118,66,10,-0.019914687485443644,1,196,196,95,2024-04-06,C1
108,119,67,11,-0.006442307636490058,1,196,196,95,2024-04-13,C1
108,120,68,12,0.011034297969897175,1,196,196,95,2024-04-20,C1
108,121,69,13,0.009557490338565075,1,196,196,95,2024-04-27,C1
108,122,70,14,-0.010435107497528635,1,196,196,95,2024-05-04,C1
108,123,71,15,-0.010019487160177944,1,196,196,95,2024-05-11,C1
108,124,72,16,0.0010634020636161087,1,196,196,95,2024-05-18,C1
108,125,73,17,0.00787195604259142,1,196,196,95,2024-05-25,C1
108,126,74,18,0.004243353098653218,1,196,196,95,2024-06-01,C1
108,127,75,19,0.003708468812882079,1,196,196,95,2024-06-08,C1
108,128,76,20,-0.00037656261894648303,1,196,196,95,2024-06-15,C1
108,129,77,21,-0.007366985796236257,1,196,196,95,2024-06-22,C1
108,130,78,22,0.005513765801340139,1,196,196,95,2024-06-29,C1
108,131,79,23,-0.006390209408184572,1,196,196,95,2024-07-06,C1
108,132,80,24,0.01725571416380968,1,196,196,95,2024-07-13,C1
108,133,81,25,-0.001089007376935791,1,196,196,95,2024-07-20,C1
108,134,82,26,-0.010331981801329562,1,196,196,95,2024-07-27,C1
108,135,83,27,-0.013205822314389073,1,196,196,95,2024-08-03,C1
108,136,84,28,0.01162954449482952,1,196,196,95,2024-08-10,C1
108,137,85,29,-0.004588574978197063,1,196,196,95,2024-08-17,C1
108,138,86,30,0.0005900032931576513,1,196,196,95,2024-08-24,C1
108,139,87,31,0.002582131218913439,1,196,196,95,2024-08-31,C1
108,140,88,32,0.003303141523699968,1,196,196,95,2024-09-07,C1
108,144,92,36,-0.012466254461289064,1,196,196,95,2024-10-05,C1
108,145,93,37,-0.001217168608692287,1,196,196,95,2024-10-12,C1
108,146,94,38,0.0010042855572060024,1,196,196,95,2024-10-19,C1
108,147,95,39,-0.0007843346713964309,1,196,196,95,2024-10-26,C1
108,148,96,40,-0.01426358779407073,1,196,196,95,2024-11-02,C1
108,149,97,41,-0.027756789461976586,1,196,196,95,2024-11-09,C1
108,150,98,42,0.009591950440521956,1,196,196,95,2024-11-16,C1
108,151,99,43,-0.03801277149835697,1,196,196,95,2024-11-23,C1
108,152,100,44,0.018931044396305947,1,196,196,95,2024-11-30,C1
108,153,101,45,0.05050225396026725,1,196,196,95,2024-12-07,C1
108,154,102,46,-0.0033996360077453696,1,196,196,95,2024-12-14,C1
108,155,103,47,0.007232417682083088,1,196,196,95,2024-12-21,C1
108,156,104,48,-0.0014978288866824303,1,196,196,95,2024-12-28,C1
108,157,105,49,0.025714461683343858,1,196,196,95,2025-01-04,C1
108,158,106,50,0.028417014827768237,1,196,196,95,2025-01-11,C1
108,159,107,51,0.0067029022607581305,1,196,196,95,2025-01-18,C1
108,161,57,53,0.032779623157344624,2,196,196,95,2025-02-01,C1
108,162,58,54,0.030562055133683756,2,196,196,95,2025-02-08,C1
108,163,59,55,0.016178469265062067,2,196,196,95,2025-02-15,C1
108,164,60,56,0.03959690740379502,2,196,196,95,2025-02-22,C1
108,165,61,57,0.012265377207413188,2,196,196,95,2025-03-01,C1
108,166,62,58,0.015222031311595339,2,196,196,95,2025-03-08,C1
108,167,63,59,0.027965372701980653,2,196,196,95,2025-03-15,C1
108,168,64,60,0.017129619753506797,2,196,196,95,2025-03-22,C1
108,169,65,61,0.010217476681084454,2,196,196,95,2025-03-29,C1
108,170,66,62,0.03268303120868111,2,196,196,95,2025-04-05,C1
108,171,67,63,0.02857064884097191,2,196,196,95,2025-04-12,C1
108,172,68,64,0.028027882130050866,2,196,196,95,2025-04-19,C1
