bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif
-44,-176,0.04729923868460314,0.03998374556574297,2,-0.031068902624253082,0.12566737999345937,-0.05931701234252482,0.1539154897117311
-43,-172,0.0035703804456925963,0.04476474896009506,3,-0.08416852751609372,0.0913092884074789,-0.1157943675229155,0.12293512841430068
-42,-168,-0.022209629939130872,0.048999776700627204,4,-0.11824919227236019,0.07382993239409844,-0.15286703631936807,0.10844777644110634
-41,-164,-0.011392308171238305,0.043522212327791174,4,-0.09669584433370901,0.0739112279912324,-0.12744384484296345,0.10465922850048683
-40,-160,-0.0215272817358533,0.040315938391275064,4,-0.10054652098275242,0.05749195751104581,-0.12902932155478183,0.08597475808307523
-39,-156,0.004851291525743524,0.030398655025148765,4,-0.054730072323548054,0.0644326553750351,-0.07620641302870727,0.08590899608019432
-38,-152,0.013756881884444384,0.025312719644533976,4,-0.03585604861884221,0.06336981238773098,-0.053739227687470366,0.08125299145635914
-37,-148,-0.012461819710468693,0.025378889933154493,4,-0.062204443979451504,0.03728080455851411,-0.08013437168422152,0.05521073226328413
-36,-144,0.009351796736832906,0.026031739276334977,4,-0.04167041224478364,0.06037400571844946,-0.060061571372841446,0.07876516484650727
-35,-140,-0.032935280312065655,0.024110616996984153,1,-0.0801920896261546,0.014321529002023284,-0.09722599539634255,0.031355434772211234
-34,-136,0.0060264981193073695,0.019773493783187455,4,-0.032729549695740046,0.04478254593435478,-0.04669932201190861,0.05875231825052334
-33,-132,0.006532364428663835,0.022335475232973936,4,-0.037245167027965084,0.05030989588529275,-0.05302495319015389,0.06608968204748156
-32,-128,0.0026902304169454504,0.021894954598301826,4,-0.040223880595726125,0.04560434142961703,-0.05569244340839357,0.061072904242284475
-31,-124,0.06029345610487889,0.022293038218581036,4,0.01659910119646006,0.10398781101329772,0.0008492963534729656,0.11973761585628481
-30,-120,0.003185293461719311,0.02258260194337861,2,-0.04107660634730276,0.047447193270741386,-0.057030985017798436,0.06340157194123706
-29,-116,-0.010987895661943477,0.02134248509884761,4,-0.05281916645568479,0.030843375131797836,-0.06789741518407214,0.04592162386018518
-28,-112,0.0016340604015170927,0.02201779565735351,4,-0.04152081908689579,0.04478893988992997,-0.05707616785882999,0.06034428866186417
-27,-108,0.03380706460267278,0.015956984938155106,8,0.00253137412388877,0.06508275508145678,-0.008742073496586539,0.0763562027019321
-26,-104,0.046029679009853164,0.010036757297711106,7,0.026357634706339398,0.06570172331336693,0.019266767721523446,0.07279259029818289
-25,-100,0.02470540596134585,0.01051081754968993,8,0.004104203563953589,0.04530660835873811,-0.003321582169005924,0.052732394091697624
-24,-96,0.00877164638961692,0.010249108217264566,8,-0.011316605716221628,0.028859898495455467,-0.018557496466681523,0.036100789245915366
-23,-92,0.003898753013606622,0.010302393747273507,8,-0.01629393873104945,0.024091444758262692,-0.02357247516669444,0.03136998119390768
-22,-88,-0.004604241976612829,0.010402986735240078,7,-0.02499409597768338,0.015785612024457725,-0.032343700336574736,0.023135216383349082
-21,-84,0.0032730221832365696,0.010931222041486758,6,-0.018152173018077474,0.02469821738455061,-0.02587497025014241,0.03242101461661555
-20,-80,-0.002807610118858522,0.010526279767650889,8,-0.023439118463454263,0.01782389822573722,-0.030875828096195275,0.02526060785847823
-19,-76,-0.0023526583560706292,0.008491203321149285,7,-0.018995416865523227,0.01429010015338197,-0.024994365679900554,0.020289048967759297
-18,-72,-0.03369810871229625,0.007753152398391158,5,-0.04889428741314292,-0.018501930011449577,-0.054371810754524894,-0.013024406670067601
-17,-68,-0.005213548619772472,0.007721627147043933,6,-0.02034793782797858,0.009920840588433635,-0.025803188899808212,0.015376091660263269
-16,-64,-0.009716098752702773,0.00765151752250291,7,-0.024713073096808476,0.005280875591402931,-0.030118792431720533,0.010686594926314989
-15,-60,0.007677125329984912,0.008727670912957506,8,-0.009429109659411801,0.024783360319381623,-0.015595120423181313,0.030949371083151135
-14,-56,0.011492901839908087,0.009146561323745962,7,-0.006434358354633997,0.02942016203445017,-0.012896310934670523,0.0358821146144867
0,0,-0.019560783485722096,0.014763935366043467,6,-0.04849809680316729,0.009376529831723098,-0.05892866703095477,0.01980710005951058
1,4,0.002119112310091314,0.011725562141604116,8,-0.020862989487452754,0.02510121410763538,-0.029146979924012342,0.03338520454419497
2,8,-0.00016404185347119495,0.009922090563269403,8,-0.019611339357479225,0.019283255650536832,-0.02662119546025514,0.026293111753312753
3,12,0.00028732157037902927,0.010136493492037947,8,-0.019580205674015347,0.020154848814773405,-0.026741535266082413,0.02731617840684047
4,16,0.004122196786588735,0.009604939838357526,7,-0.014703485296592015,0.022947878869769484,-0.021489277636761964,0.02973367120993943
5,20,-0.001948712293146315,0.009692730806952255,6,-0.020946464674772736,0.017049040088480107,-0.027794280441663915,0.023896855855371286
6,24,-0.0014359180288344405,0.010224546226918096,8,-0.021476028633593908,0.01860419257592503,-0.028699566587601418,0.02582773052993254
