param,est,se,lo,hi,n_cells
overall_post,0.015626323266153007,0.010227986832477803,-0.004420530925503489,0.0356731774578095,194
C1_post,0.015845352609174076,0.010339284119907479,-0.004419644265844583,0.036110349484192734,128
C5_post,-0.000855302933541326,0.01683047886921519,-0.03384304151720309,0.032132435650120444,66
C1_pre_kpass(2024-01-27~04-30),0.002618269489660585,0.009893805007412543,-0.016773588324868,0.02201012730418917,12
C1_year1(적용 후 1년차),0.0033768308717141387,0.007907706617367624,-0.012122274098326405,0.018875935841754683,47
C1_year2(적용 후 2년차),0.023418248563897605,0.01156902794997155,0.0007429537819533677,0.04609354334584184,48
C1_year3(적용 후 3년차),0.022588428846564604,0.014339650571775418,-0.005517286274115213,0.05069414396724442,33
C1_2024,0.0021403779938952696,0.008117159526050004,-0.013769254677162737,0.018050010664953278,44
C1_2025,0.021604712506949376,0.011354713330793579,-0.0006505256214060368,0.04385995063530479,48
C1_2026,0.02491673060859221,0.014031074318245396,-0.0025841750551687664,0.052417636272353185,36
pre_all(placebo),0.004337639833610061,0.007470135464022283,-0.010303825675873613,0.018979105343093737,63
C1_pre(placebo),0.005201182049182328,0.008189343121760785,-0.010849930469468812,0.021252294567833466,2
C5_pre(placebo),0.003239100883964025,0.010439864943409847,-0.017223034405119273,0.023701236173047324,61
