g,t,b,e,att,k,n_g,n_g_valid,n_c,t_label,cohort
55,0,52,-55,-0.0012493083709971924,-1,194,194,91,2023-01-07,C1
55,1,53,-54,0.01661488248866643,-1,194,194,91,2023-01-14,C1
55,55,3,0,-0.03396527513483877,1,194,194,91,2024-01-27,C1
55,58,6,3,-0.010571997316253046,1,194,194,91,2024-02-17,C1
55,59,7,4,-0.007222912888508615,1,194,194,91,2024-02-24,C1
55,60,8,5,0.0005358271908553099,1,194,194,91,2024-03-02,C1
55,61,9,6,-0.0014363521569591264,1,194,194,91,2024-03-09,C1
55,62,10,7,0.007360931699413126,1,194,194,91,2024-03-16,C1
55,63,11,8,0.030803246389357324,1,194,194,91,2024-03-23,C1
55,64,12,9,-0.006354961976538582,1,194,194,91,2024-03-30,C1
55,65,13,10,-0.021544475712838886,1,194,194,91,2024-04-06,C1
55,66,14,11,-0.008558331776209668,1,194,194,91,2024-04-13,C1
55,67,15,12,0.010261427118147698,1,194,194,91,2024-04-20,C1
55,68,16,13,0.0069593029921221645,1,194,194,91,2024-04-27,C1
55,69,17,14,-0.011451663816673716,1,194,194,91,2024-05-04,C1
55,70,18,15,-0.011682177968299321,1,194,194,91,2024-05-11,C1
55,71,19,16,0.001052351851490092,1,194,194,91,2024-05-18,C1
55,72,20,17,0.006785519982080752,1,194,194,91,2024-05-25,C1
55,73,21,18,0.003126890846334676,1,194,194,91,2024-06-01,C1
55,74,22,19,0.0024838394984843786,1,194,194,91,2024-06-08,C1
55,75,23,20,-0.0015891683713483516,1,194,194,91,2024-06-15,C1
55,76,24,21,-0.008647919401874461,1,194,194,91,2024-06-22,C1
55,77,25,22,0.004742872802001148,1,194,194,91,2024-06-29,C1
55,78,26,23,-0.007366851708250114,1,194,194,91,2024-07-06,C1
55,79,27,24,0.01676230439011788,1,194,194,91,2024-07-13,C1
55,80,28,25,-0.0019950859369397157,1,194,194,91,2024-07-20,C1
55,81,29,26,-0.01211607036024056,1,194,194,91,2024-07-27,C1
55,82,30,27,-0.014013981174218001,1,194,194,91,2024-08-03,C1
55,83,31,28,0.011939282224413844,1,194,194,91,2024-08-10,C1
55,84,32,29,-0.0058317787511287566,1,194,194,91,2024-08-17,C1
55,85,33,30,-0.0028577096363813555,1,194,194,91,2024-08-24,C1
55,86,34,31,0.000530719456097832,1,194,194,91,2024-08-31,C1
55,87,35,32,0.0015597833672599069,1,194,194,91,2024-09-07,C1
55,91,39,36,-0.014623051113464952,1,194,194,91,2024-10-05,C1
55,92,40,37,-0.003336744404069593,1,194,194,91,2024-10-12,C1
55,93,41,38,-0.0007911517049132523,1,194,194,91,2024-10-19,C1
55,94,42,39,-0.002830468128116161,1,194,194,91,2024-10-26,C1
55,95,43,40,-0.0165323259596712,1,194,194,91,2024-11-02,C1
55,96,44,41,-0.02908068258842092,1,194,194,91,2024-11-09,C1
55,97,45,42,0.007996926218099498,1,194,194,91,2024-11-16,C1
55,98,46,43,-0.039264068734950315,1,194,194,91,2024-11-23,C1
55,99,47,44,0.017634148190625774,1,194,194,91,2024-11-30,C1
55,100,48,45,0.048386914402579737,1,194,194,91,2024-12-07,C1
55,101,49,46,-0.004709334492674572,1,194,194,91,2024-12-14,C1
55,102,50,47,0.005988647496207334,1,194,194,91,2024-12-21,C1
55,103,51,48,-0.003081758171347003,1,194,194,91,2024-12-28,C1
55,104,52,49,0.02481336641463289,1,194,194,91,2025-01-04,C1
55,105,53,50,0.02767888839534064,1,194,194,91,2025-01-11,C1
55,106,54,51,0.006419207354318854,1,194,194,91,2025-01-18,C1
55,108,4,53,0.03253318845807646,2,194,194,91,2025-02-01,C1
55,109,5,54,0.029286070681044666,2,194,194,91,2025-02-08,C1
55,110,6,55,0.014271698068724985,2,194,194,91,2025-02-15,C1
55,111,7,56,0.03695676443340044,2,194,194,91,2025-02-22,C1
55,112,8,57,0.010110408675116079,2,194,194,91,2025-03-01,C1
55,113,9,58,0.0135209945975696,2,194,194,91,2025-03-08,C1
55,114,10,59,0.02614637899006543,2,194,194,91,2025-03-15,C1
55,115,11,60,0.016348500910335285,2,194,194,91,2025-03-22,C1
55,116,12,61,0.009418761131808845,2,194,194,91,2025-03-29,C1
55,117,13,62,0.03142939214052251,2,194,194,91,2025-04-05,C1
55,118,14,63,0.026742027986407606,2,194,194,91,2025-04-12,C1
55,119,15,64,0.02697282700720804,2,194,194,91,2025-04-19,C1
55,120,16,65,0.023474663729999668,2,194,194,91,2025-04-26,C1
55,121,17,66,-0.027928714520556286,2,194,194,91,2025-05-03,C1
55,122,18,67,0.025880779570002677,2,194,194,91,2025-05-10,C1
55,123,19,68,0.014027167903283195,2,194,194,91,2025-05-17,C1
55,124,20,69,0.026529124677226117,2,194,194,91,2025-05-24,C1
55,125,21,70,0.006298916372425039,2,194,194,91,2025-05-31,C1
55,126,22,71,0.008523911752396428,2,194,194,91,2025-06-07,C1
55,127,23,72,0.024701307436361775,2,194,194,91,2025-06-14,C1
55,128,24,73,0.004584991573048695,2,194,194,91,2025-06-21,C1
55,129,25,74,0.011141707717746892,2,194,194,91,2025-06-28,C1
55,130,26,75,0.007609550467149475,2,194,194,91,2025-07-05,C1
55,131,27,76,0.02901477599344324,2,194,194,91,2025-07-12,C1
55,132,28,77,0.016980255175009125,2,194,194,91,2025-07-19,C1
55,133,29,78,0.01999125644772588,2,194,194,91,2025-07-26,C1
55,134,30,79,0.00982108847368391,2,194,194,91,2025-08-02,C1
55,135,31,80,0.04215011880435115,2,194,194,91,2025-08-09,C1
55,136,32,81,0.010746677101818404,2,194,194,91,2025-08-16,C1
55,137,33,82,0.027941103769138886,2,194,194,91,2025-08-23,C1
55,138,34,83,0.02496762461721788,2,194,194,91,2025-08-30,C1
55,139,35,84,0.010911849890599769,2,194,194,91,2025-09-06,C1
55,140,36,85,-0.0019703846206514716,2,194,194,91,2025-09-13,C1
55,144,40,89,0.03381236380991055,2,194,194,91,2025-10-11,C1
55,145,41,90,0.030587219312676977,2,194,194,91,2025-10-18,C1
55,146,42,91,0.03318049839792587,2,194,194,91,2025-10-25,C1
55,147,43,92,0.013486181412270596,2,194,194,91,2025-11-01,C1
55,148,44,93,0.00743974797464833,2,194,194,91,2025-11-08,C1
55,149,45,94,0.026930436006308015,2,194,194,91,2025-11-15,C1
55,150,46,95,0.007392407778767192,2,194,194,91,2025-11-22,C1
55,151,47,96,0.023340407819789792,2,194,194,91,2025-11-29,C1
55,152,48,97,0.012112666082863299,2,194,194,91,2025-12-06,C1
55,153,49,98,-0.010526051381720684,2,194,194,91,2025-12-13,C1
55,154,50,99,0.029359641868702203,2,194,194,91,2025-12-20,C1
55,155,51,100,0.015343068583511865,2,194,194,91,2025-12-27,C1
55,156,52,101,0.020743139092079546,2,194,194,91,2026-01-03,C1
55,157,53,102,0.10347976874351936,2,194,194,91,2026-01-10,C1
55,158,54,103,0.028567325586963878,2,194,194,91,2026-01-17,C1
55,159,3,104,0.027025972275477702,3,194,194,91,2026-01-24,C1
55,160,4,105,0.033112689500508524,3,194,194,91,2026-01-31,C1
55,161,5,106,0.048455452530845725,3,194,194,91,2026-02-07,C1
55,163,7,108,0.04595502924292368,3,194,194,91,2026-02-21,C1
55,164,8,109,0.012661522735802422,3,194,194,91,2026-02-28,C1
55,165,9,110,0.019357312723945128,3,194,194,91,2026-03-07,C1
55,166,10,111,0.023277894735164353,3,194,194,91,2026-03-14,C1
55,167,11,112,0.018246632340428927,3,194,194,91,2026-03-21,C1
55,168,12,113,0.012869253766590266,3,194,194,91,2026-03-28,C1
55,169,13,114,0.0346381081792977,3,194,194,91,2026-04-04,C1
55,170,14,115,0.003295505026961895,3,194,194,91,2026-04-11,C1
55,171,15,116,0.014324147071621787,3,194,194,91,2026-04-18,C1
55,172,16,117,0.008478127523621815,3,194,194,91,2026-04-25,C1
55,173,17,118,-0.014806940327419409,3,194,194,91,2026-05-02,C1
55,174,18,119,0.018918110594261822,3,194,194,91,2026-05-09,C1
55,175,19,120,0.025921465190917606,3,194,194,91,2026-05-16,C1
55,176,20,121,0.015296010832238992,3,194,194,91,2026-05-23,C1
55,177,21,122,0.03043412466551912,3,194,194,91,2026-05-30,C1
55,178,22,123,0.02025392648787499,3,194,194,91,2026-06-06,C1
55,179,23,124,0.016088705755740694,3,194,194,91,2026-06-13,C1
55,180,24,125,0.019023404175829334,3,194,194,91,2026-06-20,C1
55,181,25,126,0.010212915307841164,3,194,194,91,2026-06-27,C1
55,182,26,127,0.023464492554121995,3,194,194,91,2026-07-04,C1
55,183,27,128,0.004693081437440013,3,194,194,91,2026-07-11,C1
55,184,28,129,0.026391857217205092,3,194,194,91,2026-07-18,C1
55,185,29,130,0.011157329437471209,3,194,194,91,2026-07-25,C1
55,186,30,131,0.02676248197709863,3,194,194,91,2026-08-01,C1
55,187,31,132,0.059382954183540546,3,194,194,91,2026-08-08,C1
55,188,32,133,-0.012222190245830343,3,194,194,91,2026-08-15,C1
55,189,33,134,0.03467735599852968,3,194,194,91,2026-08-22,C1
55,190,34,135,0.026322031235736867,3,194,194,91,2026-08-29,C1
55,191,35,136,0.011920385999399272,3,194,194,91,2026-09-05,C1
55,192,36,137,-0.011671254878975443,3,194,194,91,2026-09-12,C1
121,0,104,-121,0.0037455142600734855,-2,5,5,101,2023-01-07,C5
121,1,105,-120,0.0325571276994535,-2,5,5,101,2023-01-14,C5
121,4,108,-117,-0.02297171709088537,-2,5,5,101,2023-02-04,C5
121,5,109,-116,-0.007731840120699437,-2,5,5,101,2023-02-11,C5
121,6,110,-115,0.010863188846095691,-2,5,5,101,2023-02-18,C5
121,7,111,-114,-0.04555778917902282,-2,5,5,101,2023-02-25,C5
121,8,112,-113,0.02799420208195498,-2,5,5,101,2023-03-04,C5
121,9,113,-112,0.023490396675477677,-2,5,5,101,2023-03-11,C5
121,10,114,-111,-0.00035646960501568934,-2,5,5,101,2023-03-18,C5
121,11,115,-110,0.011204937494398897,-2,5,5,101,2023-03-25,C5
121,12,116,-109,0.005810029636011596,-2,5,5,101,2023-04-01,C5
