bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif
-31,-124,0.0037455142600734855,0.02117244214995887,1,-0.037752472353845906,0.04524350087399287,-0.052710078185001466,0.060201106705148444
-30,-120,0.0047927053042840645,0.023854772564970598,2,-0.04196264892305831,0.05154805953162644,-0.05881522939967504,0.06840064000824317
-29,-116,-0.0036080595929178956,0.022717985468638128,4,-0.04813531111144863,0.04091919192561283,-0.06418479040680092,0.056968671220965134
-28,-112,0.010037223550218119,0.023387249156122284,4,-0.035801784795781555,0.05587623189621779,-0.05232407598329024,0.07239852308372648
-27,-108,0.01934941378982421,0.024343662618032766,4,-0.028364164941520012,0.06706299252116843,-0.04556212951018825,0.08426095708983666
-26,-104,0.02762453283194121,0.016887897097263373,4,-0.0054757454786949974,0.06072481114257742,-0.01740646685268031,0.07265553251656273
-25,-100,0.021789070001494326,0.010903892169088793,4,0.0004174413500802922,0.043160698652908364,-0.007285785322378505,0.050863925325367154
-24,-96,0.011735624376825581,0.011279229819899627,4,-0.010371666070177688,0.033842914823828854,-0.018340055948404474,0.041811304702055636
-23,-92,-0.020571536516869875,0.01080131708436037,4,-0.0417421180022162,0.0005990449684764518,-0.049372878887563705,0.008229805853823956
-22,-88,-0.02234706944732289,0.007878785806157192,3,-0.03778948962739099,-0.006904649267254795,-0.043355582177410375,-0.0013385567172354076
-21,-84,0.007476877344855953,0.009445130733731596,2,-0.011035578893257975,0.02598933358296988,-0.017708240532301103,0.032661995222013004
-20,-80,0.020631368280400915,0.010174729400572333,4,0.0006888986552791437,0.040573837905522686,-0.006499199474096374,0.0477619360348982
-19,-76,-0.0021322072319362693,0.011112037712193514,4,-0.023911801147835556,0.019647386683963017,-0.03176207552349369,0.027497661059621148
-18,-72,0.03134825914980625,0.010786087857682364,4,0.010207526948748814,0.052488991350863684,0.002587524990885895,0.0601089933087266
-17,-68,0.030001890889357268,0.011311826235199504,2,0.007830711468366239,0.0521730703103483,-0.00016070666177928766,0.060164488440493824
-16,-64,0.002068965208387506,0.011498724899604938,3,-0.020468535594838168,0.024606466011613183,-0.028591991235477086,0.0327299216522521
-15,-60,0.007181054068637026,0.011573622734949687,4,-0.01550324649186436,0.02986535462913841,-0.02367961489007554,0.038041723027349594
-14,-56,0.006412100799585418,0.009452834391462248,6,-0.012115454607680588,0.024939656206851426,-0.018793558617281495,0.03161776021645233
