param,est,se,lo,hi,n_cells
overall_post,0.012043591944604038,0.01187019790964178,-0.011221995958293847,0.035309179847501926,194
C1_post,0.012270840630050787,0.01199440602047103,-0.011238195170072431,0.03577987643017401,128
C5_post,-0.0050565273190738514,0.01705788920885673,-0.03848999016843304,0.02837693553028534,66
C1_pre_kpass(2024-01-27~04-30),-0.0028111309643542564,0.0121921289486328,-0.02670770370367455,0.021085441774966032,12
C1_year1(적용 후 1년차),-0.0008007213001095349,0.009751997179410143,-0.019914635771753415,0.018313193171534344,47
C1_year2(적용 후 2년차),0.02009132513541494,0.013084296417925842,-0.005553895843719708,0.04573654611454959,48
C1_year3(적용 후 3년차),0.019512663492476722,0.01638189264034545,-0.012595846082600354,0.0516211730675538,33
C1_2024,-0.0021942128015781937,0.010030124180318394,-0.021853256195002245,0.017464830591845858,44
C1_2025,0.01813551740086764,0.012834787948045748,-0.007020666977302026,0.04329170177903731,48
C1_2026,0.022130781352063738,0.016002659066533052,-0.00923443041834104,0.05349599312246851,36
pre_all(placebo),0.007534058764041316,0.008528479330119928,-0.009181760722993742,0.024249878251076374,63
C1_pre(placebo),0.007682787058834619,0.009884254967332393,-0.01169035267713687,0.02705592679480611,2
C5_pre(placebo),0.007344856867714099,0.010828715533974166,-0.013879425578875268,0.028569139314303466,61
