g,t,b,e,att,k,n_g,n_g_valid,n_c,t_label,cohort
108,0,104,-108,0.027725707723945232,-2,196,196,92,2022-01-01,C1
108,1,105,-107,0.016095556862795735,-2,196,196,92,2022-01-08,C1
108,2,106,-106,0.03139619522330164,-2,196,196,92,2022-01-15,C1
108,3,107,-105,0.020018764896002354,-2,196,196,92,2022-01-22,C1
108,5,57,-103,0.03781930060655084,-1,196,196,92,2022-02-05,C1
108,6,58,-102,0.04112365546474975,-1,196,196,92,2022-02-12,C1
108,7,59,-101,0.03630355113764767,-1,196,196,92,2022-02-19,C1
108,8,60,-100,0.02746870558318599,-1,196,196,92,2022-02-26,C1
108,9,61,-99,0.010388125204251893,-1,196,196,92,2022-03-05,C1
108,10,62,-98,0.011179584318558295,-1,196,196,92,2022-03-12,C1
108,11,63,-97,0.015486700210338347,-1,196,196,92,2022-03-19,C1
108,12,64,-96,0.00641601503279301,-1,196,196,92,2022-03-26,C1
108,13,65,-95,-0.010619606062876836,-1,196,196,92,2022-04-02,C1
108,14,66,-94,0.01300747412181242,-1,196,196,92,2022-04-09,C1
108,15,67,-93,-0.006286717186337993,-1,196,196,92,2022-04-16,C1
108,16,68,-92,0.008887457070794087,-1,196,196,92,2022-04-23,C1
108,17,69,-91,-0.00874441420811834,-1,196,196,92,2022-04-30,C1
108,18,70,-90,-0.008011833504290477,-1,196,196,92,2022-05-07,C1
108,19,71,-89,-0.006247327936275489,-1,196,196,92,2022-05-14,C1
108,20,72,-88,-0.008355017278990845,-1,196,196,92,2022-05-21,C1
108,21,73,-87,-0.020279849066895186,-1,196,196,92,2022-05-28,C1
108,22,74,-86,-0.006449673031725908,-1,196,196,92,2022-06-04,C1
108,23,75,-85,-0.012781008705974217,-1,196,196,92,2022-06-11,C1
108,24,76,-84,-0.009611726396589363,-1,196,196,92,2022-06-18,C1
108,25,77,-83,0.00812932046503323,-1,196,196,92,2022-06-25,C1
108,26,78,-82,-0.004088561622265908,-1,196,196,92,2022-07-02,C1
108,27,79,-81,-0.01753649685303504,-1,196,196,92,2022-07-09,C1
108,28,80,-80,-0.017781503797686657,-1,196,196,92,2022-07-16,C1
108,29,81,-79,-0.025022166629758775,-1,196,196,92,2022-07-23,C1
108,30,82,-78,-0.001471367089598284,-1,196,196,92,2022-07-30,C1
108,31,83,-77,-0.0022425647036837925,-1,196,196,92,2022-08-06,C1
108,32,84,-76,0.007347775052154664,-1,196,196,92,2022-08-13,C1
108,33,85,-75,-0.013953432687725073,-1,196,196,92,2022-08-20,C1
108,34,86,-74,-0.01518757161435195,-1,196,196,92,2022-08-27,C1
108,37,89,-71,-0.045539470765661755,-1,196,196,92,2022-09-17,C1
108,40,92,-68,-0.008104568842838143,-1,196,196,92,2022-10-08,C1
108,41,93,-67,-0.013424417144062027,-1,196,196,92,2022-10-15,C1
108,42,94,-66,-0.014436243289029567,-1,196,196,92,2022-10-22,C1
108,43,95,-65,0.0009122053216734025,-1,196,196,92,2022-10-29,C1
108,44,96,-64,-0.021658968157181022,-1,196,196,92,2022-11-05,C1
108,45,97,-63,-0.013792799331867176,-1,196,196,92,2022-11-12,C1
108,46,98,-62,-0.01604557873470637,-1,196,196,92,2022-11-19,C1
108,47,99,-61,3.357944177152794e-05,-1,196,196,92,2022-11-26,C1
108,48,100,-60,0.005462374820613363,-1,196,196,92,2022-12-03,C1
108,49,101,-59,-0.0018274597546366648,-1,196,196,92,2022-12-10,C1
108,50,102,-58,-0.00833437389853344,-1,196,196,92,2022-12-17,C1
108,51,103,-57,0.025053695446068024,-1,196,196,92,2022-12-24,C1
108,52,104,-56,0.020431066271696108,-1,196,196,92,2022-12-31,C1
108,53,105,-55,-0.00385637805171124,-1,196,196,92,2023-01-07,C1
108,54,106,-54,0.013841916644067285,-1,196,196,92,2023-01-14,C1
108,108,56,0,-0.03092656550904818,1,196,196,92,2024-01-27,C1
108,111,59,3,-0.006799552853899632,1,196,196,92,2024-02-17,C1
108,112,60,4,-0.004097306573389747,1,196,196,92,2024-02-24,C1
108,113,61,5,0.00356601837181947,1,196,196,92,2024-03-02,C1
108,114,62,6,0.0014045840524154786,1,196,196,92,2024-03-09,C1
108,115,63,7,0.010243244023054996,1,196,196,92,2024-03-16,C1
108,116,64,8,0.03341299105090261,1,196,196,92,2024-03-23,C1
108,117,65,9,-0.003975505404529471,1,196,196,92,2024-03-30,C1
108,118,66,10,-0.018910817069543378,1,196,196,92,2024-04-06,C1
108,119,67,11,-0.005358397740736509,1,196,196,92,2024-04-13,C1
108,120,68,12,0.012442071020135708,1,196,196,92,2024-04-20,C1
108,121,69,13,0.010267728767174841,1,196,196,92,2024-04-27,C1
108,122,70,14,-0.009314474017195352,1,196,196,92,2024-05-04,C1
