param,est,se,lo,hi,n_cells
overall_post,0.014214139759467594,0.011458626202941422,-0.008244767598297592,0.03667304711723278,194
C1_post,0.014467620313354659,0.01158084141785755,-0.00823082886564614,0.03716606949235546,128
C5_post,-0.0050565273190738514,0.016963884339498317,-0.03830574062449055,0.028192685986342846,66
C1_pre_kpass(2024-01-27~04-30),0.00010570767786301574,0.011873219669744528,-0.023165802874836258,0.02337721823056229,12
C1_year1(적용 후 1년차),0.0013426854552103212,0.00946713341133712,-0.017212896031010432,0.019898266941431073,47
C1_year2(적용 후 2년차),0.022250099625589725,0.01266411473091278,-0.002571565246999325,0.04707176449817878,48
C1_year3(적용 후 3년차),0.021840739445036495,0.01575625240058519,-0.009041515260110475,0.052722994150183465,33
C1_2024,5.73924470737145e-05,0.009739913670723938,-0.019032838347545204,0.019147623241692634,44
C1_2025,0.020280031530725388,0.012418766339576842,-0.004060750494845222,0.044620813556296,48
C1_2026,0.024330239415648172,0.01541396256160773,-0.00588112720510298,0.05454160603639932,36
pre_all(placebo),0.001191738778100175,0.0076549286509830046,-0.013811921377826514,0.016195398934026863,160
C1_pre(placebo),0.0008567526114679464,0.00773351537280365,-0.014300937519227208,0.016014442742163102,50
C5_pre(placebo),0.00716058320172897,0.018227994576389097,-0.028566286167993657,0.0428874525714516,110
