param,est,se,lo,hi,n_cells
overall_post,0.016341264129695488,0.009978913309596674,-0.003217405957113992,0.03589993421650497,194
C1_post,0.01662866135239936,0.010084588971281077,-0.003137133031311551,0.03639445573611027,128
C5_post,-0.005284941428433212,0.016247111972513533,-0.03712928089455974,0.02655939803769331,66
C1_pre_kpass(2024-01-27~04-30),0.003662902277176622,0.00964219904012917,-0.015235807841476552,0.022561612395829794,12
C1_year1(적용 후 1년차),0.004049863695078931,0.007780683373571097,-0.01120027571712042,0.01930000310727828,47
C1_year2(적용 후 2년차),0.02423992757652832,0.01144547785585973,0.0018067909790432518,0.04667306417401339,48
C1_year3(적용 후 3년차),0.023472985932274204,0.014011433814296785,-0.003989424343747494,0.0509353962082959,33
C1_2024,0.0028596270947510694,0.007991928391656154,-0.012804552552894992,0.01852380674239713,44
C1_2025,0.02240771187981283,0.01121173334232988,0.0004327145288462661,0.044382709230779395,48
C1_2026,0.02575208029741819,0.013736967154288862,-0.0011723753249879773,0.05267653591982436,36
pre_all(placebo),0.0041600581514204754,0.007224167450844065,-0.009999310052233892,0.018319426355074844,63
C1_pre(placebo),0.0026813041115220744,0.008085734069118273,-0.013166734663949738,0.01852934288699389,2
C5_pre(placebo),0.006041227225127294,0.009999909360868508,-0.013558595122174982,0.02564104957242957,61
