g,t,b,e,att,k,n_g,n_g_valid,n_c,t_label,cohort
108,0,104,-108,0.013103057654483963,-2,196,196,103,2022-01-01,C1
108,1,105,-107,0.0015158830485131336,-2,196,196,103,2022-01-08,C1
108,2,106,-106,0.016845257036677296,-2,196,196,103,2022-01-15,C1
108,3,107,-105,0.004179473412608375,-2,196,196,103,2022-01-22,C1
108,5,57,-103,0.02705620200280693,-1,196,196,103,2022-02-05,C1
108,6,58,-102,0.030528411778754677,-1,196,196,103,2022-02-12,C1
108,7,59,-101,0.02530075594220873,-1,196,196,103,2022-02-19,C1
108,8,60,-100,0.016477549160552298,-1,196,196,103,2022-02-26,C1
108,9,61,-99,-0.0006228017718672529,-1,196,196,103,2022-03-05,C1
108,10,62,-98,0.0007011507902677074,-1,196,196,103,2022-03-12,C1
108,11,63,-97,0.00952503658404309,-1,196,196,103,2022-03-19,C1
108,12,64,-96,0.00013569208181378033,-1,196,196,103,2022-03-26,C1
108,13,65,-95,-0.017565805738151398,-1,196,196,103,2022-04-02,C1
108,14,66,-94,0.006370612612295901,-1,196,196,103,2022-04-09,C1
108,15,67,-93,-0.014140152696516977,-1,196,196,103,2022-04-16,C1
108,16,68,-92,-1.6393265375874884e-05,-1,196,196,103,2022-04-23,C1
108,17,69,-91,-0.015373809098923179,-1,196,196,103,2022-04-30,C1
108,18,70,-90,-0.014255655445327236,-1,196,196,103,2022-05-07,C1
108,19,71,-89,-0.012611304548629545,-1,196,196,103,2022-05-14,C1
108,20,72,-88,-0.013947156878781761,-1,196,196,103,2022-05-21,C1
108,21,73,-87,-0.024350457989064205,-1,196,196,103,2022-05-28,C1
108,22,74,-86,-0.012147308385004659,-1,196,196,103,2022-06-04,C1
108,23,75,-85,-0.018283507454293576,-1,196,196,103,2022-06-11,C1
108,24,76,-84,-0.01495843629814236,-1,196,196,103,2022-06-18,C1
108,25,77,-83,0.0015810706663428524,-1,196,196,103,2022-06-25,C1
108,26,78,-82,-0.010142888402499979,-1,196,196,103,2022-07-02,C1
108,27,79,-81,-0.02221619738843152,-1,196,196,103,2022-07-09,C1
108,28,80,-80,-0.021772397073055783,-1,196,196,103,2022-07-16,C1
108,29,81,-79,-0.029068565371362126,-1,196,196,103,2022-07-23,C1
108,30,82,-78,-0.005922623392440086,-1,196,196,103,2022-07-30,C1
108,31,83,-77,-0.006891044886727893,-1,196,196,103,2022-08-06,C1
108,32,84,-76,0.0015995171382927392,-1,196,196,103,2022-08-13,C1
108,33,85,-75,-0.019531273506882926,-1,196,196,103,2022-08-20,C1
108,34,86,-74,-0.019506036431318347,-1,196,196,103,2022-08-27,C1
108,37,89,-71,-0.04898971899900571,-1,196,196,103,2022-09-17,C1
108,40,92,-68,-0.012084939110302454,-1,196,196,103,2022-10-08,C1
108,41,93,-67,-0.017919059877805753,-1,196,196,103,2022-10-15,C1
108,42,94,-66,-0.01947426336325262,-1,196,196,103,2022-10-22,C1
108,43,95,-65,-0.0030603394326180755,-1,196,196,103,2022-10-29,C1
108,44,96,-64,-0.026808693494944923,-1,196,196,103,2022-11-05,C1
108,45,97,-63,-0.01960581682835896,-1,196,196,103,2022-11-12,C1
108,46,98,-62,-0.020822016780957336,-1,196,196,103,2022-11-19,C1
108,47,99,-61,-0.0054184151435621285,-1,196,196,103,2022-11-26,C1
108,48,100,-60,0.0008206014098431063,-1,196,196,103,2022-12-03,C1
108,49,101,-59,-0.006340282816400656,-1,196,196,103,2022-12-10,C1
108,50,102,-58,-0.013747496406976393,-1,196,196,103,2022-12-17,C1
108,51,103,-57,0.01893617220983996,-1,196,196,103,2022-12-24,C1
108,52,104,-56,0.01408046463571351,-1,196,196,103,2022-12-31,C1
108,53,105,-55,-0.008787824910769819,-1,196,196,103,2023-01-07,C1
108,54,106,-54,0.009304661844617621,-1,196,196,103,2023-01-14,C1
108,108,56,0,-0.021551953453505163,1,196,196,103,2024-01-27,C1
108,111,59,3,0.0006377292778118656,1,196,196,103,2024-02-17,C1
108,112,60,4,0.002972493625699466,1,196,196,103,2024-02-24,C1
