param,est,se,lo,hi,n_cells
overall_post,0.018369300703795444,0.010151367502729802,-0.0015273796015549679,0.038265981009145855,194
C1_post,0.018680441484393157,0.010255513701744974,-0.0014203653710269902,0.03878124833981331,128
C5_post,-0.005284941428433212,0.016498359523442887,-0.037621726094381275,0.027051843237514847,66
C1_pre_kpass(2024-01-27~04-30),0.0062911316881324175,0.009837235489297408,-0.0129898498708905,0.025572113247155335,12
C1_year1(적용 후 1년차),0.005981174800200302,0.007886024929860036,-0.009475434062325368,0.021437783662725973,47
C1_year2(적용 후 2년차),0.026307244158086013,0.011495383100814504,0.0037762932804895864,0.048838195035682444,48
C1_year3(적용 후 3년차),0.025673744691053976,0.014436245238611948,-0.002621295976625443,0.053968785358733395,33
C1_2024,0.004885556600701961,0.008112091155347518,-0.011014142063779172,0.020785255265183093,44
C1_2025,0.02445398271638054,0.011236381951914932,0.0024306740906272738,0.04647729134213381,48
C1_2026,0.02784280136625477,0.014147625284858667,0.00011345580793178239,0.05557214692457776,36
pre_all(placebo),-0.0054433279143129825,0.0069792689987621505,-0.019122695151886797,0.008236039323260832,160
C1_pre(placebo),-0.005966422263561517,0.007010868334613409,-0.0197077241994038,0.007774879672280764,50
C5_pre(placebo),0.003877262308660911,0.0178869233474438,-0.031181107452328934,0.038935632069650755,110
