g,t,b,e,att,k,n_g,n_g_valid,n_c,t_label,cohort
152,0,104,-152,-0.030841839027070342,-2,1,1,101,2022-01-01,C4
152,1,105,-151,-0.030651060807028424,-2,1,1,101,2022-01-08,C4
152,2,106,-150,0.0041848569274561265,-2,1,1,101,2022-01-15,C4
152,3,107,-149,-0.01742199949613997,-2,1,1,101,2022-01-22,C4
152,7,111,-145,0.00020740323704160346,-2,1,1,101,2022-02-19,C4
152,8,112,-144,-0.026062905883298793,-2,1,1,101,2022-02-26,C4
152,9,113,-143,-0.004157993740955657,-2,1,1,101,2022-03-05,C4
152,10,114,-142,-0.010700239154910807,-2,1,1,101,2022-03-12,C4
152,11,115,-141,-0.008310884710798938,-2,1,1,101,2022-03-19,C4
152,12,116,-140,-0.02110613541639278,-2,1,1,101,2022-03-26,C4
152,13,117,-139,0.0037627950042578295,-2,1,1,101,2022-04-02,C4
152,14,118,-138,0.02419056588464119,-2,1,1,101,2022-04-09,C4
152,15,119,-137,-0.03340590197526297,-2,1,1,101,2022-04-16,C4
152,16,120,-136,0.01866658513965415,-2,1,1,101,2022-04-23,C4
152,17,121,-135,0.020539100927204,-2,1,1,101,2022-04-30,C4
152,18,122,-134,0.007867973234258058,-2,1,1,101,2022-05-07,C4
152,19,123,-133,0.026704828751044313,-2,1,1,101,2022-05-14,C4
152,20,124,-132,0.031030306937194108,-2,1,1,101,2022-05-21,C4
152,21,125,-131,0.0231210820572902,-2,1,1,101,2022-05-28,C4
152,22,126,-130,0.010738258586731247,-2,1,1,101,2022-06-04,C4
152,23,127,-129,0.004321894050611105,-2,1,1,101,2022-06-11,C4
152,24,128,-128,0.008116149488230286,-2,1,1,101,2022-06-18,C4
152,25,129,-127,0.025322334069715263,-2,1,1,101,2022-06-25,C4
152,26,130,-126,0.012152791235676613,-2,1,1,101,2022-07-02,C4
152,27,131,-125,0.011170700109988031,-2,1,1,101,2022-07-09,C4
152,28,132,-124,-0.023842256416741526,-2,1,1,101,2022-07-16,C4
152,29,133,-123,-0.03308901714869042,-2,1,1,101,2022-07-23,C4
152,30,134,-122,0.0456998419498785,-2,1,1,101,2022-07-30,C4
152,31,135,-121,0.009800165439839595,-2,1,1,101,2022-08-06,C4
152,32,136,-120,-0.015332725944042669,-2,1,1,101,2022-08-13,C4
152,33,137,-119,0.0032045134641489155,-2,1,1,101,2022-08-20,C4
