bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif
-25,-100,-0.0046947164415492015,0.006236234340611084,2,-0.016917735749146925,0.007528302866048522,-0.02137041013286317,0.011980977249764768
-24,-96,0.014142416203376093,0.009030618757017207,2,-0.003557596560377631,0.03184242896712982,-0.010005462790583753,0.03829029519733594
-23,-92,0.006919851948161793,0.007239784367347224,4,-0.007270125411838765,0.021109829308162353,-0.012439335007794629,0.026279038904118215
-22,-88,0.015088033953506712,0.0063844513791215885,4,0.0025745092504283994,0.027601558656585024,-0.0019839921716190145,0.03216006007863244
-21,-84,0.005671452925538854,0.006225346968503438,4,-0.006530227132727884,0.017873132983805592,-0.010975127927409154,0.022318033778486863
-20,-80,-0.0017741727887171732,0.005737810031568799,4,-0.01302028045059202,0.009471934873157672,-0.01711707963272362,0.013568734055289272
-19,-76,0.0011729782881919554,0.005827247399429344,4,-0.010248426614689558,0.01259438319107347,-0.014409084121423603,0.016755040697807512
-18,-72,-0.015068646441093953,0.006676466583954032,4,-0.028154520945643857,-0.00198277193654405,-0.03292152136743951,0.0027842284852516077
-17,-68,0.0017985940183873877,0.005769902539646535,4,-0.009510414959319822,0.013107602996094597,-0.01363012820798936,0.017227316244764136
-16,-64,-0.023659869429972075,0.006256780802966039,1,-0.035923159803785513,-0.011396579056158639,-0.04039050437171984,-0.006929234488224311
-15,-60,-0.0183803202402213,0.005363950298644619,4,-0.028893662825564752,-0.007866977654877847,-0.032723525974671756,-0.004037114505770845
-14,-56,-0.02255655204742633,0.005294635640221698,4,-0.03293403790226086,-0.012179066192591802,-0.03671441035119229,-0.00839869374366037
0,0,0.03093469883112928,0.005679897570659713,4,0.019802099592636242,0.04206729806962232,0.015746649936052234,0.04612274772620632
1,4,-0.001973423544097454,0.004581768092566624,4,-0.010953689005528035,0.0070068419173331285,-0.014225073675126702,0.010278226586931793
2,8,0.005301445466884356,0.009622643556890702,1,-0.01355893590462142,0.024161826838390132,-0.020429508132861467,0.03103239906663018
3,12,0.012029230359697603,0.005300639694148502,4,0.001639976559166539,0.022418484160228666,-0.002144682787219054,0.026203143506614263
4,16,0.00032242754410004336,0.004712855894588992,4,-0.00891477000929438,0.009559625097494466,-0.012279751433954286,0.012924606522154372
5,20,-0.039153125778607,0.004272515008615852,4,-0.04752725519549407,-0.030778996361719935,-0.05057783301118322,-0.027728418546030788
6,24,-0.08150218865097979,0.004149946509675269,4,-0.08963608380994331,-0.07336829349201626,-0.09259914765715804,-0.07040522964480153
7,28,-0.130628955950521,0.00478647905668378,4,-0.1400104549016212,-0.12124745699942077,-0.14342800330019562,-0.11782990860084637
8,32,-0.153147807380154,0.005243050779103393,4,-0.16342418690719665,-0.14287142785311133,-0.1671677277399405,-0.13912788702036746
9,36,-0.16617626184638115,0.00555186972678824,4,-0.1770579265108861,-0.15529459718187621,-0.1810219642240323,-0.15133055946873
10,40,-0.1997133134671023,0.00591979425153177,2,-0.21131611020010457,-0.18811051673410004,-0.21554284620471778,-0.18388378072948683
11,44,-0.22202377960929837,0.006567081638295274,3,-0.2348952596203571,-0.20915229959823964,-0.23958415913720005,-0.20446340008139668
12,48,-0.2338384449769506,0.006161835020176542,4,-0.24591564161649662,-0.2217612483374046,-0.2503151948488624,-0.21736169510503883
13,52,-0.21026929968024838,0.008622318923022709,4,-0.22716904476937289,-0.19336955459112387,-0.23332538471746614,-0.18721321464303062
14,56,-0.23390379996798955,0.008271739010745552,4,-0.2501164084290508,-0.21769119150692826,-0.2560224341475013,-0.21178516578847778
15,60,-0.2109805557196875,0.009878259110779782,1,-0.23034194357681587,-0.19161916786255911,-0.2373950254361436,-0.18456608600323138
16,64,-0.19601189958857773,0.008406624776299554,4,-0.21248888415012485,-0.17953491502703062,-0.21849121837146449,-0.17353258080569098
17,68,-0.19752287661614007,0.007697792312620412,4,-0.21261054954887607,-0.18243520368340407,-0.21810677704282463,-0.1769389761894555
18,72,-0.21335744536994755,0.0074610374879831255,4,-0.22798107884639449,-0.19873381189350062,-0.23330826327920937,-0.19340662746068574
19,76,-0.21321801914781074,0.007091976310835164,4,-0.22711829271704767,-0.19931774557857382,-0.23218196728802024,-0.19425407100760125
20,80,-0.23727569160019063,0.0076195852056901,4,-0.2522100786033432,-0.22234130459703805,-0.25765046618451215,-0.21690091701586914
21,84,-0.2437091647000928,0.007386726375360805,4,-0.2581871483958,-0.2292311810043856,-0.26346127465768565,-0.22395705474249994
22,88,-0.22766599612025745,0.007537421409975932,4,-0.2424393420838103,-0.2128926501567046,-0.24782106467446352,-0.20751092756605138
23,92,-0.26510041318787503,0.008308245346354052,1,-0.28138457406672895,-0.2488162523090211,-0.2873166653267433,-0.24288416104900673
