g,t,b,e,att,k,n_g,n_g_valid,n_c,t_label,cohort
135,0,104,-135,-0.10009814924692922,-2,2,2,112,2023-01-07,C6
135,1,105,-134,-0.09119419232058543,-2,2,2,112,2023-01-14,C6
135,4,108,-131,-0.09498763169033826,-2,2,2,112,2023-02-04,C6
135,5,109,-130,-0.09162264740647746,-2,2,2,112,2023-02-11,C6
135,6,110,-129,-0.0804111966048525,-2,2,2,112,2023-02-18,C6
135,7,111,-128,-0.08165624233222574,-2,2,2,112,2023-02-25,C6
135,8,112,-127,-0.09515867987516732,-2,2,2,112,2023-03-04,C6
135,9,113,-126,-0.0862738302515851,-2,2,2,112,2023-03-11,C6
135,10,114,-125,-0.09539237152414767,-2,2,2,112,2023-03-18,C6
135,11,115,-124,-0.07719897926365496,-2,2,2,112,2023-03-25,C6
135,12,116,-123,-0.08403297378682699,-2,2,2,112,2023-04-01,C6
135,13,117,-122,-0.08739014727096676,-2,2,2,112,2023-04-08,C6
135,14,118,-121,-0.08859481018724144,-2,2,2,112,2023-04-15,C6
135,15,119,-120,-0.08804900676461952,-2,2,2,112,2023-04-22,C6
135,16,120,-119,-0.05108461191980436,-2,2,2,112,2023-04-29,C6
135,17,121,-118,-0.11365377181928167,-2,2,2,112,2023-05-06,C6
135,18,122,-117,-0.08255481008969504,-2,2,2,112,2023-05-13,C6
135,19,123,-116,-0.06573623951380707,-2,2,2,112,2023-05-20,C6
135,20,124,-115,-0.05905613542397117,-2,2,2,112,2023-05-27,C6
135,21,125,-114,-0.055021063826707545,-2,2,2,112,2023-06-03,C6
135,22,126,-113,-0.059709185570066325,-2,2,2,112,2023-06-10,C6
135,23,127,-112,-0.06226665208740755,-2,2,2,112,2023-06-17,C6
135,24,128,-111,-0.043302223086677936,-2,2,2,112,2023-06-24,C6
135,25,129,-110,-0.050315085978138614,-2,2,2,112,2023-07-01,C6
135,26,130,-109,-0.04756413392996024,-2,2,2,112,2023-07-08,C6
135,27,131,-108,-0.05703291211564719,-2,2,2,112,2023-07-15,C6
135,28,132,-107,-0.06770593538329203,-2,2,2,112,2023-07-22,C6
135,29,133,-106,-0.04033889115459567,-2,2,2,112,2023-07-29,C6
135,30,134,-105,-0.03990866798639421,-2,2,2,112,2023-08-05,C6
135,31,83,-104,-0.06150168416801472,-1,2,2,112,2023-08-12,C6
135,32,84,-103,-0.05397507331128659,-1,2,2,112,2023-08-19,C6
135,33,85,-102,-0.049444684401587134,-1,2,2,112,2023-08-26,C6
135,34,86,-101,-0.04886207086241276,-1,2,2,112,2023-09-02,C6
135,35,87,-100,-0.04064270955310008,-1,2,2,112,2023-09-09,C6
135,39,91,-96,-0.03810714091373968,-1,2,2,112,2023-10-07,C6
135,40,92,-95,-0.027206579872170344,-1,2,2,112,2023-10-14,C6
135,41,93,-94,-0.040246537089967054,-1,2,2,112,2023-10-21,C6
