bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif
-47,-188,-0.1700394904509325,0.04491686337235154,4,-0.25807654266074154,-0.08200243824112348,-0.279707291931101,-0.06037168897076399
-46,-184,-0.17796671214200935,0.04352925641088331,3,-0.2632840547073406,-0.09264936957667806,-0.28424656991112013,-0.07168685437289857
-45,-180,-0.16793086392453363,0.04597511843575531,4,-0.25804209605861406,-0.07781963179045323,-0.2801824724093601,-0.05567925543970713
-44,-176,-0.16177488729716472,0.04415446230726931,4,-0.24831763341941257,-0.07523214117491686,-0.26958123091103947,-0.05396854368328999
-43,-172,-0.1413370496002458,0.04296315921966983,4,-0.22554484167079866,-0.05712925752969292,-0.24623473974403,-0.03643935945646157
-42,-168,-0.10868434104878935,0.04041806793693284,4,-0.18790375420517771,-0.02946492789240099,-0.2073680049986627,-0.010000677098916
-41,-164,-0.10645598687895337,0.03869930636257835,4,-0.18230662734960695,-0.030605346408299802,-0.20094316895150854,-0.011968804806398184
-40,-160,-0.11333824906755038,0.040384600285349945,4,-0.19249206562683627,-0.0341844325082645,-0.21194019930247943,-0.014736298832621328
-39,-156,-0.11113883309762437,0.02520127616918093,3,-0.160533334389219,-0.06174433180602975,-0.1726695889088119,-0.04960807728643684
-38,-152,-0.11183802392955486,0.027135206558706892,2,-0.16502302878462036,-0.05865301907448935,-0.17809061199062182,-0.045585435868487886
-37,-148,-0.09638514240495745,0.030788274079653358,4,-0.15673015960107803,-0.03604012520883687,-0.17155696154321962,-0.021213323266695283
-36,-144,-0.10980014022118122,0.030387643980859663,4,-0.16935992242366615,-0.05024035801869628,-0.1839937917216619,-0.035606488720700546
-35,-140,-0.10479231678386597,0.03487802046179286,4,-0.17315323688897996,-0.036431396678751976,-0.1899495503225645,-0.01963508324516744
-34,-136,-0.09056385043156037,0.02658780694367142,3,-0.14267595204115635,-0.038451748821964386,-0.15547992236472286,-0.025647778498397902
-33,-132,-0.08784571128669064,0.033643643834723694,3,-0.15378725320274908,-0.021904169370632193,-0.16998912416371517,-0.005702298409666101
-32,-128,-0.08763952112485925,0.03368770557271324,4,-0.1536674240473772,-0.021611618202341296,-0.16989051395230578,-0.005388528297412709
-31,-124,-0.08196917021160005,0.028717438782583638,4,-0.13825535022546398,-0.025682990197736122,-0.15208489377224982,-0.011853446650950297
-30,-120,-0.08082477247835108,0.02843103451971173,4,-0.13654960013698608,-0.025099944819716093,-0.15024121911969918,-0.011408325837002978
-29,-116,-0.05708598845916262,0.0286145212413568,4,-0.11317045009222196,-0.0010015268261032925,-0.12695043132849324,0.012778454410167985
-28,-112,-0.048314573498944496,0.030918699031509386,4,-0.1089152236007029,0.012286076602813903,-0.12380483468000103,0.027175687682112037
-27,-108,-0.049129591458473974,0.028289647186938917,4,-0.10457729994487425,0.006318117027926298,-0.11820083060361292,0.01994164768666496
-26,-104,-0.05253155611516379,0.013889037434703641,4,-0.07975406948718292,-0.025309042743144654,-0.08644265510515464,-0.018620457125172928
-25,-100,-0.04025709706069197,0.015495731926542664,1,-0.0706287316367156,-0.009885462484668348,-0.07809105796358175,-0.0024231361578021943
-24,-96,-0.03190382460723135,0.013082118280764238,4,-0.057544776437529255,-0.006262872776933447,-0.06384477156654317,3.712235208045561e-05
-23,-92,-0.03128647905245838,0.01727599791584948,4,-0.06514743496752336,0.0025744768626066034,-0.07346708935245129,0.010894131247534536
-22,-88,-0.04698891621393772,0.020615571454370107,4,-0.08739543626450313,-0.006582396163372313,-0.09732333914360647,0.003345506715731028
-21,-84,-0.030512989687400426,0.019464788919143956,4,-0.06866397596892257,0.007637996594121725,-0.07803769303416279,0.017011713659361938
-20,-80,-0.04551937530381084,0.019815910265919633,1,-0.08435855942501332,-0.006680191182608361,-0.0939013670554743,0.0028626164478526353
-19,-76,-0.050315448216536995,0.02025577729089767,4,-0.09001677170669642,-0.010614124726377565,-0.09977140742610309,-0.000859489006970901
-18,-72,-0.046753502098563174,0.019474483265847872,4,-0.08492348929962501,-0.008583514897501344,-0.09430187490062547,0.0007948707034991231
-17,-68,-0.024384766008986307,0.016795452584246428,4,-0.057303853074109304,0.00853432105613669,-0.06539208979536873,0.01662255777739611
-16,-64,-0.008147074350206045,0.007291548330955963,4,-0.02243850907887973,0.006144360378467642,-0.02594992198481078,0.009655773284398688
-15,-60,-0.0055119844689719135,0.008875763652564551,4,-0.022908481227998434,0.011884512290054605,-0.027182809481065467,0.01615884054312164
-14,-56,-0.0033306547532210556,0.01033279266650832,4,-0.02358292837957736,0.01692161887313525,-0.02855892248626802,0.02189761297982591
0,0,0.004772824201777583,0.012184330148362886,4,-0.019108462889013675,0.02865411129256884,-0.024976107481239386,0.03452175588479455
1,4,-0.007243477274211358,0.010047793970423123,2,-0.026937153456240683,0.012450198907817964,-0.031775899881892396,0.017288945333469675
2,8,0.019320406897762397,0.013906878690490761,3,-0.007937075335599494,0.04657788913112429,-0.014634252820892861,0.053275066616417656
3,12,0.008472235602226395,0.01045472097198897,4,-0.012019017502871984,0.028963488707324774,-0.01705372899111594,0.033998200195568734
4,16,-0.006394322451248569,0.009295882898796846,4,-0.024614252932890386,0.01182560803039325,-0.02909089927757414,0.016302254375077006
5,20,0.006680358402260991,0.006904982961487351,4,-0.006853408202254217,0.020214125006776197,-0.010178661658130554,0.023539378462652534
6,24,-0.009720312835182475,0.010741279646783685,2,-0.030773220942878494,0.011332595272513546,-0.0359459313558102,0.016505305685445254
7,28,-0.00830970899040663,0.005413861994321059,4,-0.018920878499275907,0.002301460518462646,-0.0215280483368646,0.004908630356051338
8,32,-0.004838328341527162,0.005356766631329852,4,-0.015337590938933672,0.005660934255879348,-0.01791726519048545,0.008240608507431123
9,36,0.0047860380569635045,0.005839002673105914,4,-0.006658407182324086,0.016230483296251097,-0.009470313297938068,0.019042389411865077
10,40,0.022588451663537658,0.005265294329250414,4,0.012268474778206848,0.03290842854886847,0.009732851118858287,0.03544405220821703
11,44,0.025719545146012414,0.006520779252081001,4,0.012938817811933652,0.03850027248009118,0.00979858649435797,0.04164050379766686
12,48,0.02331188545318901,0.00753210534419508,4,0.008548958978566654,0.03807481192781137,0.004921700306748829,0.041702070599629194
13,52,0.026194778643437153,0.014927676483348886,4,-0.003063467263926662,0.055453024550800964,-0.010252233418936496,0.0626417907058108
14,56,0.01009993556894577,0.016410950317113426,1,-0.022065527052596547,0.042265398190488086,-0.029968597858211057,0.0501684689961026
