g,t,b,e,att,n_g,n_g_valid,n_c,t_label,cohort
25,1,13,-24,-0.005984162792033287,283,283,111,2022-02-01,C1
25,2,14,-23,-0.015739117622513288,283,283,111,2022-03-01,C1
25,3,15,-22,-0.0213347004443048,283,283,111,2022-04-01,C1
25,4,16,-21,-0.026724727021597387,283,283,111,2022-05-01,C1
25,5,17,-20,-0.025192747707095224,283,283,111,2022-06-01,C1
25,6,18,-19,-0.032253765573631146,283,283,111,2022-07-01,C1
25,7,19,-18,-0.019022477475856052,283,283,111,2022-08-01,C1
25,8,20,-17,-0.03374854413051707,283,283,111,2022-09-01,C1
25,9,21,-16,-0.014058997525143814,283,283,111,2022-10-01,C1
25,10,22,-15,-0.03074625125489812,283,283,111,2022-11-01,C1
25,11,23,-14,-0.0050376429698816925,283,283,111,2022-12-01,C1
25,25,13,0,-0.013183185203253883,283,283,111,2024-02-01,C1
25,26,14,1,0.018460087924564605,283,283,111,2024-03-01,C1
25,27,15,2,0.013405205567406181,283,283,111,2024-04-01,C1
25,28,16,3,0.013958898769985555,283,283,111,2024-05-01,C1
25,29,17,4,0.004816908306497739,283,283,111,2024-06-01,C1
25,30,18,5,0.021781813146815605,283,283,111,2024-07-01,C1
25,31,19,6,0.002587463694987498,283,283,111,2024-08-01,C1
25,32,20,7,-0.006185028144896484,283,283,111,2024-09-01,C1
25,33,21,8,0.017705368597765045,283,283,111,2024-10-01,C1
25,34,22,9,-0.009464125707544634,283,283,111,2024-11-01,C1
25,35,23,10,0.03037644826518599,283,283,111,2024-12-01,C1
25,37,13,12,0.04248930136364693,283,283,111,2025-02-01,C1
25,38,14,13,0.03469651649270854,283,283,111,2025-03-01,C1
25,39,15,14,0.04541887886472339,283,283,111,2025-04-01,C1
25,40,16,15,0.02784515802631919,283,283,111,2025-05-01,C1
25,41,17,16,0.02177426196864816,283,283,111,2025-06-01,C1
25,42,18,17,0.04206770676616593,283,283,111,2025-07-01,C1
25,43,19,18,0.025302658874698822,283,283,111,2025-08-01,C1
25,44,20,19,0.04699665477312907,283,283,111,2025-09-01,C1
25,45,21,20,0.025838493121917754,283,283,111,2025-10-01,C1
25,46,22,21,0.01868151534842421,283,283,111,2025-11-01,C1
25,47,23,22,0.034144845575653386,283,283,111,2025-12-01,C1
25,49,13,24,0.021561412182587246,283,283,111,2026-02-01,C1
25,50,14,25,0.035502446861287076,283,283,111,2026-03-01,C1
25,51,15,26,0.03288714903175727,283,283,111,2026-04-01,C1
25,52,16,27,0.025929174338838783,283,283,111,2026-05-01,C1
25,53,17,28,0.03769014217156137,283,283,111,2026-06-01,C1
25,54,18,29,0.04054635700110524,283,283,111,2026-07-01,C1
25,55,19,30,0.03165057098869006,283,283,111,2026-08-01,C1
35,0,24,-35,-0.01114593986449372,14,14,111,2022-01-01,C4
35,1,25,-34,-0.006465821212933404,14,14,111,2022-02-01,C4
35,2,26,-33,-0.016303922826494788,14,14,111,2022-03-01,C4
35,3,27,-32,-0.02957623141737356,14,14,111,2022-04-01,C4
35,4,28,-31,-0.031502887436293904,14,14,111,2022-05-01,C4
35,5,29,-30,-0.02482846162737444,14,14,111,2022-06-01,C4
35,6,30,-29,-0.041195962644593256,14,14,111,2022-07-01,C4
35,7,31,-28,-0.014599352096982779,14,14,111,2022-08-01,C4
35,8,32,-27,-0.003592532849799131,14,14,111,2022-09-01,C4
35,9,33,-26,-0.03998133407712185,14,14,111,2022-10-01,C4
35,11,23,-24,-0.036665559718215994,14,14,111,2022-12-01,C4
35,12,24,-23,-0.04294403239921349,14,14,111,2023-01-01,C4
35,13,25,-22,-0.01059528373175663,14,14,111,2023-02-01,C4
35,14,26,-21,-0.01636776278760179,14,14,111,2023-03-01,C4
35,15,27,-20,-0.04472486575204229,14,14,111,2023-04-01,C4
35,16,28,-19,-0.041526349208476296,14,14,111,2023-05-01,C4
35,17,29,-18,-0.020513394646627336,14,14,111,2023-06-01,C4
35,18,30,-17,-0.03895806503567961,14,14,111,2023-07-01,C4
35,19,31,-16,-0.0063037469214843374,14,14,111,2023-08-01,C4
35,20,32,-15,0.02054514125459532,14,14,111,2023-09-01,C4
35,21,33,-14,-0.01704560392557372,14,14,111,2023-10-01,C4
35,35,23,0,0.01077287482431503,14,14,111,2024-12-01,C4
35,36,24,1,-0.03381398667789198,14,14,111,2025-01-01,C4
35,37,25,2,0.005673589760249108,14,14,111,2025-02-01,C4
35,38,26,3,-0.0038070083314892906,14,14,111,2025-03-01,C4
35,39,27,4,-0.022365655320869357,14,14,111,2025-04-01,C4
35,40,28,5,-0.03079020335984706,14,14,111,2025-05-01,C4
35,41,29,6,-0.022620644343958024,14,14,111,2025-06-01,C4
35,42,30,7,-0.040802056547663855,14,14,111,2025-07-01,C4
35,43,31,8,-0.03721084684170862,14,14,111,2025-08-01,C4
35,44,32,9,-0.03691819550315048,14,14,111,2025-09-01,C4
35,45,33,10,-0.07147592777835782,14,14,111,2025-10-01,C4
35,47,23,12,-0.05764324869736441,14,14,111,2025-12-01,C4
35,48,24,13,-0.07139756123332824,14,14,111,2026-01-01,C4
35,49,25,14,-0.054412417338531735,14,14,111,2026-02-01,C4
35,50,26,15,-0.05045115871567858,14,14,111,2026-03-01,C4
35,51,27,16,-0.05857199716738868,14,14,111,2026-04-01,C4
35,52,28,17,-0.0702869847555409,14,14,111,2026-05-01,C4
35,53,29,18,-0.07005779861570488,14,14,111,2026-06-01,C4
35,54,30,19,-0.07391033308298772,14,14,111,2026-07-01,C4
35,55,31,20,-0.060965429320748124,14,14,111,2026-08-01,C4
41,0,36,-41,0.028893540531810792,5,5,111,2022-01-01,C5
41,1,37,-40,-0.033036948463909366,5,5,111,2022-02-01,C5
41,2,38,-39,-0.0020116702007769716,5,5,111,2022-03-01,C5
41,3,39,-38,-0.02927862751028898,5,5,111,2022-04-01,C5
41,5,29,-36,0.01694956150937668,5,5,111,2022-06-01,C5
41,6,30,-35,-0.01931995196616461,5,5,111,2022-07-01,C5
41,7,31,-34,0.009983231792879743,5,5,111,2022-08-01,C5
41,8,32,-33,-0.009336139075197428,5,5,111,2022-09-01,C5
41,9,33,-32,-0.00733382483979108,5,5,111,2022-10-01,C5
41,10,34,-31,0.003571647670063356,5,5,111,2022-11-01,C5
41,11,35,-30,0.03777636083990782,5,5,111,2022-12-01,C5
41,12,36,-29,0.0449877566853951,5,5,111,2023-01-01,C5
41,13,37,-28,0.0027636377970835357,5,5,111,2023-02-01,C5
41,14,38,-27,0.023021017827336406,5,5,111,2023-03-01,C5
41,15,39,-26,0.010043122702321036,5,5,111,2023-04-01,C5
41,17,29,-24,0.02927919115025491,5,5,111,2023-06-01,C5
41,18,30,-23,-0.00560211864066508,5,5,111,2023-07-01,C5
41,19,31,-22,-0.013663759066699787,5,5,111,2023-08-01,C5
41,20,32,-21,-0.008058728906623508,5,5,111,2023-09-01,C5
41,21,33,-20,-0.006350996195954195,5,5,111,2023-10-01,C5
41,22,34,-19,0.023355348359356314,5,5,111,2023-11-01,C5
41,23,35,-18,0.008002744967554104,5,5,111,2023-12-01,C5
41,24,36,-17,0.0560848569350353,5,5,111,2024-01-01,C5
41,25,37,-16,-0.028083165548493043,5,5,111,2024-02-01,C5
41,26,38,-15,0.010764927784662402,5,5,111,2024-03-01,C5
41,27,39,-14,-0.014873643130433333,5,5,111,2024-04-01,C5
41,41,29,0,0.00416172783209193,5,5,111,2025-06-01,C5
41,42,30,1,0.0022203820434338935,5,5,111,2025-07-01,C5
41,43,31,2,-0.0036174170531437988,5,5,111,2025-08-01,C5
41,44,32,3,0.024477215917622697,5,5,111,2025-09-01,C5
41,45,33,4,-0.006575341939057511,5,5,111,2025-10-01,C5
41,46,34,5,-0.01043228375682504,5,5,111,2025-11-01,C5
41,47,35,6,0.015465969619527994,5,5,111,2025-12-01,C5
41,48,36,7,0.04120200402294001,5,5,111,2026-01-01,C5
41,49,37,8,-0.04438410417490452,5,5,111,2026-02-01,C5
41,50,38,9,0.012051085687406857,5,5,111,2026-03-01,C5
41,51,39,10,-0.026865787629474787,5,5,111,2026-04-01,C5
41,53,29,12,0.009402388173474573,5,5,111,2026-06-01,C5
41,54,30,13,-0.01891167709026594,5,5,111,2026-07-01,C5
41,55,31,14,-0.01989512186982844,5,5,111,2026-08-01,C5
44,0,36,-44,-0.16779252439708353,2,2,111,2022-01-01,C6
44,1,37,-43,-0.17422137868901716,2,2,111,2022-02-01,C6
44,2,38,-42,-0.17203062084972423,2,2,111,2022-03-01,C6
