param,est,se,lo,hi,n_cells
overall_post,0.021223755749051568,0.00833870667817782,0.004879890659823038,0.037567620838280094,74
C1_post,0.02363045168859916,0.008563578642984607,0.006845837548349332,0.04041506582884899,29
C4_post,-0.042552749452382285,0.01650787510992499,-0.07490818466783528,-0.010197314236929302,20
C5_post,-0.0015500685869287208,0.014689153271899742,-0.030340808999852212,0.027240671825994774,14
C6_post,0.00757991866055247,0.0066184995070116106,-0.005392340373190287,0.020552177694295227,11
C1_pre_kpass(2024-01-27~04-30),0.0062273694295723004,0.007289662594742833,-0.008060369256123651,0.020515108115268254,3
C1_2024,0.008569077747046657,0.006060779278455682,-0.0033100496387264786,0.020448205132819794,11
C1_2025,0.03320509010691231,0.009805335847590605,0.013986631845634725,0.052423548368189896,11
C1_2026,0.032252464653689576,0.01286681352294612,0.007033510148715182,0.05747141915866397,7
pre_all(placebo),-0.021061049068474363,0.005930572321466402,-0.032684970818548514,-0.009437127318400214,87
C1_pre(placebo),-0.020894830410679265,0.0059023358859391795,-0.03246340874712006,-0.009326252074238473,11
C4_pre(placebo),-0.022585331853597,0.011714885014667983,-0.04554650648234625,0.0003758427751522492,21
C5_pre(placebo),0.004943360500309236,0.017198478468590555,-0.028765657298128248,0.03865237829874672,26
C6_pre(placebo),-0.08054161435868076,0.02876997899522973,-0.13693077318933103,-0.02415245552803049,29
