g,t,b,e,att,n_g,n_g_valid,n_c,t_label,cohort
25,1,13,-24,0.013426957933059981,195,195,102,2022-02-01,C1
25,2,14,-23,0.005174569385695951,195,195,102,2022-03-01,C1
25,3,15,-22,-0.0029115703540052483,195,195,102,2022-04-01,C1
25,4,16,-21,-0.016930874880013495,195,195,102,2022-05-01,C1
25,5,17,-20,-0.014458193762714627,195,195,102,2022-06-01,C1
25,6,18,-19,-0.020126927557112203,195,195,102,2022-07-01,C1
25,7,19,-18,-0.008588696675605256,195,195,102,2022-08-01,C1
25,8,20,-17,-0.02479191521002739,195,195,102,2022-09-01,C1
25,9,21,-16,-0.008709522934489384,195,195,102,2022-10-01,C1
25,10,22,-15,-0.018706846988352257,195,195,102,2022-11-01,C1
25,11,23,-14,0.002871175783430378,195,195,102,2022-12-01,C1
25,25,13,0,-0.022574497518655336,195,195,102,2024-02-01,C1
25,26,14,1,0.007572484965976794,195,195,102,2024-03-01,C1
25,27,15,2,0.003400418997980983,195,195,102,2024-04-01,C1
25,28,16,3,0.006308340514557687,195,195,102,2024-05-01,C1
25,29,17,4,-0.0007783443348132815,195,195,102,2024-06-01,C1
25,30,18,5,0.016553969957780443,195,195,102,2024-07-01,C1
25,31,19,6,-0.00418676148796503,195,195,102,2024-08-01,C1
25,32,20,7,-0.014085128468902402,195,195,102,2024-09-01,C1
25,33,21,8,0.007494985074039297,195,195,102,2024-10-01,C1
25,34,22,9,-0.014994218341810335,195,195,102,2024-11-01,C1
25,35,23,10,0.02130111020834189,195,195,102,2024-12-01,C1
25,37,13,12,0.02697420482808526,195,195,102,2025-02-01,C1
25,38,14,13,0.019187560574811073,195,195,102,2025-03-01,C1
25,39,15,14,0.03190122125084692,195,195,102,2025-04-01,C1
25,40,16,15,0.019766709571065244,195,195,102,2025-05-01,C1
25,41,17,16,0.016363711681747713,195,195,102,2025-06-01,C1
25,42,18,17,0.033616664644237605,195,195,102,2025-07-01,C1
25,43,19,18,0.017459492672535673,195,195,102,2025-08-01,C1
25,44,20,19,0.0342257027674939,195,195,102,2025-09-01,C1
25,45,21,20,0.021330756241799077,195,195,102,2025-10-01,C1
25,46,22,21,0.012693479541993817,195,195,102,2025-11-01,C1
25,47,23,22,0.020678328401269274,195,195,102,2025-12-01,C1
25,49,13,24,0.0093137193817816,195,195,102,2026-02-01,C1
25,50,14,25,0.02272831005205432,195,195,102,2026-03-01,C1
25,51,15,26,0.02156660847711367,195,195,102,2026-04-01,C1
25,52,16,27,0.014362333957435653,195,195,102,2026-05-01,C1
25,53,17,28,0.02758664628437983,195,195,102,2026-06-01,C1
25,54,18,29,0.031211999936060938,195,195,102,2026-07-01,C1
25,55,19,30,0.019637175161148362,195,195,102,2026-08-01,C1
35,0,24,-35,-0.017429426701252613,12,12,102,2022-01-01,C4
35,1,25,-34,-0.0026542145118998023,12,12,102,2022-02-01,C4
35,2,26,-33,-0.0027846648526562243,12,12,102,2022-03-01,C4
35,3,27,-32,-0.013472885462241995,12,12,102,2022-04-01,C4
35,4,28,-31,-0.023945790369330956,12,12,102,2022-05-01,C4
35,5,29,-30,-0.015100810461780807,12,12,102,2022-06-01,C4
35,6,30,-29,-0.03413115335273366,12,12,102,2022-07-01,C4
35,7,31,-28,-0.004366454007221566,12,12,102,2022-08-01,C4
35,8,32,-27,-0.020959592051433083,12,12,102,2022-09-01,C4
35,9,33,-26,-0.03741568674272112,12,12,102,2022-10-01,C4
35,11,23,-24,-0.03593792914507495,12,12,102,2022-12-01,C4
35,12,24,-23,-0.035504117679771796,12,12,102,2023-01-01,C4
35,13,25,-22,-0.006851886939197551,12,12,102,2023-02-01,C4
35,14,26,-21,-0.014359602971491286,12,12,102,2023-03-01,C4
35,15,27,-20,-0.02860043766918232,12,12,102,2023-04-01,C4
35,16,28,-19,-0.033168338955047144,12,12,102,2023-05-01,C4
35,17,29,-18,-0.028704396495341226,12,12,102,2023-06-01,C4
35,18,30,-17,-0.031117058692797198,12,12,102,2023-07-01,C4
35,19,31,-16,0.005488466873292054,12,12,102,2023-08-01,C4
35,20,32,-15,0.011386321423831822,12,12,102,2023-09-01,C4
35,21,33,-14,-0.018152298934447496,12,12,102,2023-10-01,C4
35,35,23,0,0.005170857980733138,12,12,102,2024-12-01,C4
35,36,24,1,-0.036075750218432484,12,12,102,2025-01-01,C4
35,37,25,2,0.015774482225002127,12,12,102,2025-02-01,C4
35,38,26,3,0.0016163459325266596,12,12,102,2025-03-01,C4
35,39,27,4,-0.0027620318759113654,12,12,102,2025-04-01,C4
35,40,28,5,-0.03476241570318288,12,12,102,2025-05-01,C4
35,41,29,6,-0.03132693477857272,12,12,102,2025-06-01,C4
35,42,30,7,-0.04422382825601949,12,12,102,2025-07-01,C4
35,43,31,8,-0.045539814462325974,12,12,102,2025-08-01,C4
35,44,32,9,-0.032638366240860285,12,12,102,2025-09-01,C4
35,45,33,10,-0.06744954261577198,12,12,102,2025-10-01,C4
35,47,23,12,-0.07023597163523798,12,12,102,2025-12-01,C4
35,48,24,13,-0.06964975267051915,12,12,102,2026-01-01,C4
35,49,25,14,-0.06075784774501988,12,12,102,2026-02-01,C4
35,50,26,15,-0.05238164068517621,12,12,102,2026-03-01,C4
35,51,27,16,-0.05558702631210843,12,12,102,2026-04-01,C4
35,52,28,17,-0.08045671719437174,12,12,102,2026-05-01,C4
35,53,29,18,-0.06305661440293225,12,12,102,2026-06-01,C4
35,54,30,19,-0.07838020357596598,12,12,102,2026-07-01,C4
35,55,31,20,-0.05566285904091376,12,12,102,2026-08-01,C4
44,0,36,-44,-0.17362134967436746,2,2,39,2022-01-01,C6
44,1,37,-43,-0.1690536174094464,2,2,39,2022-02-01,C6
44,2,38,-42,-0.1666729111626824,2,2,39,2022-03-01,C6
44,3,39,-41,-0.1420370678789424,2,2,39,2022-04-01,C6
44,4,40,-40,-0.1301827277545022,2,2,39,2022-05-01,C6
44,5,41,-39,-0.1035160647583957,2,2,39,2022-06-01,C6
44,6,42,-38,-0.09577963795118216,2,2,39,2022-07-01,C6
44,8,32,-36,-0.10223168647865943,2,2,39,2022-09-01,C6
44,9,33,-35,-0.09816633364573588,2,2,39,2022-10-01,C6
44,10,34,-34,-0.11547105439465792,2,2,39,2022-11-01,C6
44,11,35,-33,-0.10757926374619176,2,2,39,2022-12-01,C6
44,12,36,-32,-0.08434365619250656,2,2,39,2023-01-01,C6
44,13,37,-31,-0.07480306543462681,2,2,39,2023-02-01,C6
44,14,38,-30,-0.07779959213417105,2,2,39,2023-03-01,C6
44,15,39,-29,-0.06338260519476849,2,2,39,2023-04-01,C6
44,16,40,-28,-0.0680715867842655,2,2,39,2023-05-01,C6
44,17,41,-27,-0.05249724835267497,2,2,39,2023-06-01,C6
44,18,42,-26,-0.037169429873748036,2,2,39,2023-07-01,C6
44,20,32,-24,-0.033959257136830734,2,2,39,2023-09-01,C6
44,21,33,-23,-0.026905248899528653,2,2,39,2023-10-01,C6
44,22,34,-22,-0.03577681994385932,2,2,39,2023-11-01,C6
44,23,35,-21,-0.0401571999613439,2,2,39,2023-12-01,C6
44,24,36,-20,-0.039709385386419244,2,2,39,2024-01-01,C6
44,25,37,-19,-0.0389051905279402,2,2,39,2024-02-01,C6
44,26,38,-18,-0.036932094121793324,2,2,39,2024-03-01,C6
44,27,39,-17,-0.030924389651640006,2,2,39,2024-04-01,C6
44,28,40,-16,-0.009914210449546447,2,2,39,2024-05-01,C6
44,29,41,-15,0.0027942659454953836,2,2,39,2024-06-01,C6
44,30,42,-14,0.011939085537588854,2,2,39,2024-07-01,C6
44,44,32,0,-0.024923542501066154,2,2,39,2025-09-01,C6
44,45,33,1,0.005450040794479208,2,2,39,2025-10-01,C6
44,46,34,2,-0.0038446113766711395,2,2,39,2025-11-01,C6
