g,t,b,e,att,k,n_g,n_g_valid,n_c,t_label,cohort
25,1,13,-24,-0.008458257743138102,-1,283,283,112,2022-02-01,C1
25,2,14,-23,-0.026287373963855047,-1,283,283,112,2022-03-01,C1
25,3,15,-22,-0.026061329567271106,-1,283,283,112,2022-04-01,C1
25,4,16,-21,-0.03149781711333567,-1,283,283,112,2022-05-01,C1
25,5,17,-20,-0.029169898838918865,-1,283,283,112,2022-06-01,C1
25,6,18,-19,-0.0410999825169217,-1,283,283,112,2022-07-01,C1
25,7,19,-18,-0.025208699768407068,-1,283,283,112,2022-08-01,C1
25,8,20,-17,-0.036308419129520784,-1,283,283,112,2022-09-01,C1
25,9,21,-16,-0.01552698894958503,-1,283,283,112,2022-10-01,C1
25,10,22,-15,-0.03212524295403345,-1,283,283,112,2022-11-01,C1
25,11,23,-14,-0.011402757569069468,-1,283,283,112,2022-12-01,C1
25,25,13,0,-0.009877906475869495,1,283,283,112,2024-02-01,C1
25,26,14,1,0.02007451970671728,1,283,283,112,2024-03-01,C1
25,27,15,2,0.017234520148235323,1,283,283,112,2024-04-01,C1
25,28,16,3,0.019102764592909025,1,283,283,112,2024-05-01,C1
25,29,17,4,0.009196006877062112,1,283,283,112,2024-06-01,C1
25,30,18,5,0.01889985097791888,1,283,283,112,2024-07-01,C1
25,31,19,6,0.007076406203885341,1,283,283,112,2024-08-01,C1
25,32,20,7,0.004461602251071197,1,283,283,112,2024-09-01,C1
25,33,21,8,0.024449493226919673,1,283,283,112,2024-10-01,C1
25,34,22,9,-0.0036510325832876684,1,283,283,112,2024-11-01,C1
25,35,23,10,0.03973807593642595,1,283,283,112,2024-12-01,C1
25,37,13,12,0.05741179431216174,2,283,283,112,2025-02-01,C1
25,38,14,13,0.050209829581871604,2,283,283,112,2025-03-01,C1
25,39,15,14,0.058383320504603105,2,283,283,112,2025-04-01,C1
25,40,16,15,0.04345161444486561,2,283,283,112,2025-05-01,C1
25,41,17,16,0.03779781980914829,2,283,283,112,2025-06-01,C1
25,42,18,17,0.05430887292555602,2,283,283,112,2025-07-01,C1
