bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif
-44,-44,-0.17362134967436746,0.043503154299322166,1,-0.2588875321010389,-0.08835516724769601,-0.296909884603301,-0.050332814745433926
-43,-43,-0.1690536174094464,0.05251080546118863,1,-0.2719747961133761,-0.0661324387055167,-0.3178699590637586,-0.020237275755134204
-42,-42,-0.1666729111626824,0.044253774519579576,1,-0.25341030922105834,-0.07993551310430644,-0.2920887140733083,-0.04125710825205653
-41,-41,-0.06663751310917736,0.04346293446917555,2,-0.15182486466876144,0.01854983845040671,-0.18981206448878596,0.05653703827043123
-40,-40,-0.11400660716605256,0.04321179699589095,2,-0.1987017292779988,-0.0293114850541063,-0.2364694315078014,0.008456217175696279
-39,-39,-0.10560436902991636,0.04509777133150134,2,-0.193996000839659,-0.017212737220173732,-0.23341207046152251,0.02220333240168977
-38,-38,-0.10763556097974433,0.0391893690487953,2,-0.18444672431538311,-0.030824397644105536,-0.21869876944439004,0.003427647484901389
-36,-36,-0.04535954662474673,0.030631965888102314,2,-0.10539819976542726,0.014679106515933807,-0.1321709573641295,0.041451864114636056
-35,-35,-0.03322173688282053,0.01703675060272975,3,-0.06661376806417084,0.00017029429852978561,-0.0815041213579367,0.015060647592295653
-34,-34,-0.021063529020437892,0.01979392483015185,3,-0.059859621687535516,0.017732563646659733,-0.07715978300726398,0.035032724966388186
-33,-33,-0.02948342554941253,0.018773805810116208,3,-0.0662800849372403,0.007313233838415235,-0.0826886482660005,0.023721797167175443
-32,-32,-0.03274269109101102,0.015511702630909589,3,-0.06314562824759382,-0.002339753934428229,-0.07670306873305076,0.011217686551028713
-31,-31,-0.038712014026152514,0.01660419292657547,3,-0.07125623216224043,-0.006167795890064595,-0.08576852412447307,0.008344496072168042
-30,-30,-0.027480371742370144,0.016075133934186164,3,-0.058987634253375026,0.004026890768634734,-0.07303752141239019,0.018076777927649893
-29,-29,-0.03471048059319629,0.01627467823457881,3,-0.06660884993297075,-0.002812111253421831,-0.0808331415426872,0.011412180356294613
-28,-28,-0.02865778626083073,0.014509357949517975,3,-0.05709612784188596,-0.00021944467977549897,-0.06977750535171556,0.012461932830054104
-27,-27,-0.031156455232982015,0.014359456623153686,3,-0.05930099021436324,-0.00301192025160079,-0.07185135191250333,0.0095384414465393
-26,-26,-0.0437347229988428,0.014048202442267845,3,-0.07126919978568777,-0.01620024621199782,-0.08354752106804522,-0.003921924929640379
-24,-24,-0.009630930462636402,0.010536479663282063,4,-0.030282430602669247,0.01102056967739644,-0.03949145809372794,0.02022959716845514
-23,-23,-0.026499368459297946,0.011147070116080826,4,-0.04834762588681636,-0.004651111031779526,-0.058090317793818166,0.0050915808752222715
-22,-22,-0.025527628209613146,0.009309732745943952,4,-0.0437747043916633,-0.007280552027563,-0.05191153828036475,0.0008562818611384596
-21,-21,-0.03128421806870324,0.008649312021528934,4,-0.04823686963089995,-0.014331566506506528,-0.05579648676399024,-0.006771949373416242
-20,-20,-0.02947569679502547,0.008812255579592332,4,-0.04674771773102644,-0.012203675859024501,-0.054449749764885334,-0.004501643825165609
-19,-19,-0.04007610100750736,0.010615514555725899,4,-0.06088250953673012,-0.019269692478284597,-0.07016061460592951,-0.009991587409085206
-18,-18,-0.025619216036784114,0.00917109354246463,4,-0.04359455938001479,-0.00764387269355344,-0.05161022070662905,0.0003717886330608239
-17,-17,-0.03483135080327296,0.008044534603906712,4,-0.05059863862693011,-0.019064062979615805,-0.0576296720164136,-0.012033029590132315
-16,-16,-0.015517221243540538,0.00919597867351469,4,-0.03354133944362933,0.002506896956548257,-0.041578750715508254,0.01054430822842718
-15,-15,-0.030167928865656914,0.009863891710000464,4,-0.04950115661725782,-0.010834701114056006,-0.05812233302808241,-0.002213524703231419
-14,-14,-0.01223624054644924,0.009857042125179937,4,-0.03155604311180192,0.007083562018903438,-0.04017123289170893,0.015698751798810452
0,0,-0.008338908991346396,0.011421476330834287,4,-0.030725002599781597,0.014047184617088804,-0.040707529295644446,0.024029711312951656
1,1,0.018236690344367874,0.009745049018207904,4,-0.0008636057313196194,0.03733698642005537,-0.00938091200232483,0.045854292691060575
2,2,0.01750877174861451,0.007325690465651601,4,0.0031504184359373733,0.03186712506129165,-0.003252335334306033,0.038269878831535056
3,3,0.018751038398960952,0.00769181867024701,4,0.003675073805276813,0.03382700299264509,-0.003047681028805864,0.04054975782672777
4,4,0.008388034086028156,0.007081500139425139,4,-0.005491706187245116,0.022267774359301426,-0.011681034268915647,0.02845710244097196
5,5,0.016410270994944104,0.008104138328960973,4,0.000526159870180596,0.032294382119707615,-0.006556967991093787,0.039377509980981995
6,6,0.005806154337560801,0.008120201286674273,4,-0.010109440184320773,0.021721748859442377,-0.0172066072905704,0.028818915965692006
7,7,0.0036322280572564083,0.008563289035863604,4,-0.013151818453036253,0.020416274567549072,-0.020636250318829378,0.027900706433342196
8,8,0.020712872833159004,0.007174787028849094,4,0.0066502902566147794,0.034775455409703226,0.00037942815630476884,0.04104631751001324
9,9,-0.004167442896883272,0.008391311958818712,4,-0.02061441433616795,0.012279528542401403,-0.02794853588191581,0.019613650088149265
10,10,0.033535346016120154,0.00967543004285046,4,0.014571503132133255,0.052499188900107054,0.006115044798812606,0.0609556472334277
12,12,0.05184089100751356,0.011463144083233493,3,0.029373128604375912,0.07430865341065121,0.019354183722401802,0.08432759829262532
13,13,0.04485276534982934,0.01139031706485552,3,0.022527743902712522,0.06717778679694617,0.012572450831947399,0.07713307986771128
14,14,0.05256926714722829,0.010138736548307404,3,0.03269734351254577,0.0724411907819108,0.023835948949868777,0.0813025853445878
15,15,0.0394867728071779,0.012934956933635491,2,0.014134257217252335,0.06483928839710346,0.002828927751983401,0.0761446178623724
16,16,0.033796356473260944,0.01115302513790548,2,0.011936427202966206,0.05565628574355568,0.0021885305253535672,0.06540418242116833
17,17,0.04857507964741657,0.010560492807575279,2,0.027876513744569027,0.06927364555026412,0.018646498436610377,0.07850366085822277
18,18,0.03705523130261866,0.011644296117632156,2,0.014232410912059634,0.059878051693177684,0.004055136671689663,0.07005532593354766
19,19,0.05641237285952867,0.011081195697190032,2,0.03469322929303621,0.07813151642602113,0.025008112530096695,0.08781663318896066
20,20,0.03148422222640007,0.009772238502371326,2,0.012330634761752272,0.05063780969104787,0.0037895645093101483,0.05917887994349
21,21,0.03257504263710191,0.011961511959042739,1,0.009130479197378145,0.05601960607682568,-0.0013240460317000824,0.0664741313059039
22,22,0.0466431807667171,0.010500806455337115,1,0.026061600114256355,0.06722476141917784,0.016883751495378664,0.07640261003805554
24,24,0.0414799071469531,0.01502881564974415,1,0.012023428473454566,0.07093638582045163,-0.0011119621787811645,0.08407177647268736
25,25,0.0501611221764388,0.012381024080390305,1,0.0258943149788738,0.07442792937400379,0.015073130411782987,0.0852491139410946
26,26,0.041302391916908654,0.012247590283369017,1,0.01729711496150538,0.06530766887231193,0.006592553359985084,0.07601223047383222
27,27,0.03650910686211086,0.013982374775714115,1,0.009103652301711198,0.06391456142251052,-0.003117134698766684,0.07613534842298841
28,28,0.04824022848368671,0.012072036404503989,1,0.024579037130858895,0.07190141983651453,0.014027912023148181,0.08245254494422524
29,29,0.0488542690277242,0.01278201977535875,1,0.023801510268021048,0.07390702778742735,0.012629849973099683,0.08507868808234871
