g,t,b,e,att,n_g,n_g_valid,n_c,t_label,cohort
55,0,52,-55,-0.007082583176671344,195,195,102,2023-01-07,C1
55,1,53,-54,0.011323568504996644,195,195,102,2023-01-14,C1
55,55,3,0,-0.02325280364592895,195,195,102,2024-01-27,C1
55,58,6,3,-0.002125333742012776,195,195,102,2024-02-17,C1
55,59,7,4,0.0010042225234402728,195,195,102,2024-02-24,C1
55,60,8,5,0.007343621758486985,195,195,102,2024-03-02,C1
55,61,9,6,0.0054069226067103345,195,195,102,2024-03-09,C1
55,62,10,7,0.01470270476102623,195,195,102,2024-03-16,C1
55,63,11,8,0.03747458141076949,195,195,102,2024-03-23,C1
55,64,12,9,-0.00040398480323559395,195,195,102,2024-03-30,C1
55,65,13,10,-0.014660870929934589,195,195,102,2024-04-06,C1
55,66,14,11,-0.0025162399675661,195,195,102,2024-04-13,C1
55,67,15,12,0.015453179577425025,195,195,102,2024-04-20,C1
55,68,16,13,0.013556269139103032,195,195,102,2024-04-27,C1
55,69,17,14,-0.005867987341600095,195,195,102,2024-05-04,C1
55,70,18,15,-0.006346641096513218,195,195,102,2024-05-11,C1
55,71,19,16,0.006089893082531859,195,195,102,2024-05-18,C1
55,72,20,17,0.014258817782598054,195,195,102,2024-05-25,C1
55,73,21,18,0.00826747197227171,195,195,102,2024-06-01,C1
55,74,22,19,0.007869415470219129,195,195,102,2024-06-08,C1
55,75,23,20,0.004163506694791966,195,195,102,2024-06-15,C1
55,76,24,21,-0.0023481058436847103,195,195,102,2024-06-22,C1
55,77,25,22,0.01016257227332543,195,195,102,2024-06-29,C1
55,78,26,23,-0.0012154915072985356,195,195,102,2024-07-06,C1
55,79,27,24,0.025018124769838317,195,195,102,2024-07-13,C1
55,80,28,25,0.005020487939204511,195,195,102,2024-07-20,C1
55,81,29,26,-0.0049298191701967415,195,195,102,2024-07-27,C1
55,82,30,27,-0.007602255839536474,195,195,102,2024-08-03,C1
55,83,31,28,0.015965394793389147,195,195,102,2024-08-10,C1
55,84,32,29,-0.0020934249926241964,195,195,102,2024-08-17,C1
55,85,33,30,0.0029834071496402624,195,195,102,2024-08-24,C1
55,86,34,31,0.004712066412430301,195,195,102,2024-08-31,C1
55,87,35,32,0.005112916428382161,195,195,102,2024-09-07,C1
55,91,39,36,-0.01006051869424723,195,195,102,2024-10-05,C1
55,92,40,37,-0.00017272671342105292,195,195,102,2024-10-12,C1
55,93,41,38,0.0028867088475746042,195,195,102,2024-10-19,C1
55,94,42,39,0.0010446015933806597,195,195,102,2024-10-26,C1
55,95,43,40,-0.013921071238616505,195,195,102,2024-11-02,C1
55,96,44,41,-0.025724872420413148,195,195,102,2024-11-09,C1
55,97,45,42,0.011659367384207066,195,195,102,2024-11-16,C1
