bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif
-34,-136,-0.08588635194216707,0.030941141939434126,2,-0.14653099014345794,-0.02524171374087618,-0.17320011672709548,0.0014274128427613497
-33,-132,-0.07700363754380384,0.03557781538050282,3,-0.14673615568958936,-0.007271119398018305,-0.17740177442496785,0.02339449933736018
-32,-128,-0.08087916850829324,0.03614468950444086,4,-0.15172275993699733,-0.010035577079589159,-0.18287698500105898,0.021118647984472508
-31,-124,-0.07085015999748945,0.02256533579166091,5,-0.11507821814914483,-0.026622101845834065,-0.1345279785299376,-0.007172341465041296
-30,-120,-0.0701860306049929,0.02261723714802163,6,-0.1145158154151153,-0.025856245794870503,-0.1340103111791514,-0.006361750030834404
-29,-116,-0.06344109942924923,0.02304841676415171,8,-0.1086159962869866,-0.01826620257151188,-0.12848213908930478,0.0015999402308063265
-28,-112,-0.05228417595069988,0.022609185743410604,8,-0.09659818000778467,-0.007970171893615097,-0.11608573601732922,0.011517384115929452
-27,-108,-0.04191563133271459,0.022147425475270415,8,-0.0853245852642446,0.0014933225988154261,-0.10441413582633571,0.020582873160906533
-26,-104,-0.017068856736366645,0.01676104170111392,8,-0.049920498470549926,0.01578278499781664,-0.06436735837234739,0.030229644899614102
-25,-100,-0.01967707013009181,0.008949639717070128,7,-0.03721836397554926,-0.00213577628463436,-0.04493233506813843,0.005578194807954809
-24,-96,-0.01187678664178771,0.011836841404352398,10,-0.03507699579431841,0.01132342251074299,-0.04527953526041316,0.021525961976837735
-23,-92,-0.029688214378453544,0.011444485519199013,12,-0.05211940599608361,-0.007257022760823479,-0.06198376179761054,0.002607333040703451
-22,-88,-0.03231814174307729,0.01110855362691646,11,-0.05409090685183355,-0.010545376634321028,-0.06366571257223222,-0.0009705709139223653
-21,-84,-0.029367792689199607,0.01136618342782736,10,-0.05164551220774123,-0.00709007317065798,-0.06144237701651031,0.0027067916381110953
-20,-80,-0.03142223182904003,0.0120432108272983,9,-0.0550269250505447,-0.007817538607535365,-0.06540734070085752,0.0025628770427774603
-19,-76,-0.026770177773099476,0.010579651935608387,12,-0.04750629556689191,-0.00603405997930704,-0.05662522457196425,0.0030848690257652966
-18,-72,-0.012190228775437859,0.010867719722529133,12,-0.03349095943159496,0.009110501880719242,-0.0428581829659738,0.018477725415098088
-17,-68,-0.002399471468760767,0.009256938126842272,10,-0.02054307019737162,0.015744127259850086,-0.028521911287493717,0.023722968349972184
-16,-64,-0.005934809515281584,0.012463014531712545,8,-0.030362317997438174,0.018492698966875006,-0.04110457543611222,0.029234956405549056
-15,-60,-0.020860652012561237,0.01043392956331406,12,-0.0413111539566568,-0.00041015006846567906,-0.050304480344980446,0.008583176319857971
-14,-56,-0.016790035129361017,0.008349514465224712,14,-0.033155083481201456,-0.00042498677752058137,-0.0403517880702197,0.006771717811497664
0,0,0.010103740869279315,0.01050556445343846,14,-0.010487165459460067,0.030694647198018697,-0.019542236173713,0.03974971791227163
1,4,0.017622545431631838,0.009866019416356397,14,-0.0017148526244267007,0.036959943487690376,-0.010218679703804578,0.045463770567068254
2,8,0.017293681301647917,0.008961611725102913,12,-0.0002710776795537932,0.03485844028284962,-0.00799536781590391,0.042582730419199744
3,12,0.017894207766124593,0.007683389858433344,16,0.0028347636435952384,0.03295365188865395,-0.003787787557879365,0.03957620309012855
4,16,0.020399766653892336,0.007052643867530425,15,0.0065765846735327035,0.034222948634251966,0.0004976929370655338,0.04030184037071914
5,20,0.006057291636987915,0.007157856212022596,14,-0.007972106538576374,0.020086689812552204,-0.01414168404672306,0.02625626732069889
6,24,0.008368587947327187,0.00812291285647223,14,-0.007552321251358381,0.024289497146012758,-0.014553710909864197,0.031290886804518574
7,28,0.014707416281837794,0.007267480563176173,16,0.0004631543780124949,0.02895167818566309,-0.005800911746723928,0.03521574431039952
8,32,0.01387224381790979,0.009425126507082274,13,-0.004601004135971467,0.032345491771791045,-0.012724811989482504,0.04046929962530208
9,36,0.01080056121367089,0.00717965639516275,15,-0.0032715653208481004,0.024872687748189883,-0.009459933080655479,0.03106105550799726
10,40,-0.004739112138517175,0.008340788465701134,13,-0.0210870575312914,0.011608833254257047,-0.028276240911612224,0.01879801663457787
11,44,0.036402693678508846,0.010216090930423213,15,0.01637915545487935,0.056426231902138343,0.00757359091732205,0.06523179643969565
