param,est,se,lo,hi,n_cells
overall_post,0.03278855018194284,0.008930967237291549,0.015283854396851405,0.05029324596703428,330
C1_post,0.035350198078484246,0.009221131651008449,0.017276780042507687,0.05342361611446081,128
C4_post,-0.037952253211134754,0.015240545545792279,-0.06782372248088762,-0.008080783941381887,84
C5_post,0.015268737726273058,0.01618337184111186,-0.016450671082306183,0.0469881465348523,66
C6_post,-0.003946166199648122,0.013391786367148441,-0.030194067479259065,0.02230173507996282,52
C1_pre_kpass(2024-01-27~04-30),0.02190854353011675,0.008903909055695425,0.004456881780953718,0.03936020527927979,12
C1_2024,0.014972211376833059,0.007234506448210406,0.0007925787383406633,0.029151844015325452,44
C1_2025,0.043673783846398605,0.010088288952807185,0.023900737498896523,0.06344683019390068,48
C1_2026,0.0491585119121721,0.012338974600710258,0.024974121694779992,0.07334290212956421,36
pre_all(placebo),-0.02241089688851112,0.00821792213868163,-0.03851802428032711,-0.006303769496695127,179
C1_pre(placebo),-0.02109176912367395,0.009259938310590854,-0.03924124821243202,-0.002942290034915876,2
C4_pre(placebo),-0.01951841218335587,0.011081955561112286,-0.04123904508313595,0.0022022207164242094,41
C5_pre(placebo),-0.022343523696962807,0.016340827517131458,-0.05437154563054046,0.009684498236614849,61
C6_pre(placebo),-0.03859397261570571,0.02258845587351617,-0.0828673461277974,0.0056794008963859804,75
