g,t,b,e,att,k,n_g,n_g_valid,n_c,t_label,cohort
25,1,13,-24,0.0007975559230170015,-1,283,283,101,2022-02-01,C1
25,2,14,-23,-0.01089116467758322,-1,283,283,101,2022-03-01,C1
25,3,15,-22,-0.01727787630368384,-1,283,283,101,2022-04-01,C1
25,4,16,-21,-0.02344601815854151,-1,283,283,101,2022-05-01,C1
25,5,17,-20,-0.02215581401465177,-1,283,283,101,2022-06-01,C1
25,6,18,-19,-0.030910551656035866,-1,283,283,101,2022-07-01,C1
25,7,19,-18,-0.016871414549213336,-1,283,283,101,2022-08-01,C1
25,8,20,-17,-0.03162677244718321,-1,283,283,101,2022-09-01,C1
25,9,21,-16,-0.011432139291553838,-1,283,283,101,2022-10-01,C1
25,10,22,-15,-0.027009267039701412,-1,283,283,101,2022-11-01,C1
25,11,23,-14,-0.001816669225807286,-1,283,283,101,2022-12-01,C1
25,25,13,0,-0.01766632402265096,1,283,283,101,2024-02-01,C1
25,26,14,1,0.014627887338343103,1,283,283,101,2024-03-01,C1
25,27,15,2,0.010939547767975767,1,283,283,101,2024-04-01,C1
25,28,16,3,0.01218338584634826,1,283,283,101,2024-05-01,C1
25,29,17,4,0.0024245143973638723,1,283,283,101,2024-06-01,C1
25,30,18,5,0.018553242654243976,1,283,283,101,2024-07-01,C1
25,31,19,6,0.0015452228732439083,1,283,283,101,2024-08-01,C1
25,32,20,7,-0.005531249512443263,1,283,283,101,2024-09-01,C1
25,33,21,8,0.0183113072410312,1,283,283,101,2024-10-01,C1
25,34,22,9,-0.009992976435509903,1,283,283,101,2024-11-01,C1
25,35,23,10,0.03261917690994271,1,283,283,101,2024-12-01,C1
25,37,13,12,0.04221947237265151,2,283,283,101,2025-02-01,C1
25,38,14,13,0.033244221415011224,2,283,283,101,2025-03-01,C1
25,39,15,14,0.04422552510371856,2,283,283,101,2025-04-01,C1
25,40,16,15,0.026382951077465328,2,283,283,101,2025-05-01,C1
25,41,17,16,0.02060732101839232,2,283,283,101,2025-06-01,C1
25,42,18,17,0.0416205629970126,2,283,283,101,2025-07-01,C1
25,43,19,18,0.024155045202120095,2,283,283,101,2025-08-01,C1
25,44,20,19,0.04813582140262977,2,283,283,101,2025-09-01,C1
25,45,21,20,0.02459347317481873,2,283,283,101,2025-10-01,C1
25,46,22,21,0.018804369969520493,2,283,283,101,2025-11-01,C1
25,47,23,22,0.03631338863287731,2,283,283,101,2025-12-01,C1
25,49,13,24,0.02033329045294892,3,283,283,101,2026-02-01,C1
25,50,14,25,0.03486304484926189,3,283,283,101,2026-03-01,C1
25,51,15,26,0.03127619765931436,3,283,283,101,2026-04-01,C1
25,52,16,27,0.023993317972582973,3,283,283,101,2026-05-01,C1
25,53,17,28,0.03633019559504916,3,283,283,101,2026-06-01,C1
25,54,18,29,0.03944418282210073,3,283,283,101,2026-07-01,C1
25,55,19,30,0.030196729413094512,3,283,283,101,2026-08-01,C1
35,0,24,-35,-0.00808444558546026,-2,13,13,101,2022-01-01,C4
35,1,25,-34,0.005667102828121273,-2,13,13,101,2022-02-01,C4
35,2,26,-33,0.0005060256388286222,-2,13,13,101,2022-03-01,C4
35,3,27,-32,-0.018370500123924993,-2,13,13,101,2022-04-01,C4
35,4,28,-31,-0.033238639972681144,-2,13,13,101,2022-05-01,C4
35,5,29,-30,-0.015673760332270338,-2,13,13,101,2022-06-01,C4
35,6,30,-29,-0.03533965146934234,-2,13,13,101,2022-07-01,C4
35,7,31,-28,-0.010062691560127839,-2,13,13,101,2022-08-01,C4
35,8,32,-27,-0.027092808303882533,-2,13,13,101,2022-09-01,C4
35,9,33,-26,-0.048481443240919506,-2,13,13,101,2022-10-01,C4
35,11,23,-24,-0.03819382158399598,-1,13,13,101,2022-12-01,C4
35,12,24,-23,-0.044482140373547654,-1,13,13,101,2023-01-01,C4
35,13,25,-22,-0.013897711398024546,-1,13,13,101,2023-02-01,C4
35,14,26,-21,-0.019475037721033473,-1,13,13,101,2023-03-01,C4
35,15,27,-20,-0.03395336529301456,-1,13,13,101,2023-04-01,C4
35,16,28,-19,-0.03594979602345328,-1,13,13,101,2023-05-01,C4
35,17,29,-18,-0.032163878448845454,-1,13,13,101,2023-06-01,C4
35,18,30,-17,-0.029908159909339795,-1,13,13,101,2023-07-01,C4
35,19,31,-16,0.0029289429695845475,-1,13,13,101,2023-08-01,C4
35,20,32,-15,0.005612838829238999,-1,13,13,101,2023-09-01,C4
35,21,33,-14,-0.024809618616488047,-1,13,13,101,2023-10-01,C4
35,35,23,0,0.013348017641259511,1,13,13,101,2024-12-01,C4
35,36,24,1,-0.03509047364040664,1,13,13,101,2025-01-01,C4
35,37,25,2,0.022117691873389612,1,13,13,101,2025-02-01,C4
35,38,26,3,0.0058843057101761525,1,13,13,101,2025-03-01,C4
35,39,27,4,-0.001526145259030923,1,13,13,101,2025-04-01,C4
35,40,28,5,-0.036390300213684515,1,13,13,101,2025-05-01,C4
35,41,29,6,-0.029557313031002768,1,13,13,101,2025-06-01,C4
35,42,30,7,-0.03730960087450583,1,13,13,101,2025-07-01,C4
35,43,31,8,-0.04415508610879089,1,13,13,101,2025-08-01,C4
35,44,32,9,-0.024525128155410116,1,13,13,101,2025-09-01,C4
35,45,33,10,-0.07637508940977693,1,13,13,101,2025-10-01,C4
35,47,23,12,-0.058339741273952084,2,13,13,101,2025-12-01,C4
35,48,24,13,-0.06307679420946988,2,13,13,101,2026-01-01,C4
35,49,25,14,-0.05817193862206939,2,13,13,101,2026-02-01,C4
35,50,26,15,-0.04813547857077598,2,13,13,101,2026-03-01,C4
35,51,27,16,-0.05469447624799812,2,13,13,101,2026-04-01,C4
35,52,28,17,-0.08035809815017318,2,13,13,101,2026-05-01,C4
35,53,29,18,-0.06191555006909513,2,13,13,101,2026-06-01,C4
35,54,30,19,-0.07486179442565163,2,13,13,101,2026-07-01,C4
35,55,31,20,-0.05609746560965574,2,13,13,101,2026-08-01,C4
41,0,36,-41,0.038075757541490986,-3,5,5,101,2022-01-01,C5
41,1,37,-40,-0.025985400757863653,-3,5,5,101,2022-02-01,C5
41,2,38,-39,0.004288577821850464,-3,5,5,101,2022-03-01,C5
41,3,39,-38,-0.02402844960866321,-3,5,5,101,2022-04-01,C5
41,5,29,-36,0.022378889110954002,-2,5,5,101,2022-06-01,C5
41,6,30,-35,-0.014748167555997699,-2,5,5,101,2022-07-01,C5
41,7,31,-34,0.013176535541266056,-2,5,5,101,2022-08-01,C5
41,8,32,-33,-0.007868146024316798,-2,5,5,101,2022-09-01,C5
41,9,33,-32,-0.005312905249467259,-2,5,5,101,2022-10-01,C5
41,10,34,-31,0.007837482613225331,-2,5,5,101,2022-11-01,C5
41,11,35,-30,0.0387546059392255,-2,5,5,101,2022-12-01,C5
41,12,36,-29,0.04681421151850238,-2,5,5,101,2023-01-01,C5
41,13,37,-28,0.00303346678807896,-2,5,5,101,2023-02-01,C5
41,14,38,-27,0.024473312905033715,-2,5,5,101,2023-03-01,C5
41,15,39,-26,0.011236476463325866,-2,5,5,101,2023-04-01,C5
41,17,29,-24,0.031671585059388774,-1,5,5,101,2023-06-01,C5
41,18,30,-23,-0.0023735481480934503,-1,5,5,101,2023-07-01,C5
41,19,31,-22,-0.012621518244956198,-1,5,5,101,2023-08-01,C5
41,20,32,-21,-0.008712507539076729,-1,5,5,101,2023-09-01,C5
41,21,33,-20,-0.006956934839220351,-1,5,5,101,2023-10-01,C5
41,22,34,-19,0.023884199087321582,-1,5,5,101,2023-11-01,C5
41,23,35,-18,0.005760016322797382,-1,5,5,101,2023-12-01,C5
41,24,36,-17,0.05552926291213088,-1,5,5,101,2024-01-01,C5
41,25,37,-16,-0.0322964753768947,-1,5,5,101,2024-02-01,C5
41,26,38,-15,0.008385022276138208,-1,5,5,101,2024-03-01,C5
41,27,39,-14,-0.01614594716885892,-1,5,5,101,2024-04-01,C5
41,41,29,0,0.005387180790969956,1,5,5,101,2025-06-01,C5
41,42,30,1,0.0050018087668521885,1,5,5,101,2025-07-01,C5
41,43,31,2,-0.0037227899039789353,1,5,5,101,2025-08-01,C5
41,44,32,3,0.024962603914670173,1,5,5,101,2025-09-01,C5
41,45,33,4,-0.008426300529422684,1,5,5,101,2025-10-01,C5
41,46,34,5,-0.009780578407763488,1,5,5,101,2025-11-01,C5
41,47,35,6,0.015391784031995197,1,5,5,101,2025-12-01,C5
41,48,36,7,0.042681328389353415,1,5,5,101,2026-01-01,C5
