param,est,se,lo,hi,n_cells
overall_post,0.02044570758614773,0.00904170701430297,0.002723961838113912,0.03816745333418155,74
C1_post,0.022577684351326177,0.009244102066396104,0.004459244301189814,0.040696124401462544,29
C4_post,-0.039961522932331225,0.018649447071965895,-0.07651443919338438,-0.0034086066712780694,20
C5_post,-0.0010659953030706052,0.015365335799774154,-0.031182053470627948,0.029050062864486734,14
C6_post,0.00747142691479848,0.007097789819294548,-0.006440241131018834,0.021383094960615794,11
C1_pre_kpass(2024-01-27~04-30),0.0026337036945559686,0.00802778550540104,-0.013100755896030068,0.018368163285142007,3
C1_year1(적용 후 1년차),0.007092157732535334,0.006636012377272593,-0.005914426526918947,0.020098741991989615,11
C1_year2(적용 후 2년차),0.03275474112420163,0.01063701588300603,0.011906189993509814,0.05360329225489345,11
C1_year3(적용 후 3년차),0.03091956553776465,0.013600760881930275,0.004262074209181309,0.05757705686634799,7
C1_2024,0.007092157732535334,0.006636012377272593,-0.005914426526918947,0.020098741991989615,11
C1_2025,0.03275474112420163,0.01063701588300603,0.011906189993509814,0.05360329225489345,11
C1_2026,0.03091956553776465,0.013600760881930275,0.004262074209181309,0.05757705686634799,7
pre_all(placebo),-0.017942536591083785,0.006364624015119175,-0.03041719966071737,-0.005467873521450202,87
C1_pre(placebo),-0.01751273922190348,0.006242778673873461,-0.029748585422695463,-0.0052768930211114975,11
C4_pre(placebo),-0.021641074270979915,0.012636531660440122,-0.04640867632544256,0.0031265277834827236,21
C5_pre(placebo),0.006855746207204659,0.01799230210931131,-0.02840916592704551,0.04212065834145483,26
C6_pre(placebo),-0.07918452258115516,0.028488790983942275,-0.13502255290968201,-0.023346492252628304,29
