g,t,b,e,att,k,n_g,n_g_valid,n_c,t_label,cohort
55,0,52,-55,-0.015433480422379381,-1,283,283,112,2023-01-07,C1
55,1,53,-54,-0.0037333624022240566,-1,283,283,112,2023-01-14,C1
55,55,3,0,-0.011174271777322296,1,283,283,112,2024-01-27,C1
55,58,6,3,0.014651272888678787,1,283,283,112,2024-02-17,C1
55,59,7,4,0.015781819696075713,1,283,283,112,2024-02-24,C1
55,60,8,5,0.015773193989088122,1,283,283,112,2024-03-02,C1
55,61,9,6,0.013772972478117335,1,283,283,112,2024-03-09,C1
55,62,10,7,0.02839397877435402,1,283,283,112,2024-03-16,C1
55,63,11,8,0.04437517931974644,1,283,283,112,2024-03-23,C1
55,64,12,9,0.011600339499468842,1,283,283,112,2024-03-30,C1
55,65,13,10,-0.007829766048361168,1,283,283,112,2024-04-06,C1
55,66,14,11,0.005769970315399366,1,283,283,112,2024-04-13,C1
55,67,15,12,0.023180827586568524,1,283,283,112,2024-04-20,C1
55,68,16,13,0.023206858955065524,1,283,283,112,2024-04-27,C1
55,69,17,14,0.004184169142245016,1,283,283,112,2024-05-04,C1
55,70,18,15,-0.0018509635035979383,1,283,283,112,2024-05-11,C1
55,71,19,16,0.012857953970027109,1,283,283,112,2024-05-18,C1
55,72,20,17,0.026443766317400058,1,283,283,112,2024-05-25,C1
55,73,21,18,0.017187576151599375,1,283,283,112,2024-06-01,C1
55,74,22,19,0.01648485034444664,1,283,283,112,2024-06-08,C1
55,75,23,20,0.005298146997937063,1,283,283,112,2024-06-15,C1
55,76,24,21,0.00429901652105967,1,283,283,112,2024-06-22,C1
55,77,25,22,0.01275391946394162,1,283,283,112,2024-06-29,C1
55,78,26,23,0.0027345058138709133,1,283,283,112,2024-07-06,C1
55,79,27,24,0.029425720202932104,1,283,283,112,2024-07-13,C1
55,80,28,25,0.0073548969861219685,1,283,283,112,2024-07-20,C1
55,81,29,26,0.00011334343459069862,1,283,283,112,2024-07-27,C1
55,82,30,27,0.0005541938760243864,1,283,283,112,2024-08-03,C1
55,83,31,28,0.027714047171656733,1,283,283,112,2024-08-10,C1
55,84,32,29,0.002199650237435175,1,283,283,112,2024-08-17,C1
55,85,33,30,0.010621482100726292,1,283,283,112,2024-08-24,C1
55,86,34,31,0.014272792433371699,1,283,283,112,2024-08-31,C1
55,87,35,32,0.013753816389842815,1,283,283,112,2024-09-07,C1
