bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif
-47,-188,-0.1700394904509325,0.04683506268792939,4,-0.2618362133192741,-0.0782427675825909,-0.30460471942041906,-0.035474261481445946
-46,-184,-0.17796671214200935,0.04527029672809661,3,-0.2666964937290787,-0.08923693055493999,-0.3080360980916717,-0.04789732619234699
-45,-180,-0.16793086392453363,0.04802662772115203,4,-0.2620630542579916,-0.07379867359107566,-0.30591966515645175,-0.029942062692615512
-44,-176,-0.04838124551526234,0.031923596995232166,6,-0.11095149562591738,0.014189004595392705,-0.14010325660376613,0.04334076557324144
-43,-172,-0.04756748583099628,0.03450389093812226,7,-0.11519511206971592,0.02006014040772336,-0.14670312733454105,0.05156815567254851
-42,-168,-0.04493850354908076,0.038246894744085935,8,-0.11990241724748919,0.030025410149327678,-0.15482844183961314,0.06495143474145161
-41,-164,-0.04163954574854237,0.03440049540020928,8,-0.10906451673295255,0.025785425235867812,-0.1404781140032182,0.05719902250613347
-40,-160,-0.042979378216591424,0.03263098427259663,8,-0.10693610739088082,0.02097735095769797,-0.13673383520108806,0.05077507876790523
-39,-156,-0.019520529905389446,0.025236084781534624,7,-0.06898325607719731,0.02994219626641842,-0.09202816269213476,0.05298710288135588
-38,-152,-0.004014112815618559,0.014348155076478453,10,-0.03213649676551633,0.02410827113427921,-0.04523884194689037,0.03721061631565325
-37,-148,-0.025984092183649346,0.01736888458963681,9,-0.06002710597933749,0.008058921612038798,-0.07588789923783384,0.023919714870535146
-36,-144,-0.014199442261768173,0.016777654628113654,12,-0.04708364533287093,0.01868476080933459,-0.062404543462261375,0.034005658938725036
-35,-140,-0.026955382624247973,0.015481073569731408,9,-0.05729828682092153,0.003387521572425587,-0.07143518237353436,0.017524417125038404
-34,-136,-0.021749969860327078,0.01437862947492554,11,-0.04993208363118114,0.0064321439105269815,-0.06306225720481329,0.01956231748415913
-33,-132,-0.023951471652904267,0.014816037421131576,11,-0.05299090499832215,0.005087961692513621,-0.0665205076181083,0.018617564312299766
