param,est,se,lo,hi,n_cells
overall_post,0.025583188447814872,0.008356254261629982,0.009204930095020106,0.041961446800609634,330
C1_post,0.027952371117317264,0.00856306567737337,0.011168762389665458,0.04473597984496907,128
C4_post,-0.04202500024001596,0.017987580811892803,-0.07728065863132585,-0.006769341848706069,84
C5_post,-0.005284941428433212,0.016102061837242877,-0.03684498262942925,0.026275099772562822,66
C6_post,0.008211571969146502,0.006895857591229166,-0.0053043089096626635,0.021727452847955665,52
C1_pre_kpass(2024-01-27~04-30),0.014791864639739933,0.007076150286348764,0.000922610078496356,0.02866111920098351,12
C1_year1(적용 후 1년차),0.013104754830316189,0.005803043635614042,0.0017307893045126668,0.024478720356119713,47
C1_year2(적용 후 2년차),0.036216033383871304,0.009761484328341133,0.017083524100322683,0.055348542667419925,48
C1_year3(적용 후 3년차),0.037079103744421985,0.012731594892358164,0.012125177755399983,0.06203302973344399,33
C1_2024,0.011886386830009053,0.005933132742104864,0.0002574466554835196,0.023515327004534587,44
C1_2025,0.03446206768236843,0.009489036112295535,0.015863556902269184,0.05306057846246768,48
C1_2026,0.03890897871507017,0.012475707755018077,0.014456591515234738,0.0633613659149056,36
pre_all(placebo),-0.015017258297546096,0.006353208932481849,-0.02746954780521052,-0.002564968789881673,179
C1_pre(placebo),-0.009583421412301719,0.006582439769987179,-0.022485003361476588,0.0033181605368731524,2
C4_pre(placebo),-0.023681019775141574,0.00942933657933918,-0.042162519470646365,-0.005199520079636779,41
C5_pre(placebo),0.006041227225127295,0.009964481998702798,-0.013489157492330189,0.02557161194258478,61
C6_pre(placebo),-0.047554624256914854,0.021711700226933556,-0.09010955670170462,-0.004999691812125083,75
