g,t,b,e,att,n_g,n_g_valid,n_c,t_label,cohort
55,0,52,-55,-0.015599222649320715,283,283,111,2023-01-07,C1
55,1,53,-54,-0.004424500092466047,283,283,111,2023-01-14,C1
55,55,3,0,-0.010377553202636093,283,283,111,2024-01-27,C1
55,58,6,3,0.014544955199583123,283,283,111,2024-02-17,C1
55,59,7,4,0.01739146877350798,283,283,111,2024-02-24,C1
55,60,8,5,0.01712838334579903,283,283,111,2024-03-02,C1
55,61,9,6,0.014769567674388136,283,283,111,2024-03-09,C1
55,62,10,7,0.029325796379381104,283,283,111,2024-03-16,C1
55,63,11,8,0.0455586505421963,283,283,111,2024-03-23,C1
55,64,12,9,0.012112673219907662,283,283,111,2024-03-30,C1
55,65,13,10,-0.007279206393700966,283,283,111,2024-04-06,C1
55,66,14,11,0.006162975023896726,283,283,111,2024-04-13,C1
55,67,15,12,0.022655703685958914,283,283,111,2024-04-20,C1
55,68,16,13,0.023224477393780585,283,283,111,2024-04-27,C1
55,69,17,14,0.002929920556791893,283,283,111,2024-05-04,C1
55,70,18,15,-0.0021213715547488965,283,283,111,2024-05-11,C1
55,71,19,16,0.012016151330701691,283,283,111,2024-05-18,C1
55,72,20,17,0.025953078279571593,283,283,111,2024-05-25,C1
55,73,21,18,0.01678695544820529,283,283,111,2024-06-01,C1
55,74,22,19,0.015896125684429815,283,283,111,2024-06-08,C1
55,75,23,20,0.005907521994682377,283,283,111,2024-06-15,C1
55,76,24,21,0.004749129526450471,283,283,111,2024-06-22,C1
55,77,25,22,0.013865249089475186,283,283,111,2024-06-29,C1
55,78,26,23,0.003313267164737496,283,283,111,2024-07-06,C1
55,79,27,24,0.031012125429106713,283,283,111,2024-07-13,C1
55,80,28,25,0.007575257428863173,283,283,111,2024-07-20,C1
55,81,29,26,-0.0003446271653590599,283,283,111,2024-07-27,C1
55,82,30,27,-1.319293049745901e-05,283,283,111,2024-08-03,C1
55,83,31,28,0.02660345632626462,283,283,111,2024-08-10,C1
55,84,32,29,0.0019151924155974467,283,283,111,2024-08-17,C1
55,85,33,30,0.009874226955296389,283,283,111,2024-08-24,C1
55,86,34,31,0.013651307063245546,283,283,111,2024-08-31,C1
55,87,35,32,0.010894371031071333,283,283,111,2024-09-07,C1
55,91,39,36,-0.003256541640030794,283,283,111,2024-10-05,C1
55,92,40,37,0.007410533596974406,283,283,111,2024-10-12,C1
55,93,41,38,0.011542770154795748,283,283,111,2024-10-19,C1
55,94,42,39,0.008298440280587432,283,283,111,2024-10-26,C1
55,95,43,40,-0.009096025999536787,283,283,111,2024-11-02,C1
55,96,44,41,-0.021687178434914967,283,283,111,2024-11-09,C1
55,97,45,42,0.017773114377305884,283,283,111,2024-11-16,C1
55,98,46,43,-0.02419341740178741,283,283,111,2024-11-23,C1
55,99,47,44,0.032592620609445476,283,283,111,2024-11-30,C1
55,100,48,45,0.06050445559410854,283,283,111,2024-12-07,C1
55,101,49,46,0.002605140888273294,283,283,111,2024-12-14,C1
55,102,50,47,0.023290087645335467,283,283,111,2024-12-21,C1
55,103,51,48,0.009983072437599438,283,283,111,2024-12-28,C1
55,104,52,49,0.04024160717732937,283,283,111,2025-01-04,C1
55,105,53,50,0.039367368457351476,283,283,111,2025-01-11,C1
55,106,54,51,0.008411764178070491,283,283,111,2025-01-18,C1
55,108,4,53,0.05413002295519816,283,283,111,2025-02-01,C1
55,109,5,54,0.050718233656285125,283,283,111,2025-02-08,C1
55,110,6,55,0.03795238953402762,283,283,111,2025-02-15,C1
55,111,7,56,0.06502533022982512,283,283,111,2025-02-22,C1
55,112,8,57,0.02857978030074397,283,283,111,2025-03-01,C1
55,113,9,58,0.03610953604025902,283,283,111,2025-03-08,C1
55,114,10,59,0.051024583824675646,283,283,111,2025-03-15,C1
55,115,11,60,0.03823308328614058,283,283,111,2025-03-22,C1
55,116,12,61,0.02850526223051042,283,283,111,2025-03-29,C1
55,117,13,62,0.0521784201814392,283,283,111,2025-04-05,C1
55,118,14,63,0.04736753830724004,283,283,111,2025-04-12,C1
55,119,15,64,0.04812162456862803,283,283,111,2025-04-19,C1
55,120,16,65,0.04166578182955877,283,283,111,2025-04-26,C1
