bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif
-34,-136,-0.09475403206235693,0.030619960135624378,2,-0.1547691539281807,-0.03473891019653315,-0.17967277920906316,-0.00983528491565068
-33,-132,-0.08786106011268455,0.03508004179757117,3,-0.15661794203592405,-0.019104178189445056,-0.1851490117007733,0.009426891475404223
-32,-128,-0.08849271531442315,0.03535090393736963,4,-0.15778048703166764,-0.019204943597178684,-0.18653185251670876,0.00954642188786245
-31,-124,-0.05005678519895041,0.020320334086543577,5,-0.08988464000857582,-0.010228930389325,-0.10641144093947799,0.006297870541577169
-30,-120,-0.03419429963206331,0.018369475371201097,6,-0.07019847135961746,0.0018098720954908415,-0.08513861266693935,0.016750013402812736
-29,-116,-0.019434085816628456,0.017369597002132427,8,-0.05347849594080801,0.014610324307551097,-0.06760542272663952,0.02873725109338262
-28,-112,-0.007815247786258254,0.018038230406053075,8,-0.04317017938212228,0.02753968380960577,-0.0578409147055145,0.042210419132998
-27,-108,-0.0015255842732723808,0.01827093302288621,8,-0.03733661299812935,0.03428544445158459,-0.05219660848860947,0.04914543994206471
-26,-104,0.0033262302960839606,0.012317321909747873,8,-0.02081572064702187,0.027468181239189794,-0.030833564169537933,0.03748602476170586
-25,-100,-0.013999332255299573,0.007781112493100202,7,-0.029250312741775968,0.0012516482311768218,-0.03557879615384653,0.007580131643247379
-24,-96,-0.01188353943221426,0.009481951976672565,10,-0.030468165306492486,0.006701086442063967,-0.03817996433929555,0.014412885474867028
-23,-92,-0.022002869559287236,0.012725029397670794,12,-0.04694392717872199,0.00293818806014752,-0.05729336468302216,0.013287625564447687
-22,-88,-0.033479605404811215,0.01084254125161778,11,-0.05473098625798206,-0.012228224551640368,-0.06354937084198582,-0.003409839967636611
-21,-84,-0.027161599162668495,0.0097999402166558,10,-0.04636948198731386,-0.00795371633802313,-0.054339905131225955,1.670680588896495e-05
-20,-80,-0.021006660487246455,0.012586707617257997,9,-0.04567660741707213,0.003663286442579218,-0.055913545957548466,0.013900224983055556
-19,-76,-0.019272283894676258,0.009942560371685213,12,-0.038759702223179274,0.00021513443382676148,-0.04684612025678496,0.008301552467432444
-18,-72,-0.020219692449960712,0.017528143231890163,12,-0.05457485318446543,0.014135468284544005,-0.06883072775070212,0.028391342850780696
-17,-68,0.003448150653333494,0.008907918955758234,10,-0.014011370499952646,0.020907671806619635,-0.021256300758649378,0.02815260206531637
-16,-64,0.016188465001935746,0.012013085335628318,8,-0.007357182255895756,0.03973411225976725,-0.0171275860820486,0.04950451608592009
-15,-60,-0.010074490756070902,0.00810267140019987,12,-0.025955726700462648,0.005806745188320844,-0.03254573829521766,0.012396756783075853
-14,-56,-0.010836640753235333,0.0064257800250996444,14,-0.023431169602430635,0.00175788809595997,-0.028657342895069313,0.006984061388598646
0,0,0.0029662465681135728,0.008305484479656825,14,-0.013312503012013803,0.019244996148240948,-0.020067465211227035,0.02599995834745418
1,4,0.01708691366387352,0.0071693909432994935,14,0.0030349074150065134,0.03113891991274053,-0.00279605463567097,0.03696988196341801
2,8,0.013467587619453523,0.006710513609900041,12,0.00031498094404944395,0.026620194294857603,-0.005142770001510526,0.03207794524041757
3,12,0.010944446614429625,0.0064903257516370294,16,-0.0017765918587789517,0.023665485087638202,-0.007055261058664067,0.028944154287523317
4,16,0.015362182837479855,0.006209221805461487,15,0.003192108098775341,0.02753225757618437,-0.0018579354820846064,0.032582301157044316
5,20,0.0058762485318794005,0.005922970239538171,14,-0.005732773137615414,0.017485270201374213,-0.01055000447109669,0.02230250153485549
6,24,0.0077401455392292675,0.0067979156844003175,14,-0.005583769202195355,0.02106406028065389,-0.011112605430116431,0.026592896508574965
7,28,0.010502560528490888,0.006026280113609619,16,-0.0013089484941839653,0.02231406955116574,-0.006210203137306889,0.027215324194288664
8,32,0.0016277916896248997,0.006072418432602422,13,-0.010274148438275846,0.013529731817525648,-0.015212927996591259,0.018468511375841056
