g,t,b,e,att,n_g,n_g_valid,n_c,t_label,cohort
55,0,52,-55,-0.016401164031059776,283,283,122,2023-01-07,C1
55,1,53,-54,0.000199747200825523,283,283,122,2023-01-14,C1
55,55,3,0,-0.011383205809930477,283,283,122,2024-01-27,C1
55,58,6,3,0.02022994877671916,283,283,122,2024-02-17,C1
55,59,7,4,0.025427192126695343,283,283,122,2024-02-24,C1
55,60,8,5,0.02846245468481628,283,283,122,2024-03-02,C1
55,61,9,6,0.015972645526374875,283,283,122,2024-03-09,C1
55,62,10,7,0.037890812824263764,283,283,122,2024-03-16,C1
55,63,11,8,0.05631552019273717,283,283,122,2024-03-23,C1
55,64,12,9,0.01700539922855515,283,283,122,2024-03-30,C1
55,65,13,10,-0.017069781510313617,283,283,122,2024-04-06,C1
55,66,14,11,0.004049313480202023,283,283,122,2024-04-13,C1
55,67,15,12,0.02854287539629536,283,283,122,2024-04-20,C1
55,68,16,13,0.027785272254083365,283,283,122,2024-04-27,C1
55,69,17,14,0.003311808444255125,283,283,122,2024-05-04,C1
55,70,18,15,-0.0031467378232844304,283,283,122,2024-05-11,C1
55,71,19,16,0.01451167331217296,283,283,122,2024-05-18,C1
55,72,20,17,0.02912097846322345,283,283,122,2024-05-25,C1
55,73,21,18,0.020629851817160483,283,283,122,2024-06-01,C1
55,74,22,19,0.02090550562845956,283,283,122,2024-06-08,C1
55,75,23,20,0.016147451593839138,283,283,122,2024-06-15,C1
55,76,24,21,0.006612023140736077,283,283,122,2024-06-22,C1
55,77,25,22,0.02114526881979418,283,283,122,2024-06-29,C1
55,78,26,23,0.005057695515646131,283,283,122,2024-07-06,C1
55,79,27,24,0.0334414735274294,283,283,122,2024-07-13,C1
55,80,28,25,0.011665564924485526,283,283,122,2024-07-20,C1
55,81,29,26,0.006742745065969419,283,283,122,2024-07-27,C1
55,82,30,27,0.00036199203823338716,283,283,122,2024-08-03,C1
55,83,31,28,0.02762953682502109,283,283,122,2024-08-10,C1
55,84,32,29,0.004834324274340102,283,283,122,2024-08-17,C1
55,85,33,30,0.011821810592281013,283,283,122,2024-08-24,C1
55,86,34,31,0.020547266125872033,283,283,122,2024-08-31,C1
55,87,35,32,0.016281653256705924,283,283,122,2024-09-07,C1
55,91,39,36,0.0006859372941300564,283,283,122,2024-10-05,C1
55,92,40,37,0.009078425799983412,283,283,122,2024-10-12,C1
55,93,41,38,0.016516330891878057,283,283,122,2024-10-19,C1
55,94,42,39,0.014070915004906204,283,283,122,2024-10-26,C1
55,95,43,40,-0.017621324914395768,283,283,122,2024-11-02,C1
55,96,44,41,-0.032334585023302755,283,283,122,2024-11-09,C1
55,97,45,42,0.014345543008790672,283,283,122,2024-11-16,C1
55,98,46,43,-0.02292310383862698,283,283,122,2024-11-23,C1
55,99,47,44,0.036660883915165296,283,283,122,2024-11-30,C1
55,100,48,45,0.0670740288372461,283,283,122,2024-12-07,C1
55,101,49,46,-0.0005240998305841016,283,283,122,2024-12-14,C1
55,102,50,47,0.023730130802173018,283,283,122,2024-12-21,C1
