bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif
-34,-136,-0.09463273003158196,0.030808900196094197,2,-0.15501817441592658,-0.034247285647237335,-0.18292824043252662,-0.006337219630637297
-33,-132,-0.0925289825677992,0.034841980352102335,3,-0.1608192640579198,-0.02423870107767863,-0.19238293447740262,0.007324969341804224
-32,-128,-0.09609431082770119,0.034871877907947615,4,-0.16444319152727851,-0.02774543012812386,-0.19603394641754954,0.003845324762147162
-31,-124,-0.055042734190460976,0.020971190756302077,5,-0.09614626807281304,-0.013939200308108905,-0.1151442626370366,0.005058794256114649
-30,-120,-0.03543656218520448,0.01937403630820443,6,-0.07340967334928516,0.002536548978876202,-0.09096079101101018,0.020087666640601208
-29,-116,-0.025282818128113584,0.018447971860101164,8,-0.06144084297391186,0.010875206717684698,-0.07815303033570149,0.02758739407947432
-28,-112,-0.015397476360113252,0.018894311203126,8,-0.05243032631824021,0.021635373598013707,-0.06954685659556203,0.038751903875335524
-27,-108,-0.007109211792438999,0.019138148339851984,8,-0.04461998253854889,0.030401558953670887,-0.0619574071204387,0.0477389835355607
-26,-104,0.0015163292591384376,0.012442424099410524,8,-0.02287082197570619,0.025903480493983062,-0.03414252839205883,0.0371751869103357
-25,-100,-0.015240087841732985,0.008050346612037542,7,-0.031018767201326566,0.0005385915178605961,-0.03831165023085337,0.007831474547387397
-24,-96,-0.01502539845276405,0.00947785228749663,10,-0.033601988936257446,0.0035511920307293443,-0.042188062485002634,0.012137265579474529
-23,-92,-0.027030362023782777,0.012966725974106167,12,-0.05244514493303086,-0.0016155791145346897,-0.06419182123932582,0.010131097191760266
-22,-88,-0.0352452563995484,0.0108674454283663,11,-0.05654544943914634,-0.013945063359950449,-0.06639036819336899,-0.004100144605727794
-21,-84,-0.029362638671226175,0.009950595256343585,10,-0.0488658053736596,-0.009859471968792749,-0.057880141125385816,-0.0008451362170665347
-20,-80,-0.022999190724456813,0.012901234187572951,9,-0.0482856097320998,0.0022872282831861712,-0.05997295642668991,0.01397457497777629
-19,-76,-0.023328494346711602,0.010233942446689178,12,-0.04338702154222239,-0.0032699671512008144,-0.05265804411943828,0.006001055426015076
-18,-72,-0.023030683278053844,0.01706517367531976,12,-0.05647842368168057,0.01041705712557289,-0.07193792145120179,0.025876554895094096
-17,-68,0.0013145421998573838,0.00876992855123899,10,-0.015874517760571038,0.018503602160285803,-0.023819276686336797,0.026448361086051562
-16,-64,0.014792550064611292,0.011976136068599541,8,-0.008680676629843809,0.038265776759066394,-0.019529968430943977,0.04911506856016656
-15,-60,-0.013311980042717381,0.00834848456024654,12,-0.0296750097808006,0.003051049695365836,-0.03723797871938629,0.010614018633951531
-14,-56,-0.008921758347246435,0.0064926509057432,14,-0.021647354122503105,0.0038038374280102375,-0.027529106286606767,0.009685589592113898
0,0,0.005200055521721069,0.008331940409396289,14,-0.011130547680695655,0.021530658724137793,-0.018678529120880562,0.029078640164322697
1,4,0.023913078177270338,0.007382430732761796,14,0.009443513941057217,0.03838264241348346,0.0027557020489443022,0.04507045430559638
2,8,0.014384937456189252,0.0066908604183315845,12,0.0012708510362593461,0.027499023876119157,-0.004790460948099153,0.03356033586047766
3,12,0.013307678835763483,0.00619491163961076,16,0.0011656520221263924,0.02544970564940057,-0.004446375402677942,0.031061733074204907
4,16,0.019124120094544162,0.006141719298434232,15,0.007086350269613068,0.031161889919475258,0.0015225102758551212,0.0367257299132332
