param,est,se,lo,hi,n_cells
overall_post,0.03029188911690534,0.008289117422512182,0.014045218968781463,0.046538559265029214,330
C1_post,0.0328394713738807,0.008497018003393508,0.016185316087229423,0.049493626660531975,128
C4_post,-0.037978150682006905,0.01705053381403843,-0.07139719695752222,-0.004559104406491585,84
C5_post,-0.0009930699687664326,0.016163188237626417,-0.03267291891451421,0.03068677897698134,66
C6_post,0.014195577819953755,0.006939588018868598,0.0005939853029713043,0.027797170336936204,52
C1_pre_kpass(2024-01-27~04-30),0.019435703930874862,0.007058919479116668,0.005600221751806194,0.03327118610994353,12
C1_2024,0.01408392618981677,0.0056818968357688435,0.0029474083917098368,0.025220443987923703,44
C1_2025,0.03814928774815618,0.00945172352760852,0.019623909634043483,0.05667466586226888,48
C1_2026,0.048683160322035963,0.01253573146592947,0.024113126648814202,0.07325319399525773,36
pre_all(placebo),-0.015763991301785414,0.0064892592004787844,-0.02848293933472383,-0.0030450432688469975,179
C1_pre(placebo),-0.008100708415117126,0.006742906151599047,-0.021316804472251257,0.0051153876420170045,2
C4_pre(placebo),-0.025344270536578867,0.009165170674011413,-0.043308005057641236,-0.007380536015516498,41
C5_pre(placebo),0.004223559505385596,0.010019007849405081,-0.015413695879448363,0.023860814890219555,61
C6_pre(placebo),-0.048660930163585164,0.021278338221626725,-0.09036647307797355,-0.006955387249196782,75
