bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif
-34,-136,-0.09548768722377467,0.030577466492811022,2,-0.15541952154968428,-0.035555852897865066,-0.18126822954721014,-0.009707144900339193
-33,-132,-0.08757533576148525,0.03504229412017809,3,-0.1562582322370343,-0.018892439285936202,-0.1858812890880282,0.010730617565057679
-32,-128,-0.08851596491803455,0.0353329517110642,4,-0.15776855027172038,-0.019263379564348718,-0.18763731496106134,0.010605385124992248
-31,-124,-0.049712367525439415,0.01990556154864337,5,-0.08872726816078041,-0.010697466890098414,-0.10555446501564841,0.006129729964769584
-30,-120,-0.03346413658102762,0.01798287789352401,6,-0.06871057725233468,0.0017823040902794351,-0.08391243054302999,0.01698415738097476
-29,-116,-0.018344453741529727,0.017103077452663314,8,-0.05186648554874983,0.01517757806569037,-0.06632459819313459,0.029635690710075133
-28,-112,-0.006746484457117697,0.017805836420215358,8,-0.04164592384073979,0.028152954926504402,-0.056698114851596364,0.043205145937360974
-27,-108,-0.0005401770127146889,0.018049638161183566,8,-0.03591746780863447,0.0348371137832051,-0.05117575699355191,0.05009540296812254
-26,-104,0.007738925144468268,0.011992636230987268,8,-0.01576664186826678,0.031244492157203315,-0.025904635221255027,0.041382485510191566
-25,-100,-0.008549723792806786,0.006040674886339418,7,-0.020389446570032044,0.0032899989844184727,-0.025495940310502202,0.008396492724888628
-24,-96,-0.010031435657938305,0.008873644260244014,10,-0.027423778408016575,0.007360907092139964,-0.03492512713522051,0.014862255819343898
-23,-92,-0.021160700468031084,0.012391668306119494,12,-0.04544837034802529,0.0031269694119631236,-0.05592368607512733,0.01360228513906516
-22,-88,-0.033871744102573736,0.010609372145761938,11,-0.05466611350826714,-0.013077374696880337,-0.06363476245429281,-0.004108725750854671
-21,-84,-0.02692491462773995,0.009600403565110268,10,-0.04574170561535608,-0.008108123640123827,-0.053857421430833635,7.592175353735714e-06
-20,-80,-0.020291012060003263,0.012516634265539183,9,-0.044823615220460064,0.004241591100453534,-0.055404571112205224,0.014822546992198697
-19,-76,-0.019017387793698076,0.009848820602276567,12,-0.03832107617416015,0.0002863005867639948,-0.046646791711388094,0.008612016123991945
-18,-72,-0.019274928047466278,0.01740251422741168,12,-0.05338385593319317,0.014833999838260614,-0.06809509791241054,0.029545241817477988
-17,-68,0.004928032625583853,0.008738386923812702,10,-0.012199205745089045,0.022055270996256753,-0.019586214476376117,0.02944227972754382
-16,-64,0.017211823048958352,0.011973753649369447,8,-0.0062567341038057625,0.04068038020172247,-0.01637876503758596,0.05080241113550266
-15,-60,-0.009680038163472581,0.007951883852468445,12,-0.025265730514310733,0.005905654187365571,-0.031987867673091475,0.012627791346146309
-14,-56,-0.006697204528497361,0.005939622053620323,14,-0.018338863753593195,0.004944454696598472,-0.023359932327596637,0.009965523270601913
0,0,0.0012121606214243212,0.007184702660620178,14,-0.012869856593391227,0.015294177836239868,-0.018943455960005892,0.021367777202854536
1,4,0.014322163582876225,0.006424606661874093,14,0.0017299345256030028,0.02691439264014945,-0.0037011165276550073,0.03234544369340746
2,8,0.010230524894496334,0.005998438145864754,12,-0.0015264138713985843,0.021987463660391254,-0.006597202718804639,0.02705825250779731
3,12,0.007765720177385027,0.005786768154255413,16,-0.003576345404955583,0.01910778575972564,-0.008468198701692818,0.023999639056462872
4,16,0.011721535850876673,0.005564120094717351,15,0.0008158604652306663,0.022627211236522678,-0.0038877769543485246,0.027330848656101872
5,20,0.0037040189903179447,0.005381400043556487,14,-0.00684352509505277,0.014251563075688659,-0.011392699840333531,0.018800737820969422
6,24,0.0032018889723709064,0.006122370640529218,14,-0.00879795748306636,0.015201735427808172,-0.013973512854106408,0.02037729079884822
7,28,0.009193418710176305,0.005403624270749463,16,-0.0013976848604926422,0.019784522280845252,-0.005965646890171769,0.024352484310524378
8,32,0.0038236935256314745,0.005687423106718906,13,-0.007323655763537581,0.01497104281480053,-0.012131527572620326,0.019778914623883277
9,36,0.002043463335546329,0.0050317564100785936,15,-0.007818779228207715,0.011905705899300373,-0.012072382193953082,0.01615930886504574
10,40,-0.011353229674701489,0.005387501674982766,13,-0.02191273295766771,-0.0007937263917352673,-0.026467065726393076,0.003760606376990097
11,44,0.025862684188175326,0.005852487446249052,15,0.014391808793527186,0.037333559582823465,0.009444399592936796,0.04228096878341386
12,48,0.02166440369086265,0.006069377112001118,16,0.009768424551340459,0.033560382830384844,0.0046376673405732205,0.03869114004115208
13,52,0.0383001277395164,0.010018034534467944,15,0.01866478005195923,0.05793547542707357,0.010196019258730218,0.06640423622030259
14,56,0.037564123630392444,0.009705010645204612,13,0.018542302765791406,0.05658594449499348,0.010338157195400426,0.06479009006538447
15,60,0.03827394036348525,0.00970936634519835,9,0.019243582326896484,0.05730429840007401,0.011035754658863785,0.06551212606810672
16,64,0.024038704010606884,0.009471522378910852,12,0.005474520147941614,0.042602887873272155,-0.002532245759955254,0.05060965378116902
17,68,0.023045714020492263,0.009053269245854775,11,0.005301306298616904,0.040790121742367624,-0.0023518886844959043,0.048443316725480426
18,72,0.019687373702191376,0.009080769377459537,8,0.001889065722370683,0.037485681682012065,-0.005787376538992341,0.04516212394337509
19,76,0.026828673116555065,0.010170172974642549,8,0.00689513408625567,0.04676221214685446,-0.0017022371697203824,0.05535958340283051
20,80,0.03452905823417549,0.0101564171897533,8,0.014622480542259023,0.05443563592609196,0.006036737760046897,0.06302137870830408
21,84,0.009774492612849545,0.01027566335454435,6,-0.010365807562057381,0.02991479278775647,-0.019052355271788054,0.03860134049748715
22,88,0.036664892669958954,0.010322219734107168,7,0.016433341991108904,0.056896443348809,0.0077074377748140195,0.06562234756510389
23,92,0.021829632497334404,0.010562559708535731,5,0.0011270154686043726,0.042532249526064436,-0.00780206051212029,0.0514613255067891
24,96,0.02733619784822632,0.010807741058491195,4,0.006153025373583577,0.04851937032286906,-0.0029833150357662652,0.0576557107322189
25,100,0.05136334713461318,0.010614236731059871,4,0.03055944314173583,0.07216725112749053,0.021586681911099373,0.08114001235812698
26,104,0.057928874569615096,0.014232293460810539,3,0.03003357938642644,0.08582416975280376,0.018002288373808337,0.09785546076542186
27,108,0.046480142508771416,0.013450012864038356,4,0.02011811729525624,0.07284216772228659,0.008748128379816415,0.08421215663772641
28,112,0.03329782865865136,0.013317329394170388,4,0.007195863046077396,0.05939979427122532,-0.004061961695475694,0.07065761901277841
29,116,0.02469576713412603,0.0128544352517017,4,-0.000498925959209303,0.04989046022746137,-0.01136544243049574,0.0607569766987478
30,120,0.03822437452326214,0.012533384685443542,4,0.013658940539792799,0.06278980850673148,0.00306382465500029,0.073384924391524
31,124,0.0314273635176298,0.012751829679624316,4,0.00643377734556614,0.05642094968969346,-0.0043460013486657165,0.06720072838392532
32,128,0.032407027218543674,0.013139231909496918,4,0.006654132675929715,0.05815992176115763,-0.004453137084964635,0.06926719152205199
33,132,0.04361211008315771,0.012805663231399344,4,0.018513010149614997,0.06871121001670043,0.00768772318017566,0.07953649698613977
34,136,0.015765599654263166,0.013202687169891028,2,-0.010111667198723247,0.041642866507249576,-0.021272578960900467,0.052803778269426796
