param,est,se,lo,hi,n_cells
overall_post,0.02364731194765597,0.008115146715703597,0.0077416243848769176,0.03955299951043502,330
C1_post,0.026095867577926417,0.008322204064304296,0.009784347611889996,0.04240738754396284,128
C4_post,-0.04228603265965547,0.016843239528259953,-0.07529878213504498,-0.009273283184265964,84
C5_post,-0.005498094417213054,0.016101497432221643,-0.037057029384367474,0.02606084054994137,66
C6_post,0.008831140867735314,0.006875594093026312,-0.004645023554596258,0.022307305290066887,52
C1_pre_kpass(2024-01-27~04-30),0.012489226722346682,0.006268758326669349,0.0002024604020747587,0.024775993042618606,12
C1_2024,0.009042129413951123,0.005230956638385894,-0.0012105455972852286,0.019294804425187474,44
C1_2025,0.03255237548400988,0.009338435535108039,0.014249041835198126,0.05085570913282164,48
C1_2026,0.038330648125784926,0.01254618476201212,0.01374012599224117,0.06292117025932868,36
pre_all(placebo),-0.012391367828723812,0.005594978193036092,-0.023357525087074553,-0.0014252105703730714,179
C1_pre(placebo),-0.005243784513065702,0.005996059696112703,-0.0169960615174466,0.0065084924913151945,2
C4_pre(placebo),-0.022023159398279774,0.008752841746692008,-0.039178729221796105,-0.00486758957476344,41
C5_pre(placebo),0.009034531646243987,0.00975777226447981,-0.01009070199213644,0.028159765284624414,61
C6_pre(placebo),-0.04606992206607412,0.021658364216502364,-0.08852031593041876,-0.003619528201729484,75
