g,t,b,e,att,n_g,n_g_valid,n_c,t_label,cohort
55,0,54,-55,-0.02648602195599356,283,283,111,2023-01-07,C1
55,1,54,-54,-0.019851460057266394,283,283,111,2023-01-14,C1
55,3,54,-52,-0.013975929972334922,283,283,111,2023-01-28,C1
55,4,54,-51,-0.023359287079839905,283,283,111,2023-02-04,C1
55,5,54,-50,-0.03766385412429839,283,283,111,2023-02-11,C1
55,6,54,-49,-0.03433824328498304,283,283,111,2023-02-18,C1
55,7,54,-48,-0.06848555710869761,283,283,111,2023-02-25,C1
55,8,54,-47,-0.07079875465182234,283,283,111,2023-03-04,C1
55,9,54,-46,-0.06766346657085134,283,283,111,2023-03-11,C1
55,10,54,-45,-0.07115183649365435,283,283,111,2023-03-18,C1
55,11,54,-44,-0.06765110978477384,283,283,111,2023-03-25,C1
55,12,54,-43,-0.05532346466564386,283,283,111,2023-04-01,C1
55,13,54,-42,-0.07295450027056867,283,283,111,2023-04-08,C1
55,14,54,-41,-0.08121078345401093,283,283,111,2023-04-15,C1
55,15,54,-40,-0.09721740381294774,283,283,111,2023-04-22,C1
55,16,54,-39,-0.10752534919967087,283,283,111,2023-04-29,C1
55,17,54,-38,-0.08175533243731091,283,283,111,2023-05-06,C1
55,18,54,-37,-0.07972167443556477,283,283,111,2023-05-13,C1
55,19,54,-36,-0.07508319918423818,283,283,111,2023-05-20,C1
55,20,54,-35,-0.08877644405388378,283,283,111,2023-05-27,C1
55,21,54,-34,-0.1029863847352803,283,283,111,2023-06-03,C1
55,22,54,-33,-0.07206132992378068,283,283,111,2023-06-10,C1
55,23,54,-32,-0.05745961686806614,283,283,111,2023-06-17,C1
55,24,54,-31,-0.041938859913403286,283,283,111,2023-06-24,C1
55,25,54,-30,-0.042687450647938496,283,283,111,2023-07-01,C1
55,26,54,-29,-0.0319416291840507,283,283,111,2023-07-08,C1
55,27,54,-28,-0.044684219924631174,283,283,111,2023-07-15,C1
55,28,54,-27,-0.029944432707625743,283,283,111,2023-07-22,C1
55,29,54,-26,-0.027725129771970492,283,283,111,2023-07-29,C1
55,30,54,-25,-0.0289827060437381,283,283,111,2023-08-05,C1
55,31,54,-24,-0.07700893943713229,283,283,111,2023-08-12,C1
55,32,54,-23,-0.03315665684953172,283,283,111,2023-08-19,C1
55,33,54,-22,-0.05637193692456416,283,283,111,2023-08-26,C1
55,34,54,-21,-0.0596044904540672,283,283,111,2023-09-02,C1
55,35,54,-20,-0.05087498298953898,283,283,111,2023-09-09,C1
55,36,54,-19,-0.03059098616509319,283,283,111,2023-09-16,C1
55,39,54,-16,-0.07416725181371579,283,283,111,2023-10-07,C1
55,40,54,-15,-0.06910574770177048,283,283,111,2023-10-14,C1
55,41,54,-14,-0.07489560293629804,283,283,111,2023-10-21,C1
55,42,54,-13,-0.07726679509901606,283,283,111,2023-10-28,C1
55,43,54,-12,-0.04488536470751149,283,283,111,2023-11-04,C1
55,44,54,-11,-0.04255175832764052,283,283,111,2023-11-11,C1
55,45,54,-10,-0.04801619862656831,283,283,111,2023-11-18,C1
55,46,54,-9,-0.029139292525645025,283,283,111,2023-11-25,C1
55,47,54,-8,-0.046489997578751815,283,283,111,2023-12-02,C1
55,48,54,-7,-0.035811325033366606,283,283,111,2023-12-09,C1
55,49,54,-6,0.0010347898776587455,283,283,111,2023-12-16,C1
55,50,54,-5,-0.04517435782028246,283,283,111,2023-12-23,C1
55,51,54,-4,-0.04090788005082751,283,283,111,2023-12-30,C1
55,52,54,-3,-0.010886799306672846,283,283,111,2024-01-06,C1
55,53,54,-2,-0.015426959964800351,283,283,111,2024-01-13,C1
55,55,54,0,-0.024353483174971026,283,283,111,2024-01-27,C1
55,58,54,3,-0.019793288085399915,283,283,111,2024-02-17,C1
55,59,54,4,-0.051094088335189636,283,283,111,2024-02-24,C1
55,60,54,5,-0.05367037130602326,283,283,111,2024-03-02,C1
55,61,54,6,-0.05289389889646319,283,283,111,2024-03-09,C1
55,62,54,7,-0.04182604011427321,283,283,111,2024-03-16,C1
55,63,54,8,-0.022092459242577633,283,283,111,2024-03-23,C1
55,64,54,9,-0.04321079144573628,283,283,111,2024-03-30,C1
55,65,54,10,-0.08023370666426957,283,283,111,2024-04-06,C1
55,66,54,11,-0.07504780843011419,283,283,111,2024-04-13,C1
55,67,54,12,-0.07456170012698886,283,283,111,2024-04-20,C1
55,68,54,13,-0.08430087180589028,283,283,111,2024-04-27,C1
55,69,54,14,-0.078825411880519,283,283,111,2024-05-04,C1
55,70,54,15,-0.08184304599031367,283,283,111,2024-05-11,C1
55,71,54,16,-0.06306704785353648,283,283,111,2024-05-18,C1
55,72,54,17,-0.06282336577431213,283,283,111,2024-05-25,C1
55,73,54,18,-0.086199429287075,283,283,111,2024-06-01,C1
