bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif
-47,-188,-0.11869561131152728,0.044078644154097985,4,-0.20508975385355932,-0.03230146876949523,-0.24620224049947517,0.008811017876420607
-46,-184,-0.11194774817546999,0.03778415852104474,3,-0.18600469887671767,-0.03789079747422229,-0.22124627089950866,-0.0026492254514313
-45,-180,-0.14969489079404508,0.03783972963951491,4,-0.2238607608874943,-0.07552902070059586,-0.2591541645151327,-0.040235617072957475
-44,-176,0.02627900729887539,0.031654613003487875,6,-0.03576403418796084,0.08832204878571162,-0.06528853248781472,0.1178465470855655
-43,-172,0.07368236831600572,0.03497162740416585,7,0.0051379786038406455,0.1422267580281708,-0.027480324255323957,0.1748450608873354
-42,-168,0.04995840516936665,0.036297649323162734,8,-0.02118498750403231,0.12110179784276562,-0.05504008109220309,0.15495689143093638
-41,-164,0.008945090266472205,0.03389801458671138,8,-0.0574950183234821,0.07538519885642651,-0.08911195434236521,0.10700213487530963
-40,-160,-0.013177920281730501,0.030980787722869732,8,-0.07390026421855517,0.04754442365509417,-0.10279628055434847,0.07644043999088748
-39,-156,0.007057555752297898,0.029097941352444267,7,-0.04997440929849287,0.06408952080308866,-0.07711428050446299,0.09122939200905879
-38,-152,0.04774025650182355,0.019667347777142404,11,0.00919225485862444,0.08628825814502267,-0.009151629994584617,0.10463214299823172
-37,-148,0.059786011097728034,0.01982156300870043,11,0.020935747600675195,0.09863627459478087,0.002448025028096615,0.11712399716735945
-36,-144,0.023777930532970663,0.01833915143431856,12,-0.012166806278293717,0.05972266734423504,-0.029271872300855442,0.07682773336679677
-35,-140,-0.007628629924985368,0.0195914936151454,10,-0.04602795741067036,0.030770697560699622,-0.06430109251007037,0.04904383266009962
-34,-136,0.004342459749930503,0.019370103816570738,11,-0.03362294373054814,0.04230786323040915,-0.05168958688102107,0.060374506380882084
-33,-132,0.0031607206926536294,0.016560868794387326,12,-0.029298582144345532,0.03562002352965279,-0.04474503042378323,0.051066471809090484
-32,-128,0.03439127838614707,0.01607928961323229,12,0.002875870744211778,0.06590668602808236,-0.012121404970276535,0.08090396174257067
-31,-124,0.057425739552755733,0.016467457069805097,12,0.025149523695937745,0.08970195540957372,0.00979020124246767,0.1050612778630438
-30,-120,0.04377304337333751,0.01578058877153785,10,0.012843089381123326,0.0747029973655517,-0.0018755857865252329,0.08942167253320026
-29,-116,0.021786387010357476,0.015271687739478243,11,-0.00814612095901988,0.051718894979734836,-0.022390140263582006,0.06596291428429696
-28,-112,0.007255149530253463,0.01540124340131225,12,-0.022931287536318547,0.03744158659682547,-0.03729614439201842,0.051806443452525344
-27,-108,-0.013752255449082006,0.012250061794291028,16,-0.03776237656589242,0.010257865667728409,-0.04918810237017879,0.021683591472014777
-26,-104,-0.006901958701186062,0.012248005867279308,15,-0.030908050201053507,0.01710413279868138,-0.042331858426579536,0.028527941024207415
-25,-100,-0.07070990337770929,0.014212135539968144,13,-0.09856568903604684,-0.042854117719371726,-0.11182145594562327,-0.029598350809795296
-24,-96,-0.08326816635921702,0.015247651777797954,16,-0.11315356384370101,-0.05338276887473303,-0.12737516462399665,-0.0391611680944374
-23,-92,-0.10371574419168467,0.015226494374224245,16,-0.13355967316516418,-0.07387181521820514,-0.14776154027423244,-0.05966994810913691
-22,-88,-0.10146813604694943,0.014843533379838323,16,-0.13056146147143255,-0.07237481062246631,-0.14440613794839885,-0.0585301341455
-21,-84,-0.05919170100121199,0.012980447567130963,14,-0.08463337823278867,-0.033750023769635304,-0.09674034040240587,-0.021643061600018103
-20,-80,-0.05636119758428418,0.012328445213699368,14,-0.08052495020313494,-0.03219744496543342,-0.09202378481885437,-0.020698610349713993
-19,-76,-0.06745894083097487,0.012026666291096316,15,-0.09103120676152365,-0.04388667490042609,-0.10224856988092929,-0.03266931178102045
-18,-72,-0.08316034280400758,0.01299301149989332,15,-0.10862664534379848,-0.05769404026421668,-0.12074532598905906,-0.045575359618956104
-17,-68,-0.08285531486974476,0.012933094088957018,15,-0.10820417928410052,-0.057506450455389005,-0.12026697450447449,-0.04544365523501503
-16,-64,-0.06335403767101114,0.01134606199658458,13,-0.08559231918431691,-0.041115756157705366,-0.09617487750184514,-0.030533197840177127
-15,-60,-0.032801312576950584,0.0091481705186554,16,-0.05073172679351517,-0.014870898360386,-0.05926429501335264,-0.006338330140548527
-14,-56,-0.0208021226989707,0.008289688022863008,15,-0.03704991122378219,-0.004554334174159205,-0.04478176629054198,0.00317752089260058
-13,-52,-0.021209740385918534,0.007819310849620092,16,-0.036535589651173914,-0.0058838911206631535,-0.04382872035096165,0.0014092395791245778
-12,-48,-0.060359939206548655,0.01043832493041219,15,-0.08081905607015655,-0.03990082234294076,-0.09055496112220439,-0.030164917290892917
-11,-44,-0.06304691584516894,0.01211229265110576,14,-0.08678700944133623,-0.03930682224900166,-0.09808423691796028,-0.028009594772377598
-10,-40,-0.08468105685806326,0.012149355157390506,16,-0.10849379296654865,-0.060868320749577876,-0.11982558892466613,-0.049536524791460396
-9,-36,-0.07912061835211792,0.011589877986281092,15,-0.10183677920522886,-0.05640445749900698,-0.11264674655070758,-0.04559449015352827
