param,est,se,lo,hi,n_cells
overall_post,-0.025569397056826492,0.009576277578361504,-0.04433890111041504,-0.006799893003237946,345
C1_post,-0.02714324584581618,0.00987112836785739,-0.046490657446816665,-0.007795834244815697,131
C4_post,-0.01201305746712932,0.024114873625650155,-0.059278209773403624,0.03525209483914498,90
C5_post,0.08705854147359376,0.017093394156820478,0.05355548892622563,0.12056159402096189,69
C6_post,0.007428239682029842,0.008817702879536374,-0.009854457961861452,0.024710937325921136,55
C1_pre_kpass(2024-01-27~04-30),-0.05159135332707558,0.008115677551715331,-0.06749808132843763,-0.03568462532571354,12
C1_year1(적용 후 1년차),-0.04172527700676501,0.007708823140437277,-0.05683457036202207,-0.026615983651507948,49
C1_year2(적용 후 2년차),-0.016545068333247315,0.0111858603995722,-0.03846935471640883,0.005379218049914199,49
C1_year3(적용 후 3년차),-0.021227826792161085,0.01324592376804904,-0.04718983737753721,0.004734183793215035,33
C1_2024,-0.04590470183967879,0.007981137424369473,-0.06154773119144295,-0.030261672487914625,46
C1_2025,-0.018263238816352174,0.01096171102287715,-0.03974819242119139,0.00322171478848704,49
C1_2026,-0.015256950532651074,0.01293813521916671,-0.04061569556221783,0.01010179449691568,36
pre_all(placebo),-0.041595122648143225,0.007681301787923568,-0.056650474152473415,-0.02653977114381303,383
C1_pre(placebo),-0.05208675576265279,0.008366024679243427,-0.0684841641339699,-0.03568934739133567,51
C4_pre(placebo),0.01641341316772127,0.012834824730177795,-0.008742843303427207,0.041569669638869745,92
C5_pre(placebo),0.09725024061524126,0.015043739824285864,0.06776451055964097,0.12673597067084155,113
C6_pre(placebo),-0.02742228145865378,0.01183096019882918,-0.05061096344835897,-0.004233599468948589,127
