group,year,gap_vs_2019,se,n_treated,n_control
"A′: C1(업무·관광형 제외) − 통근권 대조, 층화",2019,0.0,0.0,196,96
"A′: C1(업무·관광형 제외) − 통근권 대조, 층화",2022,-0.0023435626551995044,0.018586449614653524,196,96
"A′: C1(업무·관광형 제외) − 통근권 대조, 층화",2023,0.003533848660190158,0.023010605095276103,196,96
"A′: C1(업무·관광형 제외) − 통근권 대조, 층화",2024,0.0032843457297633064,0.02877093128495616,196,96
"A′: C1(업무·관광형 제외) − 통근권 대조, 층화",2025,0.028402576935133646,0.03127398924109831,196,96
"A′: C1(업무·관광형 제외) − 통근권 대조, 층화",2026(1~8월),0.033906710973809415,0.034409633277492774,196,96
C1 전체 − 통근권 대조(무층화),2019,0.0,0.0,283,96
C1 전체 − 통근권 대조(무층화),2022,-0.026286757329867516,0.015625963598248183,283,96
C1 전체 − 통근권 대조(무층화),2023,-0.006271063555420758,0.018136738459636165,283,96
C1 전체 − 통근권 대조(무층화),2024,0.0050292727168093285,0.02094718262697195,283,96
C1 전체 − 통근권 대조(무층화),2025,0.033651873794470655,0.02261376143989351,283,96
C1 전체 − 통근권 대조(무층화),2026(1~8월),0.0406876577518832,0.025094114871390592,283,96
C1 업무·관광형(Q1) − 대조 Q1,2019,0.0,0.0,87,9
C1 업무·관광형(Q1) − 대조 Q1,2022,-0.1351556832119919,0.0634076642612931,87,9
C1 업무·관광형(Q1) − 대조 Q1,2023,-0.073165651585576,0.07363008974513903,87,9
C1 업무·관광형(Q1) − 대조 Q1,2024,-0.029712180366970396,0.0752852299507426,87,9
C1 업무·관광형(Q1) − 대조 Q1,2025,0.027217633663763896,0.07229295044199642,87,9
C1 업무·관광형(Q1) − 대조 Q1,2026(1~8월),0.027649448760128956,0.0862958093041131,87,9
C5 성남 − 통근권 대조(무층화),2019,0.0,0.0,5,96
C5 성남 − 통근권 대조(무층화),2022,0.008179863773621399,0.060100939628996444,5,96
C5 성남 − 통근권 대조(무층화),2023,0.02083189825149577,0.08486205836537816,5,96
C5 성남 − 통근권 대조(무층화),2024,0.013221154020191916,0.0920391440409694,5,96
C5 성남 − 통근권 대조(무층화),2025,0.01874692238559217,0.09896943866680184,5,96
C5 성남 − 통근권 대조(무층화),2026(1~8월),0.013949327677621165,0.11132612635772539,5,96
