bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif,cohort,freq,n_units
-24,-24,0.0007975559230170015,0.008039758879003754,1,-0.014960371479830356,0.01655548332586436,-0.021222618140437313,0.022817729986471316,C1,month,283
-23,-23,-0.01089116467758322,0.00900237839712781,1,-0.028535826335953727,0.006753496980787286,-0.03554786673459806,0.013765537379431623,C1,month,283
-22,-22,-0.01727787630368384,0.00797385803276091,1,-0.032906638047895224,-0.0016491145594724546,-0.0391175538961574,0.004561801288789722,C1,month,283
-21,-21,-0.02344601815854151,0.007266143367363373,1,-0.03768765915857372,-0.009204377158509297,-0.0433473291465126,-0.00354470717057042,C1,month,283
-20,-20,-0.02215581401465177,0.007193778984822391,1,-0.036255620824903655,-0.008056007204399883,-0.041858925488989646,-0.0024527025403138884,C1,month,283
-19,-19,-0.030910551656035866,0.007983655526407302,1,-0.046558516487794174,-0.015262586824277554,-0.052777063699483144,-0.009044039612588588,C1,month,283
-18,-18,-0.016871414549213336,0.006788513182437939,1,-0.030176900386791695,-0.0035659287116349744,-0.035464539561920305,0.0017217104634936302,C1,month,283
-17,-17,-0.03162677244718321,0.006222983794153067,1,-0.04382382068372322,-0.0194297242106432,-0.048670963498630024,-0.014582581395736396,C1,month,283
-16,-16,-0.011432139291553838,0.006147619150310214,1,-0.023481472826161857,0.0006171942430541824,-0.028269913384404564,0.005405634801296889,C1,month,283
-15,-15,-0.027009267039701412,0.006473212592682818,1,-0.03969676372135973,-0.01432177035804309,-0.04473881218972748,-0.009279721889675345,C1,month,283
-14,-14,-0.001816669225807286,0.006852934256048448,1,-0.015248420367662243,0.011615081916047671,-0.020586237745789406,0.016952899294174834,C1,month,283
0,0,-0.01766632402265096,0.009970870854488983,1,-0.03720923089744937,0.0018765828521474445,-0.04497563952382401,0.009642991478522083,C1,month,283
1,1,0.014627887338343103,0.00812689839383355,1,-0.0013008335135706525,0.030556608190256858,-0.007630953992778675,0.03688672866946488,C1,month,283
2,2,0.010939547767975767,0.0071445193094521325,1,-0.0030637100785504117,0.024942805614501948,-0.00862864590070564,0.030507741436657174,C1,month,283
3,3,0.01218338584634826,0.00730054153068196,1,-0.0021256755537883802,0.0264924472464849,-0.007812138606869471,0.03217891029956599,C1,month,283
4,4,0.0024245143973638723,0.006879211461103205,1,-0.011058740066398409,0.015907768861126152,-0.016417025016013814,0.02126605381074156,C1,month,283
5,5,0.018553242654243976,0.00794529171848776,1,0.0029804708860079656,0.034126014422479985,-0.0032081943812535714,0.04031467968974152,C1,month,283
6,6,0.0015452228732439083,0.007049721471506747,1,-0.012272231210909316,0.015362676957397133,-0.01776332807184189,0.0208537738183297,C1,month,283
7,7,-0.005531249512443263,0.007086547200276994,1,-0.019420882024986173,0.008358383000099645,-0.024940662805484806,0.01387816378059828,C1,month,283
8,8,0.0183113072410312,0.006594431148330328,1,0.005386222190303758,0.031236392291758643,0.0002497554058233688,0.036372859076239036,C1,month,283
9,9,-0.009992976435509903,0.006534944345921114,1,-0.022801467353515285,0.002815514482495479,-0.02789159928699534,0.007905646415975534,C1,month,283
