bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif,cohort,freq,n_units
-24,-24,0.023059950205103503,0.007544821038850788,1,0.008272100968955958,0.03784779944125105,0.00351044867391824,0.042609451736288766,C1,month,196
-23,-23,0.013472415454341444,0.008699251159795803,1,-0.003578116818858331,0.03052294772754122,-0.00906834767216173,0.036013178580844615,C1,month,196
-22,-22,0.004460474975537896,0.008011914275462472,1,-0.011242877004368549,0.02016382695544434,-0.016299319006233746,0.025220268957309538,C1,month,196
-21,-21,-0.011972736007729263,0.007873778509476124,1,-0.027405341886302465,0.0034598698708439395,-0.032374604287253514,0.008429132271794988,C1,month,196
-20,-20,-0.009228316199347223,0.007584525433925574,1,-0.024093986049841348,0.0056373536511469015,-0.02888069639767547,0.010424063998981024,C1,month,196
-19,-19,-0.015491885848008743,0.0084687519816028,1,-0.032090639731950234,0.0011068680359327468,-0.037435399018042784,0.006451627322025297,C1,month,196
-18,-18,-0.0038085861175443285,0.007866765010614243,1,-0.019227445538348244,0.011610273303259588,-0.02419228161258061,0.016575109377491955,C1,month,196
-17,-17,-0.021024005284995085,0.007448875001497428,1,-0.035623800287930045,-0.006424210282060127,-0.04032489956698357,-0.0017231110030066013,C1,month,196
-16,-16,-0.0052960750470950994,0.0075388175349841114,1,-0.02007215741566396,0.00948000732147376,-0.024830020807317773,0.014237870713127574,C1,month,196
-15,-15,-0.014241422053319448,0.007733284407283853,1,-0.0293986594915958,0.0009158153849569035,-0.0342792539094763,0.005796409802837408,C1,month,196
-14,-14,0.007115360389823354,0.009071097899653323,1,-0.010663991493497157,0.024894712273143868,-0.016388900528446937,0.030619621308093647,C1,month,196
0,0,-0.02880004899808639,0.01603368894614017,1,-0.060226079332521124,0.002625981336348341,-0.07034518638293014,0.012745088386757353,C1,month,196
1,1,0.002956194913041787,0.01194330309365406,1,-0.02045267915052017,0.026365068976603744,-0.027990280942979815,0.03390267076906339,C1,month,196
2,2,0.00023152569135850495,0.009999471608529945,1,-0.019367438661360186,0.019830490044077196,-0.02567825858521799,0.026141309967935,C1,month,196
3,3,0.0027103121811439604,0.010353040286746353,1,-0.017581646780878892,0.023002271143166813,-0.024115609321296236,0.029536233683584157,C1,month,196
4,4,-0.004359438318432824,0.010313163844261813,1,-0.02457323945318598,0.015854362816320328,-0.031082035359047418,0.022363158722181767,C1,month,196
5,5,0.012679769575020388,0.010330565283196699,1,-0.0075681383800451415,0.032927677530085915,-0.014087916600956147,0.039447455750996924,C1,month,196
6,6,-0.00698689350543427,0.010438912661752337,1,-0.027447162322468847,0.013473375311600309,-0.03403532023603316,0.020061533225164616,C1,month,196
7,7,-0.01585016393415298,0.009745985414294259,1,-0.034952295346169726,0.0032519674778637674,-0.04110313624437173,0.009402808376065771,C1,month,196
8,8,0.005449312866003432,0.008947134886711006,1,-0.012087071511950138,0.022985697243957,-0.01773374558784163,0.0286323713198485,C1,month,196
9,9,-0.018090820285720743,0.0082908170910906,1,-0.03434082178425832,-0.0018408187871831669,-0.039573283631430596,0.0033916430599891106,C1,month,196
10,10,0.018527713983721245,0.009337884590627777,1,0.00022546018609080273,0.03682996778135168,-0.005667822022035994,0.04272324998947848,C1,month,196
12,12,0.02250993250957743,0.014926294756107029,1,-0.0067456052123923485,0.051765470231547206,-0.016165818802064486,0.06118568382121935,C1,month,196
13,13,0.014636778913032932,0.013391307424723484,1,-0.011610183639425094,0.04088374146549096,-0.020061643177583036,0.049335201003648896,C1,month,196
14,14,0.02759032494025209,0.012788014954548184,1,0.002525815629337652,0.05265483425116653,-0.005544896776397017,0.0607255466569012,C1,month,196
15,15,0.014826961760297368,0.013001083681780993,1,-0.010655162255993377,0.040309085776588115,-0.018860345603955116,0.04851426912454985,C1,month,196
16,16,0.012328984275540756,0.012342711477662695,1,-0.011862730220678125,0.03652069877175964,-0.019652404771203037,0.04431037332228455,C1,month,196
17,17,0.030277453873427614,0.013113245434534626,1,0.004575492821739746,0.05597941492511548,-0.00370047752894408,0.06425538527579931,C1,month,196
18,18,0.013738611304434862,0.013667362306595739,1,-0.013049418816492785,0.04052664142536251,-0.021675100825277224,0.04915232343414695,C1,month,196
19,19,0.03243678178691069,0.012838722309721724,1,0.007272886059856109,0.05760067751396526,-0.0008298285355785029,0.06570339210939988,C1,month,196
20,20,0.018258865960150278,0.013799110129908466,1,-0.008787389894470313,0.045305121814770866,-0.017496219975556657,0.05401395189585721,C1,month,196
21,21,0.011753574788936044,0.01338846336154032,1,-0.014487813399682983,0.03799496297755507,-0.02293747800593815,0.04644462758381024,C1,month,196
22,22,0.020970320260502766,0.013581822190193433,1,-0.005650051232276361,0.04759069175328189,-0.014221747561415463,0.056162388082420994,C1,month,196
24,24,0.006233709596028206,0.018189549310799604,1,-0.029417807053139015,0.04188522624519543,-0.0408975106505438,0.0533649298426002,C1,month,196
25,25,0.020415166104912306,0.016483106292832624,1,-0.011891722229039635,0.05272205443886425,-0.02229446346100026,0.06312479567082488,C1,month,196
26,26,0.018747244048805844,0.016227614757188993,1,-0.013058880875284583,0.05055336897289627,-0.02330037747986495,0.06079486557747664,C1,month,196
27,27,0.010772343493892946,0.015958447236426306,1,-0.020506213089502616,0.042050900077288504,-0.030577833942704725,0.052122520930490614,C1,month,196
28,28,0.02440274675599475,0.015271104906345017,1,-0.0055286188604414845,0.05433411237243098,-0.015166447425310321,0.06397194093729983,C1,month,196
29,29,0.02847067561341131,0.015652906526286915,1,-0.002209021178111042,0.05915037240493366,-0.012087810602155191,0.06902916182897781,C1,month,196
30,30,0.01674646249458603,0.01578870532955054,1,-0.014199399951333028,0.047692324940505085,-0.02416389408326805,0.05765681907244011,C1,month,196
-44,-176,0.042333667910259554,0.04058840415253067,2,-0.03721960422870056,0.12188694004921967,-0.061862552597713755,0.14652988841823286,C5,week,5
-43,-172,0.0024429481792701256,0.04591447736480487,3,-0.08754942745574741,0.09243532381428766,-0.11542606165006238,0.12031195800860263,C5,week,5
-42,-168,-0.019440168549197313,0.05053730201854041,4,-0.11849328050553651,0.0796129434071419,-0.1491766283817419,0.11029629128334728,C5,week,5
-41,-164,-0.01571296929637797,0.04462501421124474,4,-0.10317799715041766,0.07175205855766172,-0.1302717433603341,0.09884580476757816,C5,week,5
-40,-160,-0.01483582987620784,0.04158581277945749,4,-0.09634402292394452,0.06667236317152885,-0.12159254053888811,0.09192088078647244,C5,week,5
-39,-156,0.007964961052281037,0.030701245960978767,4,-0.05220948103123735,0.06813940313579941,-0.07084951467822673,0.0867794367827888,C5,week,5
-38,-152,0.020969186881625163,0.025510371926972537,4,-0.029031142095241012,0.07096951585849134,-0.0445195750946821,0.08645794885793243,C5,week,5
