benchmark,target,est,breakdown_Mbar
2022→2023 사전 추세(2022 전체),1년차,-0.002866594166503445,0.0
2022→2023 사전 추세(2022 전체),2년차,0.01993896276118753,0.0
2022→2023 사전 추세(2022 전체),3년차,0.01796976401537591,0.0
2022→2023 사전 추세(2022 전체),적용 후 전체,0.010813255263764011,0.0
2022→2023 사전 추세(거리두기 해제 뒤 2022-05~),1년차,-0.002866594166503445,0.0
2022→2023 사전 추세(거리두기 해제 뒤 2022-05~),2년차,0.01993896276118753,0.0
2022→2023 사전 추세(거리두기 해제 뒤 2022-05~),3년차,0.01796976401537591,0.0
2022→2023 사전 추세(거리두기 해제 뒤 2022-05~),적용 후 전체,0.010813255263764011,0.0
2019→2023 구조 추세(연환산),1년차,-0.002866594166503445,0.0
2019→2023 구조 추세(연환산),2년차,0.01993896276118753,0.0
2019→2023 구조 추세(연환산),3년차,0.01796976401537591,0.0
2019→2023 구조 추세(연환산),적용 후 전체,0.010813255263764011,0.0
