benchmark,D_annual,target,k_mean,Mbar,est,se,id_lo,id_hi,ci_lo,ci_hi
1차 링 자체 사전 흐름(2022→23),0.015951452905655885,1년차,1.0,0.0,-0.035923659247647836,0.011324197171216608,-0.035923659247647836,-0.035923659247647836,-0.05749311256776505,-0.014648492349665164
1차 링 자체 사전 흐름(2022→23),0.015951452905655885,1년차,1.0,0.5,-0.035923659247647836,0.011324197171216608,-0.04389938570047578,-0.027947932794819892,-0.07678742693211871,-0.009562029449254163
1차 링 자체 사전 흐름(2022→23),0.015951452905655885,1년차,1.0,1.0,-0.035923659247647836,0.011324197171216608,-0.05187511215330372,-0.01997220634199195,-0.09769374897038688,0.0013176593472663417
1차 링 자체 사전 흐름(2022→23),0.015951452905655885,1년차,1.0,1.5,-0.035923659247647836,0.011324197171216608,-0.05985083860613166,-0.01199647988916401,-0.120523795513436,0.018530618430681097
1차 링 자체 사전 흐름(2022→23),0.015951452905655885,1년차,1.0,2.0,-0.035923659247647836,0.011324197171216608,-0.0678265650589596,-0.004020753436336066,-0.1419528327410436,0.03833738762811118
1차 링 자체 사전 흐름(2022→23),0.015951452905655885,2년차,2.0,0.0,-0.04903795323341645,0.017687601368105287,-0.04903795323341645,-0.04903795323341645,-0.08216873739578837,-0.014542298438134598
1차 링 자체 사전 흐름(2022→23),0.015951452905655885,2년차,2.0,0.5,-0.04903795323341645,0.017687601368105287,-0.06498940613907234,-0.03308650032776056,-0.12021172714914383,0.0017468559403948003
1차 링 자체 사전 흐름(2022→23),0.015951452905655885,2년차,2.0,1.0,-0.04903795323341645,0.017687601368105287,-0.08094085904472823,-0.017135047422104678,-0.1595801014463352,0.032336873723012846
1차 링 자체 사전 흐름(2022→23),0.015951452905655885,2년차,2.0,1.5,-0.04903795323341645,0.017687601368105287,-0.0968923119503841,-0.0011835945164487965,-0.20382601734435066,0.07171250214588223
1차 링 자체 사전 흐름(2022→23),0.015951452905655885,2년차,2.0,2.0,-0.04903795323341645,0.017687601368105287,-0.11284376485603999,0.014767858389207092,-0.24849250888572502,0.11235385642866985
1차 링 자체 사전 흐름(2022→23),0.015951452905655885,3년차,3.0,0.0,-0.06065615832014071,0.022334559013770874,-0.06065615832014071,-0.06065615832014071,-0.10427227253692453,-0.017929332287946857
1차 링 자체 사전 흐름(2022→23),0.015951452905655885,3년차,3.0,0.5,-0.06065615832014071,0.022334559013770874,-0.08458333767862453,-0.03672897896165688,-0.15471243728561646,0.017080723252972288
1차 링 자체 사전 흐름(2022→23),0.015951452905655885,3년차,3.0,1.0,-0.06065615832014071,0.022334559013770874,-0.10851051703710836,-0.012801799603173056,-0.2122243554033666,0.06932742668600628
1차 링 자체 사전 흐름(2022→23),0.015951452905655885,3년차,3.0,1.5,-0.06065615832014071,0.022334559013770874,-0.1324376963955922,0.011125379755310777,-0.2770270537844753,0.13179766515075741
1차 링 자체 사전 흐름(2022→23),0.015951452905655885,3년차,3.0,2.0,-0.06065615832014071,0.022334559013770874,-0.156364875754076,0.035052559113794596,-0.3450096858895114,0.19625951276323167
1차 링 자체 사전 흐름(2022→23),0.015951452905655885,적용 후 전체,1.890625,0.0,-0.047217866909438126,0.015692345069330385,-0.047217866909438126,-0.047217866909438126,-0.07650081253974421,-0.01665016885686279
1차 링 자체 사전 흐름(2022→23),0.015951452905655885,적용 후 전체,1.890625,0.5,-0.047217866909438126,0.015692345069330385,-0.06229697473431595,-0.0321387590845603,-0.11286894192245327,-0.0017382900398671866
1차 링 자체 사전 흐름(2022→23),0.015951452905655885,적용 후 전체,1.890625,1.0,-0.047217866909438126,0.015692345069330385,-0.07737608255919379,-0.01705965125968247,-0.15037789619813824,0.029687691987594727
1차 링 자체 사전 흐름(2022→23),0.015951452905655885,적용 후 전체,1.890625,1.5,-0.047217866909438126,0.015692345069330385,-0.09245519038407161,-0.001980543434804638,-0.19260867902994064,0.06614134422774481
1차 링 자체 사전 흐름(2022→23),0.015951452905655885,적용 후 전체,1.890625,2.0,-0.047217866909438126,0.015692345069330385,-0.10753429820894944,0.013098564390073189,-0.23392183541258088,0.10672025576465642
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),0.01574295132269839,1년차,1.0,0.0,-0.035923659247647836,0.011324197171216608,-0.035923659247647836,-0.035923659247647836,-0.05749311256776505,-0.014648492349665164
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),0.01574295132269839,1년차,1.0,0.5,-0.035923659247647836,0.011324197171216608,-0.04379513490899703,-0.028052183586298643,-0.0761166102493461,-0.010032298608390916
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),0.01574295132269839,1년차,1.0,1.0,-0.035923659247647836,0.011324197171216608,-0.05166661057034623,-0.020180707924949446,-0.09557565265430983,-0.0005294297329579873
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),0.01574295132269839,1년차,1.0,1.5,-0.035923659247647836,0.011324197171216608,-0.059538086231695424,-0.012309232263600249,-0.11575783488179989,0.015496016775328835
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),0.01574295132269839,1년차,1.0,2.0,-0.035923659247647836,0.011324197171216608,-0.06740956189304462,-0.004437756602251056,-0.13542017716873306,0.03434584261976221
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),0.01574295132269839,2년차,2.0,0.0,-0.04903795323341645,0.017687601368105287,-0.04903795323341645,-0.04903795323341645,-0.08216873739578837,-0.014542298438134598
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),0.01574295132269839,2년차,2.0,0.5,-0.04903795323341645,0.017687601368105287,-0.06478090455611484,-0.03329500191071806,-0.11661806359283185,1.027189884914275e-05
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),0.01574295132269839,2년차,2.0,1.0,-0.04903795323341645,0.017687601368105287,-0.08052385587881322,-0.017552050588019667,-0.15378692384848577,0.031166247854726832
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),0.01574295132269839,2년차,2.0,1.5,-0.04903795323341645,0.017687601368105287,-0.09626680720151162,-0.0018090992653212734,-0.1909235912458375,0.06775639033723421
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),0.01574295132269839,2년차,2.0,2.0,-0.04903795323341645,0.017687601368105287,-0.11200975852421001,0.013933852057377114,-0.23052241191884282,0.10811079324550942
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),0.01574295132269839,3년차,3.0,0.0,-0.06065615832014071,0.022334559013770874,-0.06065615832014071,-0.06065615832014071,-0.10427227253692453,-0.017929332287946857
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),0.01574295132269839,3년차,3.0,0.5,-0.06065615832014071,0.022334559013770874,-0.0842705853041883,-0.03704173133609312,-0.15090675986625685,0.016315286262649092
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),0.01574295132269839,3년차,3.0,1.0,-0.06065615832014071,0.022334559013770874,-0.10788501228823588,-0.013427304352045533,-0.2017469796063542,0.06560670287113747
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),0.01574295132269839,3년차,3.0,1.5,-0.06065615832014071,0.022334559013770874,-0.13149943927228347,0.010187122632002055,-0.25940025630709285,0.12249648891931107
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),0.01574295132269839,3년차,3.0,2.0,-0.06065615832014071,0.022334559013770874,-0.15511386625633106,0.03380154961604964,-0.32119885924357633,0.18457905648580003
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),0.01574295132269839,적용 후 전체,1.890625,0.0,-0.047217866909438126,0.015692345069330385,-0.047217866909438126,-0.047217866909438126,-0.07650081253974421,-0.01665016885686279
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),0.01574295132269839,적용 후 전체,1.890625,0.5,-0.047217866909438126,0.015692345069330385,-0.06209987558167645,-0.032335858237199804,-0.10802417569787631,-0.0022745740345144743
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),0.01574295132269839,적용 후 전체,1.890625,1.0,-0.047217866909438126,0.015692345069330385,-0.07698188425391478,-0.01745384956496148,-0.14409975542380327,0.02697623223247979
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),0.01574295132269839,적용 후 전체,1.890625,1.5,-0.047217866909438126,0.015692345069330385,-0.0918638929261531,-0.002571840892723158,-0.18040079666576947,0.06229152438384476
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),0.01574295132269839,적용 후 전체,1.890625,2.0,-0.047217866909438126,0.015692345069330385,-0.10674590159839142,0.012310167779515165,-0.2172091581167242,0.1005931610525354
