group,freq,window,est,se,n,n_cells
1차 링,week,사전(placebo),0.019512798432149446,0.01617038423997082,8,50
1차 링,week,노출 후 전체,-0.047217866909438126,0.01576366636742143,8,128
1차 링,week,① 출시~본사업 전,-0.03687347048676426,0.013588344711639755,8,21
1차 링,week,② 본사업(청년할인·관광권)~후불카드 전,-0.041009157319028405,0.01168948182018463,8,18
1차 링,week,③ 후불카드·고양과천 확대~검단연장 전,-0.045019078730914104,0.01649649558035571,8,29
1차 링,week,④ 인천1호선 검단연장 뒤,-0.05376376615411685,0.020490251382665386,8,60
1차 링,month,사전(placebo),0.01616033250781257,0.015158233985859861,8,11
1차 링,month,노출 후 전체,-0.04915418959423015,0.016019565893737132,8,29
1차 링,month,① 출시~본사업 전,-0.039241383047865855,0.014069778447293145,8,5
1차 링,month,② 본사업(청년할인·관광권)~후불카드 전,-0.0412537932874932,0.01219907767298674,8,5
1차 링,month,③ 후불카드·고양과천 확대~검단연장 전,-0.048758172688351725,0.01785035581343812,8,6
1차 링,month,④ 인천1호선 검단연장 뒤,-0.0561881984942899,0.02065455475397921,8,13
2차 링,week,사전(placebo),0.041150580032833894,0.012897324285801875,11,50
2차 링,week,노출 후 전체,-0.016854197911641743,0.016048110473016262,11,128
2차 링,week,① 출시~본사업 전,-0.024538966755096495,0.01254201572353856,11,21
2차 링,week,② 본사업(청년할인·관광권)~후불카드 전,-0.016516748636614974,0.010872736188060093,11,18
2차 링,week,③ 후불카드·고양과천 확대~검단연장 전,-0.018391433888747297,0.01421973739288747,11,29
2차 링,week,④ 인천1호선 검단연장 뒤,-0.013522766210006254,0.021996035134945944,11,60
2차 링,month,사전(placebo),0.03643335998434154,0.010987421143469678,11,11
2차 링,month,노출 후 전체,-0.01881752914743661,0.015937702667100154,11,29
2차 링,month,① 출시~본사업 전,-0.028087834548550253,0.012412322311372882,11,5
2차 링,month,② 본사업(청년할인·관광권)~후불카드 전,-0.015539673933289325,0.01096726624283631,11,5
2차 링,month,③ 후불카드·고양과천 확대~검단연장 전,-0.021441531889946956,0.015126808202879882,11,6
2차 링,month,④ 인천1호선 검단연장 뒤,-0.015301662425137095,0.02190400846167763,11,13
