complex,type,cohort,in_main_sample
4.19민주묘지,생활·한낮형,C1,True
가능,주거·출근형,NT,False
가락시장,혼합형,C1,True
가산디지털단지,업무형,C1,True
가양,주거·출근형,C1,True
가오리,주거·출근형,C1,True
가좌,주거·출근형,C1,True
가천대,혼합형,C5,False
가평,생활·한낮형,NT,False
간석,주거·출근형,NT,True
갈매,주거·출근형,NT,False
강남,상업·여가형,C1,True
강남구청,업무형,C1,True
강동,혼합형,C1,True
강동구청,주거·출근형,C1,True
강매,주거·출근형,C4,False
강변,생활·한낮형,C1,True
강일,주거·출근형,C1,False
강촌,생활·한낮형,NT,False
개롱,주거·출근형,C1,True
개봉,주거·출근형,C1,True
개포동,혼합형,C1,True
개화,주거·출근형,C1,True
개화산,주거·출근형,C1,True
거여,주거·출근형,C1,True
건대입구,상업·여가형,C1,True
검암,주거·출근형,NT,False
경기광주,주거·출근형,NT,False
경마공원,생활·한낮형,C4,False
경복궁,상업·여가형,C1,True
경찰병원,혼합형,C1,True
계양,주거·출근형,NT,False
고덕,혼합형,C1,True
고려대,혼합형,C1,True
고색,혼합형,NT,True
고속터미널,상업·여가형,C1,True
고잔,주거·출근형,NT,True
곡산,혼합형,C4,False
곤지암,생활·한낮형,NT,True
공덕,업무형,C1,True
공릉,혼합형,C1,True
공항시장,주거·출근형,C1,True
공항화물청사,업무형,NT,True
과천,주거·출근형,C4,False
관악,주거·출근형,NT,False
관악산,생활·한낮형,C1,False
광나루,혼합형,C1,True
광명,혼합형,NT,False
광명사거리,주거·출근형,C1,False
광운대,주거·출근형,C1,True
광화문,업무형,C1,True
광흥창,혼합형,C1,True
교대,업무형,C1,True
구로,혼합형,C1,True
구로디지털단지,혼합형,C1,True
구룡,생활·한낮형,C1,True
구리,주거·출근형,C4,False
구반포,혼합형,C1,True
구산,주거·출근형,C1,True
구성,주거·출근형,NT,False
구의,주거·출근형,C1,True
구일,혼합형,C1,True
구파발,주거·출근형,C1,True
국수,생활·한낮형,NT,True
국회의사당,업무형,C1,True
군자,혼합형,C1,True
군포,혼합형,NT,True
굴봉산,생활·한낮형,NT,False
굽은다리,주거·출근형,C1,True
금곡,주거·출근형,NT,True
금릉,주거·출근형,NT,True
금정,혼합형,NT,True
금천구청,주거·출근형,C1,False
금촌,생활·한낮형,NT,True
금호,주거·출근형,C1,True
기흥,주거·출근형,NT,True
길동,혼합형,C1,True
길음,주거·출근형,C1,True
김유정,생활·한낮형,NT,False
김포공항,상업·여가형,MIXED,False
까치산,주거·출근형,C1,True
낙성대,혼합형,C1,True
남구로,혼합형,C1,True
남동인더스파크,업무형,NT,True
남부터미널,업무형,C1,True
남성,주거·출근형,C1,True
남영,업무형,C1,True
남위례,혼합형,C1,False
남춘천,생활·한낮형,NT,False
남태령,생활·한낮형,C1,False
남한산성입구,주거·출근형,C1,False
내방,업무형,C1,True
노들,주거·출근형,C1,True
노량진,혼합형,C1,True
노원,혼합형,C1,True
녹번,주거·출근형,C1,True
녹사평,상업·여가형,C1,True
녹양,주거·출근형,NT,True
녹천,주거·출근형,C1,True
논현,업무형,C1,True
능곡,주거·출근형,C4,False
단대오거리,주거·출근형,C1,False
달월,업무형,NT,True
답십리,주거·출근형,C1,True
당곡,혼합형,C1,False
당산,혼합형,C1,True
당정,주거·출근형,NT,True
대곡,주거·출근형,C4,False
대공원,생활·한낮형,C4,False
대림,주거·출근형,C1,True
대모산입구,주거·출근형,C1,True
대방,혼합형,C1,True
대성리,생활·한낮형,NT,False
대야미,주거·출근형,NT,True
대청,혼합형,C1,True
대치,혼합형,C1,True
대화,주거·출근형,C4,False
대흥,혼합형,C1,True
덕계,주거·출근형,NT,True
덕소,주거·출근형,NT,False
덕정,주거·출근형,NT,True
도곡,혼합형,C1,True
도농,주거·출근형,NT,False
도림천,혼합형,C1,True
도봉,주거·출근형,C1,True
도봉산,주거·출근형,C1,False
도심,주거·출근형,NT,False
도원,생활·한낮형,NT,True
도화,주거·출근형,NT,True
독립문,생활·한낮형,C1,True
독바위,주거·출근형,C1,True
독산,혼합형,C1,True
돌곶이,주거·출근형,C1,True
동대문,생활·한낮형,C1,True
동대문역사문화공원,상업·여가형,C1,True
동대입구,상업·여가형,C1,True
동두천,생활·한낮형,NT,True
동두천중앙,생활·한낮형,NT,True
